,bust_male,bust_female,tuple,average_male,average_female,female-male
0,0.25324756,0.2373614,"('unsociable', 'sociable')",0.2532476,0.2373614,-0.0158862
1,1.6691493,1.7326702,"('unfriendly', 'friendly')",1.6691493,1.7326702,0.0635209
2,0.7631801,0.90984446,"('unlikable', 'likable')",0.7631801,0.9098445,0.1466644
3,0.8078532,0.86971956,"('repellent', 'pleasant')",0.8078532,0.8697196,0.0618664
4,-6.755628,-6.727322,"('disliked', 'liked')",-6.7556281,-6.7273221,0.028306
5,0.08339824,0.22978693,"('distant', 'outgoing')",0.0833982,0.2297869,0.1463887
6,0.46085238,0.556731,"('distant', 'open')",0.4608524,0.556731,0.0958786
7,1.2309976,1.3166682,"('insensitive', 'sensitive')",1.2309976,1.3166682,0.0856706
8,1.5086112,1.46249,"('unaffectionate', 'affectionate')",1.5086112,1.46249,-0.0461212
9,1.4671689,1.5594691,"('unaffectionate', 'caring')",1.4671689,1.5594691,0.0923002
10,1.3940319,1.2734104,"('unsympathetic', 'sympathetic')",1.3940319,1.2734104,-0.1206215
11,1.733061,1.7705512,"('unhelpful', 'helpful')",1.733061,1.7705512,0.0374902
12,-1.064843,-0.9723488,"('unsupportive', 'supportive')",-1.0648431,-0.9723488,0.0924943
13,-0.03681473,-0.005578723,"('impolite', 'polite')",-0.0368147,-0.0055787,0.031236
14,0.023401622,-0.03679117,"('antisocial', 'social')",0.0234016,-0.0367912,-0.0601928
15,0.50344354,0.5649855,"('boring', 'funny')",0.5034435,0.5649855,0.061542
16,-0.49870515,-0.35344562,"('unpopular', 'popular')",-0.4987051,-0.3534456,0.1452595
17,0.18212502,0.11997476,"('nasty', 'nice')",0.182125,0.1199748,-0.0621502
18,-0.11262864,-0.03439944,"('disagreeable', 'welcoming')",-0.1126286,-0.0343994,0.0782292
19,0.030674953,0.12730363,"('inhospitable', 'hospitable')",0.030675,0.1273036,0.0966286
20,0.6803738,0.55562234,"('rough', 'thoughtful')",0.6803738,0.5556223,-0.1247515
21,0.07839316,0.20156312,"('immoral', 'moral')",0.0783932,0.2015631,0.1231699
22,0.25266215,0.2249439,"('untrustworthy', 'trustworthy')",0.2526622,0.2249439,-0.0277183
23,6.136651,6.2834086,"('insincere', 'sincere')",6.136651,6.2834086,0.1467576
24,1.7230272,1.7878096,"('dishonest', 'honest')",1.7230272,1.7878096,0.0647824
25,0.5316492,0.5164183,"('egoistic', 'altruistic')",0.5316492,0.5164183,-0.0152309
26,0.69158983,0.5468891,"('hardhearted', 'benevolent')",0.6915898,0.5468891,-0.1447007
27,1.8510422,1.7122129,"('hardhearted', 'softhearted')",1.8510422,1.7122129,-0.1388293
28,0.9637238,0.95243144,"('disloyal', 'loyal')",0.9637238,0.9524314,-0.0112924
29,-0.27198187,-0.35173622,"('unfair', 'fair')",-0.2719819,-0.3517362,-0.0797543
30,1.2626185,1.2005388,"('intolerant', 'tolerant')",1.2626185,1.2005388,-0.0620797
31,-0.89499027,-0.8211878,"('evil', 'good')",-0.8949903,-0.8211878,0.0738025
32,1.3855901,1.3744526,"('unkind', 'kind')",1.3855901,1.3744526,-0.0111375
33,-0.8956613,-0.7499226,"('wrong', 'right')",-0.8956613,-0.7499226,0.1457387
34,4.229806,4.467787,"('mean', 'honorable')",4.2298059,4.4677868,0.2379809
35,-0.8651562,-0.9525018,"('corrupt', 'incorrupt')",-0.8651562,-0.9525018,-0.0873456
36,-0.34271547,-0.43693975,"('hostile', 'amicable')",-0.3427155,-0.4369397,-0.0942242
37,0.84081966,0.8481376,"('fake', 'genuine')",0.8408197,0.8481376,0.0073179
38,-0.23748633,-0.13005647,"('untruthful', 'truthful')",-0.2374863,-0.1300565,0.1074298
39,-0.19167264,-0.13365176,"('exploitative', 'cooperative')",-0.1916726,-0.1336518,0.0580208
40,-0.7939055,-0.8528759,"('stingy', 'generous')",-0.7939055,-0.8528759,-0.0589704
41,0.34855452,0.24777862,"('unforgiving', 'forgiving')",0.3485545,0.2477786,-0.1007759
42,-1.627918,-1.7021153,"('unreliable', 'reliable')",-1.627918,-1.7021153,-0.0741973
43,1.4348772,1.4573084,"('irresponsible', 'responsible')",1.4348772,1.4573084,0.0224312
44,-1.1345881,-1.3064091,"('prejudiced', 'unprejudiced')",-1.1345881,-1.3064091,-0.171821
45,0.42095873,0.39880732,"('incompetent', 'competent')",0.4209587,0.3988073,-0.0221514
46,-0.5036594,-0.52686626,"('uncompetitive', 'competitive')",-0.5036594,-0.5268663,-0.0232069
47,5.5496764,5.762364,"('stupid', 'smart')",5.5496764,5.7623639,0.2126875
48,0.82625157,0.81792223,"('unintelligent', 'intelligent')",0.8262516,0.8179222,-0.0083294
49,0.011158995,0.20390981,"('unable', 'able')",0.011159,0.2039098,0.1927508
50,0.06308289,0.065196134,"('clumsy', 'skillful')",0.0630829,0.0651961,0.0021132
51,0.6670753,0.6625287,"('uneducated', 'educated')",0.6670753,0.6625287,-0.0045466
52,-0.46141985,-0.45371512,"('irrational', 'rational')",-0.4614199,-0.4537151,0.0077048
53,0.7295289,0.79147714,"('uncreative', 'creative')",0.7295289,0.7914771,0.0619482
54,1.2808349,1.4442945,"('incapable', 'capable')",1.2808349,1.4442945,0.1634596
55,0.78391373,0.80358195,"('incompetent', 'clever')",0.7839137,0.803582,0.0196683
56,0.35056636,0.47180694,"('impractical', 'practical')",0.3505664,0.4718069,0.1212405
57,-2.2122478,-2.277886,"('unimaginative', 'imaginative')",-2.2122478,-2.2778859,-0.0656381
58,0.1802336,0.086714685,"('undiscriminating', 'discriminating')",0.1802336,0.0867147,-0.0935189
59,0.07513469,0.23584095,"('foolish', 'wise')",0.0751347,0.2358409,0.1607062
60,0.11393001,0.24377547,"('inefficient', 'efficient')",0.11393,0.2437755,0.1298455
61,0.3463363,0.25837302,"('illogical', 'logical')",0.3463363,0.258373,-0.0879633
62,1.1236358,1.2980595,"('incompetent', 'brilliant')",1.1236358,1.2980595,0.1744237
63,1.0170405,1.1548312,"('unperceptive', 'insightful')",1.0170405,1.1548312,0.1377907
64,-5.6560516,-5.619944,"('shy', 'confident')",-5.6560516,-5.6199441,0.0361075
65,0.93692225,0.8439481,"('insecure', 'secure')",0.9369223,0.8439481,-0.0929742
66,0.23925105,0.16145556,"('inactive', 'active')",0.239251,0.1614556,-0.0777954
67,-1.148447,-1.0454574,"('doubtful', 'determined')",-1.148447,-1.0454574,0.1029896
68,-0.5591632,-0.4397174,"('dependent', 'independent')",-0.5591632,-0.4397174,0.1194458
69,-1.7562089,-1.6541822,"('lazy', 'industrious')",-1.7562089,-1.6541822,0.1020267
70,1.6017965,1.5292382,"('lethargic', 'energetic')",1.6017965,1.5292382,-0.0725583
71,0.42292792,0.6326709,"('diffident', 'self-confident')",0.4229279,0.6326709,0.209743
72,0.7372072,0.8119261,"('unambitious', 'ambitious')",0.7372072,0.8119261,0.0747189
