,chevron_male,chevron_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.1816192,-1.3963149,"('unsociable', 'sociable')",-0.17090882,-0.26957178,-0.676264,-0.8329433,-0.1566793
1,0.22142431,-0.24494088,"('unfriendly', 'friendly')",1.6962745,1.4624404,0.9588494,0.6087497,-0.3500997
2,0.95150673,0.91706175,"('unlikable', 'likable')",0.68001384,0.6796779,0.8157603,0.7983698,-0.0173905
3,-1.2214876,-1.1858985,"('repellent', 'pleasant')",0.8402673,0.83819145,-0.1906102,-0.1738535,0.0167567
4,0.9060314,0.7274425,"('disliked', 'liked')",-7.016528,-7.189402,-3.0552483,-3.2309799,-0.1757316
5,0.74251205,0.5077282,"('distant', 'outgoing')",-0.18387367,-0.273732,0.2793192,0.1169981,-0.1623211
6,0.25646314,-0.010721568,"('distant', 'open')",-0.04764297,-0.18636063,0.1044101,-0.0985411,-0.2029512
7,-0.89874476,-0.91707414,"('insensitive', 'sensitive')",0.46587732,0.42728817,-0.2164337,-0.244893,-0.0284593
8,0.24940684,-0.06881235,"('unaffectionate', 'affectionate')",1.1811875,1.0463734,0.7152972,0.4887805,-0.2265167
9,0.7304262,0.3789643,"('unaffectionate', 'caring')",1.5795783,1.5241272,1.1550022,0.9515458,-0.2034564
10,-1.6361969,-1.7526947,"('unsympathetic', 'sympathetic')",-0.66925836,-0.6966491,-1.1527276,-1.2246718,-0.0719442
11,-1.2651548,-1.2251943,"('unhelpful', 'helpful')",1.1064786,1.2919242,-0.0793381,0.033365,0.1127031
12,0.19501947,0.049905837,"('unsupportive', 'supportive')",-1.9825345,-2.04186,-0.8937575,-0.9959772,-0.1022197
13,-1.1985464,-1.2763367,"('impolite', 'polite')",-0.9950698,-0.8563771,-1.0968081,-1.0663569,0.0304512
14,-0.99880844,-1.02152,"('antisocial', 'social')",0.10992322,0.039335944,-0.4444426,-0.491092,-0.0466494
15,0.2997201,0.15068407,"('boring', 'funny')",0.13048472,0.10185446,0.2151024,0.1262693,-0.0888331
16,-0.039035045,-0.07602662,"('unpopular', 'popular')",0.24383673,0.19917,0.1024008,0.0615717,-0.0408291
17,-0.17727679,-0.10029837,"('nasty', 'nice')",-0.45998615,-0.44204414,-0.3186315,-0.2711712,0.0474603
18,-0.2239252,-0.27391332,"('disagreeable', 'welcoming')",-0.64068747,-0.69826376,-0.4323063,-0.4860885,-0.0537822
19,-0.12997046,-0.33118737,"('inhospitable', 'hospitable')",-0.47636288,-0.5140449,-0.3031667,-0.4226161,-0.1194494
20,-0.7323768,-0.6670499,"('rough', 'thoughtful')",0.61221075,0.5615861,-0.060083,-0.0527319,0.0073511
21,-1.1114149,-1.0669305,"('immoral', 'moral')",-0.81992155,-0.6888012,-0.9656682,-0.8778659,0.0878023
22,-1.0051017,-1.0284679,"('untrustworthy', 'trustworthy')",-1.1352141,-1.1958785,-1.0701579,-1.1121732,-0.0420153
23,-0.85179996,-0.8998355,"('insincere', 'sincere')",5.8628907,5.972394,2.5055454,2.5362792,0.0307338
24,-0.5497283,-0.6362167,"('dishonest', 'honest')",0.37837672,0.38863057,-0.0856758,-0.1237931,-0.0381173
25,0.7720487,0.71917725,"('egoistic', 'altruistic')",1.641188,1.6002064,1.2066183,1.1596918,-0.0469265
26,0.75924593,0.54051316,"('hardhearted', 'benevolent')",1.7708213,1.5872887,1.2650336,1.0639009,-0.2011327
27,-0.5677078,-0.5692746,"('hardhearted', 'softhearted')",1.3314444,1.2032462,0.3818683,0.3169858,-0.0648825
28,-0.3621179,-0.57741714,"('disloyal', 'loyal')",1.1743903,1.1104724,0.4061362,0.2665277,-0.1396085
29,-0.25106427,-0.3632902,"('unfair', 'fair')",-0.2920373,-0.48798403,-0.2715508,-0.4256371,-0.1540863
30,-0.65628946,-0.6541949,"('intolerant', 'tolerant')",0.31406242,0.36678037,-0.1711135,-0.1437073,0.0274062
31,0.74732804,0.6243325,"('evil', 'good')",-0.5870274,-0.8365064,0.0801503,-0.106087,-0.1862373
32,-0.5699706,-0.7249388,"('unkind', 'kind')",0.6403238,0.5663306,0.0351766,-0.0793041,-0.1144807
33,1.2394184,1.1005373,"('wrong', 'right')",-0.2757516,-0.33912185,0.4818334,0.3807077,-0.1011257
34,-0.5619372,-0.39256755,"('mean', 'honorable')",5.325769,5.562745,2.3819158,2.5850887,0.2031729
35,0.88028073,0.7606467,"('corrupt', 'incorrupt')",-0.19497457,-0.33994457,0.3426531,0.2103511,-0.132302
36,0.9674988,0.647963,"('hostile', 'amicable')",0.18505777,-0.11494939,0.5762783,0.2665068,-0.3097715
37,-0.028745972,-0.08600664,"('fake', 'genuine')",0.13047162,0.12382409,0.0508628,0.0189087,-0.0319541
