,metabolite_male,metabolite_female,tuple,average_male,average_female,female-male
0,-0.09967892,-0.23455957,"('unsociable', 'sociable')",-0.0996789,-0.2345596,-0.1348807
1,-1.222031,-1.4096975,"('unfriendly', 'friendly')",-1.222031,-1.4096975,-0.1876665
2,0.18192415,0.15348744,"('unlikable', 'likable')",0.1819241,0.1534874,-0.0284367
3,-0.49660423,-0.46300015,"('repellent', 'pleasant')",-0.4966042,-0.4630001,0.0336041
4,-2.2857966,-2.3114088,"('disliked', 'liked')",-2.2857966,-2.3114088,-0.0256122
5,-1.2123057,-1.1899567,"('distant', 'outgoing')",-1.2123057,-1.1899567,0.022349
6,-1.0435936,-1.0501169,"('distant', 'open')",-1.0435936,-1.0501169,-0.0065233
7,-0.32093275,-0.36868313,"('insensitive', 'sensitive')",-0.3209327,-0.3686831,-0.0477504
8,-1.4437233,-1.5860358,"('unaffectionate', 'affectionate')",-1.4437233,-1.5860358,-0.1423125
9,-0.9810892,-1.0564309,"('unaffectionate', 'caring')",-0.9810892,-1.0564309,-0.0753417
10,0.35127664,0.30212903,"('unsympathetic', 'sympathetic')",0.3512766,0.302129,-0.0491476
11,1.341741,1.2952061,"('unhelpful', 'helpful')",1.341741,1.2952061,-0.0465349
12,-0.40806672,-0.39900282,"('unsupportive', 'supportive')",-0.4080667,-0.3990028,0.0090639
13,-0.1684503,-0.2647748,"('impolite', 'polite')",-0.1684503,-0.2647748,-0.0963245
14,-0.044960245,-0.1446032,"('antisocial', 'social')",-0.0449602,-0.1446032,-0.099643
15,-0.13460135,-0.22778855,"('boring', 'funny')",-0.1346014,-0.2277886,-0.0931872
16,-0.40607977,-0.5140429,"('unpopular', 'popular')",-0.4060798,-0.5140429,-0.1079631
17,-0.5457575,-0.57201594,"('nasty', 'nice')",-0.5457575,-0.5720159,-0.0262584
18,-0.67270213,-0.7423853,"('disagreeable', 'welcoming')",-0.6727021,-0.7423853,-0.0696832
19,-1.8553123,-1.8071704,"('inhospitable', 'hospitable')",-1.8553123,-1.8071704,0.0481419
20,0.73729247,0.7045975,"('rough', 'thoughtful')",0.7372925,0.7045975,-0.032695
21,1.0788778,1.0463502,"('immoral', 'moral')",1.0788778,1.0463502,-0.0325276
22,0.15787525,0.05880907,"('untrustworthy', 'trustworthy')",0.1578753,0.0588091,-0.0990662
23,1.4629676,1.3828061,"('insincere', 'sincere')",1.4629676,1.3828061,-0.0801615
24,-0.29831016,-0.36149448,"('dishonest', 'honest')",-0.2983102,-0.3614945,-0.0631843
25,-0.33724934,-0.3748711,"('egoistic', 'altruistic')",-0.3372493,-0.3748711,-0.0376218
26,0.16550729,-0.020697195,"('hardhearted', 'benevolent')",0.1655073,-0.0206972,-0.1862045
27,-0.09761596,-0.17896977,"('hardhearted', 'softhearted')",-0.097616,-0.1789698,-0.0813538
28,0.15018657,-0.011440963,"('disloyal', 'loyal')",0.1501866,-0.011441,-0.1616276
29,-0.7081263,-0.68895626,"('unfair', 'fair')",-0.7081263,-0.6889563,0.01917
30,-0.40157905,-0.5377947,"('intolerant', 'tolerant')",-0.4015791,-0.5377947,-0.1362156
31,-2.1073728,-2.0139258,"('evil', 'good')",-2.1073728,-2.0139258,0.093447
32,1.0629159,0.9078933,"('unkind', 'kind')",1.0629159,0.9078933,-0.1550226
33,-0.2504956,-0.30731767,"('wrong', 'right')",-0.2504956,-0.3073177,-0.0568221
34,1.6184099,1.6955214,"('mean', 'honorable')",1.6184099,1.6955214,0.0771115
35,-0.41591287,-0.42688918,"('corrupt', 'incorrupt')",-0.4159129,-0.4268892,-0.0109763
36,-1.5216129,-1.5953057,"('hostile', 'amicable')",-1.5216129,-1.5953057,-0.0736928
37,-0.055480972,-0.1168951,"('fake', 'genuine')",-0.055481,-0.1168951,-0.0614141
38,0.3127415,0.28882003,"('untruthful', 'truthful')",0.3127415,0.28882,-0.0239215
39,0.33175293,0.27498424,"('exploitative', 'cooperative')",0.3317529,0.2749842,-0.0567687
40,-0.6535604,-0.67239195,"('stingy', 'generous')",-0.6535604,-0.672392,-0.0188316
41,0.19921029,0.09446812,"('unforgiving', 'forgiving')",0.1992103,0.0944681,-0.1047422
42,0.25220847,0.22838457,"('unreliable', 'reliable')",0.2522085,0.2283846,-0.0238239
43,0.54372436,0.49999672,"('irresponsible', 'responsible')",0.5437244,0.4999967,-0.0437277
