,bowtie_male,bowtie_female,tuple,average_male,average_female,female-male
0,0.1868805,-0.17852336,"('unsociable', 'sociable')",0.1868805,-0.1785234,-0.3654039
1,-0.9859256,-1.2015897,"('unfriendly', 'friendly')",-0.9859256,-1.2015897,-0.2156641
2,0.08116625,-0.049658224,"('unlikable', 'likable')",0.0811663,-0.0496582,-0.1308245
3,-0.40879455,-0.21816216,"('repellent', 'pleasant')",-0.4087946,-0.2181622,0.1906324
4,-2.2647076,-2.285921,"('disliked', 'liked')",-2.2647076,-2.2859211,-0.0212135
5,-1.1859088,-0.9978642,"('distant', 'outgoing')",-1.1859088,-0.9978642,0.1880446
6,-1.4326409,-1.2800262,"('distant', 'open')",-1.4326409,-1.2800262,0.1526147
7,-0.09247616,-0.027383331,"('insensitive', 'sensitive')",-0.0924762,-0.0273833,0.0650929
8,-0.97925234,-1.2521311,"('unaffectionate', 'affectionate')",-0.9792523,-1.2521311,-0.2728788
9,-0.7768928,-0.8736023,"('unaffectionate', 'caring')",-0.7768928,-0.8736023,-0.0967095
10,0.052011088,-0.09726615,"('unsympathetic', 'sympathetic')",0.0520111,-0.0972662,-0.1492773
11,0.85853785,0.8483151,"('unhelpful', 'helpful')",0.8585379,0.8483151,-0.0102228
12,-0.63146067,-0.6510235,"('unsupportive', 'supportive')",-0.6314607,-0.6510235,-0.0195628
13,0.39351606,0.08314306,"('impolite', 'polite')",0.3935161,0.0831431,-0.310373
14,0.8759571,0.6182943,"('antisocial', 'social')",0.8759571,0.6182943,-0.2576628
15,0.527048,0.28937167,"('boring', 'funny')",0.527048,0.2893717,-0.2376763
16,-0.70341474,-0.5849715,"('unpopular', 'popular')",-0.7034147,-0.5849715,0.1184432
17,-0.2117596,-0.17981943,"('nasty', 'nice')",-0.2117596,-0.1798194,0.0319402
18,-0.67595285,-0.7706403,"('disagreeable', 'welcoming')",-0.6759529,-0.7706403,-0.0946874
19,-0.99195373,-0.8492129,"('inhospitable', 'hospitable')",-0.9919537,-0.8492129,0.1427408
20,0.34352654,0.4186366,"('rough', 'thoughtful')",0.3435265,0.4186366,0.0751101
21,0.55922115,0.43376023,"('immoral', 'moral')",0.5592211,0.4337602,-0.1254609
22,0.14208138,0.012705322,"('untrustworthy', 'trustworthy')",0.1420814,0.0127053,-0.1293761
23,2.1352024,2.0442595,"('insincere', 'sincere')",2.1352024,2.0442595,-0.0909429
24,0.12940274,-0.07656242,"('dishonest', 'honest')",0.1294027,-0.0765624,-0.2059651
25,-0.06617312,-0.08886672,"('egoistic', 'altruistic')",-0.0661731,-0.0888667,-0.0226936
26,0.029927574,-0.5099479,"('hardhearted', 'benevolent')",0.0299276,-0.5099479,-0.5398755
