,everybody_male,everybody_female,tuple,average_male,average_female,female-male
0,0.22335798,0.110246345,"('unsociable', 'sociable')",0.223358,0.1102463,-0.1131117
1,1.0975825,1.1843786,"('unfriendly', 'friendly')",1.0975825,1.1843786,0.0867961
2,0.3881206,0.5125141,"('unlikable', 'likable')",0.3881206,0.5125141,0.1243935
3,0.8735169,0.9172126,"('repellent', 'pleasant')",0.8735169,0.9172126,0.0436957
4,-7.046666,-6.949041,"('disliked', 'liked')",-7.0466661,-6.9490409,0.0976252
5,-0.06391695,0.07515442,"('distant', 'outgoing')",-0.063917,0.0751544,0.1390714
6,0.09870583,0.19551928,"('distant', 'open')",0.0987058,0.1955193,0.0968135
7,1.107694,1.1036423,"('insensitive', 'sensitive')",1.107694,1.1036423,-0.0040517
8,0.8947523,0.86688447,"('unaffectionate', 'affectionate')",0.8947523,0.8668845,-0.0278678
9,1.2129177,1.2769576,"('unaffectionate', 'caring')",1.2129177,1.2769576,0.0640399
10,1.2119694,1.0520352,"('unsympathetic', 'sympathetic')",1.2119694,1.0520352,-0.1599342
11,2.0369506,2.0000286,"('unhelpful', 'helpful')",2.0369506,2.0000286,-0.036922
12,-1.3707185,-1.3571382,"('unsupportive', 'supportive')",-1.3707185,-1.3571382,0.0135803
13,0.037202556,0.014076985,"('impolite', 'polite')",0.0372026,0.014077,-0.0231256
14,0.1433445,0.02918129,"('antisocial', 'social')",0.1433445,0.0291813,-0.1141632
15,0.4602089,0.49530667,"('boring', 'funny')",0.4602089,0.4953067,0.0350978
16,-0.6252772,-0.43490696,"('unpopular', 'popular')",-0.6252772,-0.434907,0.1903702
17,0.16879168,0.14632595,"('nasty', 'nice')",0.1687917,0.1463259,-0.0224658
18,-0.5421456,-0.49091777,"('disagreeable', 'welcoming')",-0.5421456,-0.4909178,0.0512278
19,-0.19152085,-0.14987412,"('inhospitable', 'hospitable')",-0.1915209,-0.1498741,0.0416468
20,0.74097455,0.59329,"('rough', 'thoughtful')",0.7409745,0.59329,-0.1476845
21,0.2802745,0.3243453,"('immoral', 'moral')",0.2802745,0.3243453,0.0440708
22,0.4180849,0.37483162,"('untrustworthy', 'trustworthy')",0.4180849,0.3748316,-0.0432533
23,6.4407964,6.4758515,"('insincere', 'sincere')",6.4407964,6.4758515,0.0350551
24,1.8249425,1.843078,"('dishonest', 'honest')",1.8249425,1.843078,0.0181355
25,0.16367713,0.1623027,"('egoistic', 'altruistic')",0.1636771,0.1623027,-0.0013744
26,0.29301745,0.1704171,"('hardhearted', 'benevolent')",0.2930174,0.1704171,-0.1226003
27,1.4520003,1.295061,"('hardhearted', 'softhearted')",1.4520003,1.295061,-0.1569393
28,0.9367314,0.8686574,"('disloyal', 'loyal')",0.9367314,0.8686574,-0.068074
29,-0.10356129,-0.23424995,"('unfair', 'fair')",-0.1035613,-0.2342499,-0.1306886
30,1.1918907,1.0730994,"('intolerant', 'tolerant')",1.1918907,1.0730994,-0.1187913
31,-0.9975391,-0.9034058,"('evil', 'good')",-0.9975391,-0.9034058,0.0941333
32,1.1965327,1.142024,"('unkind', 'kind')",1.1965327,1.142024,-0.0545087
33,-0.7801099,-0.6333662,"('wrong', 'right')",-0.7801099,-0.6333662,0.1467437
34,4.1256886,4.348666,"('mean', 'honorable')",4.1256886,4.3486662,0.2229776
35,-1.036535,-1.0779128,"('corrupt', 'incorrupt')",-1.036535,-1.0779128,-0.0413778
36,-0.69430727,-0.7305548,"('hostile', 'amicable')",-0.6943073,-0.7305548,-0.0362475
