,spinach_male,spinach_female,tuple,average_male,average_female,female-male
0,0.28794676,0.24684964,"('unsociable', 'sociable')",0.2879468,0.2468496,-0.0410972
1,0.37858564,0.16031766,"('unfriendly', 'friendly')",0.3785856,0.1603177,-0.2182679
2,0.4704889,0.4791148,"('unlikable', 'likable')",0.4704889,0.4791148,0.0086259
3,-0.5835423,-0.5958092,"('repellent', 'pleasant')",-0.5835423,-0.5958092,-0.0122669
4,-2.574528,-2.4266,"('disliked', 'liked')",-2.574528,-2.4266,0.147928
5,-0.6339652,-0.68216556,"('distant', 'outgoing')",-0.6339652,-0.6821656,-0.0482004
6,-0.53186494,-0.6007799,"('distant', 'open')",-0.5318649,-0.6007799,-0.068915
7,-0.124225095,-0.108741686,"('insensitive', 'sensitive')",-0.1242251,-0.1087417,0.0154834
8,0.49840665,0.3364413,"('unaffectionate', 'affectionate')",0.4984066,0.3364413,-0.1619653
9,0.6297688,0.4652585,"('unaffectionate', 'caring')",0.6297688,0.4652585,-0.1645103
10,0.045662522,0.027115133,"('unsympathetic', 'sympathetic')",0.0456625,0.0271151,-0.0185474
11,0.35306308,0.28965703,"('unhelpful', 'helpful')",0.3530631,0.289657,-0.0634061
12,-0.92397976,-0.84721637,"('unsupportive', 'supportive')",-0.9239798,-0.8472164,0.0767634
13,-0.3228307,-0.27432105,"('impolite', 'polite')",-0.3228307,-0.274321,0.0485097
14,0.51143515,0.527698,"('antisocial', 'social')",0.5114352,0.527698,0.0162628
15,0.4604711,0.46245605,"('boring', 'funny')",0.4604711,0.462456,0.0019849
16,-0.39158595,-0.41768366,"('unpopular', 'popular')",-0.3915859,-0.4176837,-0.0260978
17,-0.58215165,-0.48158497,"('nasty', 'nice')",-0.5821517,-0.481585,0.1005667
18,-0.82490194,-0.8572664,"('disagreeable', 'welcoming')",-0.8249019,-0.8572664,-0.0323645
19,-0.8960384,-0.8816206,"('inhospitable', 'hospitable')",-0.8960384,-0.8816206,0.0144178
20,0.57078,0.5069836,"('rough', 'thoughtful')",0.57078,0.5069836,-0.0637964
21,0.07804264,0.17923513,"('immoral', 'moral')",0.0780426,0.1792351,0.1011925
22,0.11623425,0.19439304,"('untrustworthy', 'trustworthy')",0.1162343,0.194393,0.0781587
23,2.3086715,2.132698,"('insincere', 'sincere')",2.3086715,2.1326981,-0.1759734
24,0.6479222,0.5349032,"('dishonest', 'honest')",0.6479222,0.5349032,-0.113019
25,0.6250819,0.51285046,"('egoistic', 'altruistic')",0.6250819,0.5128505,-0.1122314
26,0.9968871,0.91286767,"('hardhearted', 'benevolent')",0.9968871,0.9128677,-0.0840194
27,0.5396042,0.36785826,"('hardhearted', 'softhearted')",0.5396042,0.3678583,-0.1717459
28,0.8527541,0.64516145,"('disloyal', 'loyal')",0.8527541,0.6451614,-0.2075927
29,-0.35696724,-0.4813229,"('unfair', 'fair')",-0.3569672,-0.4813229,-0.1243557
30,0.55173546,0.5683623,"('intolerant', 'tolerant')",0.5517355,0.5683623,0.0166268
31,-1.05664,-0.94636685,"('evil', 'good')",-1.05664,-0.9463668,0.1102732
32,0.7324681,0.5928729,"('unkind', 'kind')",0.7324681,0.5928729,-0.1395952
33,0.07908502,0.018760089,"('wrong', 'right')",0.079085,0.0187601,-0.0603249
34,1.5599118,1.6917866,"('mean', 'honorable')",1.5599118,1.6917866,0.1318748
35,-0.12167594,-0.21238945,"('corrupt', 'incorrupt')",-0.1216759,-0.2123895,-0.0907136
36,-0.3837493,-0.40253687,"('hostile', 'amicable')",-0.3837493,-0.4025369,-0.0187876
37,0.5203806,0.47299635,"('fake', 'genuine')",0.5203806,0.4729964,-0.0473842
38,0.23020379,0.22326407,"('untruthful', 'truthful')",0.2302038,0.2232641,-0.0069397
39,0.55954844,0.58353657,"('exploitative', 'cooperative')",0.5595484,0.5835366,0.0239882
40,-1.2359641,-1.3137528,"('stingy', 'generous')",-1.2359641,-1.3137528,-0.0777887
41,0.8364882,0.9251306,"('unforgiving', 'forgiving')",0.8364882,0.9251306,0.0886424
42,-1.114144,-0.99144226,"('unreliable', 'reliable')",-1.114144,-0.9914423,0.1227017
43,0.15235417,0.16087887,"('irresponsible', 'responsible')",0.1523542,0.1608789,0.0085247
44,-0.2849037,-0.28057674,"('prejudiced', 'unprejudiced')",-0.2849037,-0.2805767,0.004327
45,0.31192064,0.48246446,"('incompetent', 'competent')",0.3119206,0.4824645,0.1705439
46,-0.4223885,-0.35009,"('uncompetitive', 'competitive')",-0.4223885,-0.35009,0.0722985
47,2.5249891,2.5603857,"('stupid', 'smart')",2.5249891,2.5603857,0.0353966
48,0.30476296,0.34031415,"('unintelligent', 'intelligent')",0.304763,0.3403141,0.0355511
49,0.091729015,0.21055141,"('unable', 'able')",0.091729,0.2105514,0.1188224
50,-0.3391153,-0.44157714,"('clumsy', 'skillful')",-0.3391153,-0.4415771,-0.1024618
51,-0.3803777,-0.42135346,"('uneducated', 'educated')",-0.3803777,-0.4213535,-0.0409758
52,-0.36619896,-0.6070105,"('irrational', 'rational')",-0.366199,-0.6070105,-0.2408115
53,-0.9424397,-1.087451,"('uncreative', 'creative')",-0.9424397,-1.087451,-0.1450113
