,bowtie_male,bowtie_female,tuple,average_male,average_female,female-male
0,0.19723645,-0.005779336,"('unsociable', 'sociable')",0.1972364,-0.0057793,-0.2030157
1,-1.2449297,-1.3183079,"('unfriendly', 'friendly')",-1.2449297,-1.3183079,-0.0733782
2,0.05377757,0.065205336,"('unlikable', 'likable')",0.0537776,0.0652053,0.0114277
3,-0.7272439,-0.67013806,"('repellent', 'pleasant')",-0.7272439,-0.6701381,0.0571058
4,-1.9743097,-1.737579,"('disliked', 'liked')",-1.9743097,-1.737579,0.2367307
5,-1.215463,-0.99963194,"('distant', 'outgoing')",-1.215463,-0.9996319,0.2158311
6,-1.3860588,-1.1845969,"('distant', 'open')",-1.3860588,-1.1845969,0.2014619
7,-0.26617402,-0.31819284,"('insensitive', 'sensitive')",-0.266174,-0.3181928,-0.0520188
8,-1.2002162,-1.298289,"('unaffectionate', 'affectionate')",-1.2002162,-1.2982889,-0.0980727
9,-0.95007,-1.0455475,"('unaffectionate', 'caring')",-0.95007,-1.0455475,-0.0954775
10,-0.07444992,-0.20221356,"('unsympathetic', 'sympathetic')",-0.0744499,-0.2022136,-0.1277637
11,0.5355049,0.36916417,"('unhelpful', 'helpful')",0.5355049,0.3691642,-0.1663407
12,-0.67402935,-0.5807061,"('unsupportive', 'supportive')",-0.6740294,-0.5807061,0.0933233
13,0.15005918,0.00081370585,"('impolite', 'polite')",0.1500592,0.0008137,-0.1492455
14,0.8059801,0.60613954,"('antisocial', 'social')",0.8059801,0.6061395,-0.1998406
15,0.44226927,0.35087404,"('boring', 'funny')",0.4422693,0.350874,-0.0913953
16,-0.5064248,-0.40908647,"('unpopular', 'popular')",-0.5064248,-0.4090865,0.0973383
17,-0.07400648,-0.010616027,"('nasty', 'nice')",-0.0740065,-0.010616,0.0633905
18,-0.7551685,-0.743822,"('disagreeable', 'welcoming')",-0.7551685,-0.743822,0.0113465
19,-1.1744465,-0.98877037,"('inhospitable', 'hospitable')",-1.1744465,-0.9887704,0.1856761
20,0.42844263,0.3930712,"('rough', 'thoughtful')",0.4284426,0.3930712,-0.0353714
21,0.37496224,0.33318213,"('immoral', 'moral')",0.3749622,0.3331821,-0.0417801
22,-0.008016135,-0.1080613,"('untrustworthy', 'trustworthy')",-0.0080161,-0.1080613,-0.1000452
23,1.6523713,1.3424855,"('insincere', 'sincere')",1.6523713,1.3424855,-0.3098858
24,-0.088668376,-0.26165068,"('dishonest', 'honest')",-0.0886684,-0.2616507,-0.1729823
25,-0.2138547,-0.20522052,"('egoistic', 'altruistic')",-0.2138547,-0.2052205,0.0086342
26,-0.082069956,-0.27577215,"('hardhearted', 'benevolent')",-0.08207,-0.2757722,-0.1937022
27,0.122204416,0.014239218,"('hardhearted', 'softhearted')",0.1222044,0.0142392,-0.1079652
28,-0.065296784,-0.31875896,"('disloyal', 'loyal')",-0.0652968,-0.318759,-0.2534622
29,-0.9047549,-0.8745637,"('unfair', 'fair')",-0.9047549,-0.8745637,0.0301912
30,0.4358252,0.22689688,"('intolerant', 'tolerant')",0.4358252,0.2268969,-0.2089283
31,-1.5837718,-1.2447215,"('evil', 'good')",-1.5837718,-1.2447215,0.3390503
32,0.68682426,0.49799898,"('unkind', 'kind')",0.6868243,0.497999,-0.1888253
33,-0.090649724,-0.09631577,"('wrong', 'right')",-0.0906497,-0.0963158,-0.0056661
34,1.3229841,1.4065542,"('mean', 'honorable')",1.3229841,1.4065542,0.0835701
35,-0.4004661,-0.33182633,"('corrupt', 'incorrupt')",-0.4004661,-0.3318263,0.0686398
36,-1.6270648,-1.5176724,"('hostile', 'amicable')",-1.6270648,-1.5176724,0.1093924
37,0.082603134,0.017060272,"('fake', 'genuine')",0.0826031,0.0170603,-0.0655428
38,-0.063771464,-0.10016601,"('untruthful', 'truthful')",-0.0637715,-0.100166,-0.0363945
39,0.82997656,0.7596358,"('exploitative', 'cooperative')",0.8299766,0.7596358,-0.0703408
40,-1.1790664,-1.1490852,"('stingy', 'generous')",-1.1790664,-1.1490852,0.0299812
41,0.24593401,0.15727596,"('unforgiving', 'forgiving')",0.245934,0.157276,-0.088658
42,-0.40273625,-0.33052754,"('unreliable', 'reliable')",-0.4027362,-0.3305275,0.0722087
43,0.20720491,0.1399121,"('irresponsible', 'responsible')",0.2072049,0.1399121,-0.0672928
44,0.09721013,0.12647569,"('prejudiced', 'unprejudiced')",0.0972101,0.1264757,0.0292656
45,-0.02205439,-0.04435407,"('incompetent', 'competent')",-0.0220544,-0.0443541,-0.0222997
46,-0.046304658,-0.10960075,"('uncompetitive', 'competitive')",-0.0463047,-0.1096008,-0.0632961
47,1.8356243,1.7206595,"('stupid', 'smart')",1.8356243,1.7206595,-0.1149648
48,0.04150346,-0.044378623,"('unintelligent', 'intelligent')",0.0415035,-0.0443786,-0.0858821
49,-0.406502,-0.33946088,"('unable', 'able')",-0.406502,-0.3394609,0.0670411
50,-0.022625197,-0.062406898,"('clumsy', 'skillful')",-0.0226252,-0.0624069,-0.0397817
51,-0.1750535,-0.28619248,"('uneducated', 'educated')",-0.1750535,-0.2861925,-0.111139
52,-1.0344977,-1.1597425,"('irrational', 'rational')",-1.0344977,-1.1597425,-0.1252448
