,anywhere_male,anywhere_female,tuple,average_male,average_female,female-male
0,0.34347287,0.09557636,"('unsociable', 'sociable')",0.3434729,0.0955764,-0.2478965
1,2.8756456,2.8440917,"('unfriendly', 'friendly')",2.8756456,2.8440917,-0.0315539
2,0.713613,0.79126203,"('unlikable', 'likable')",0.713613,0.791262,0.077649
3,0.1948748,0.252595,"('repellent', 'pleasant')",0.1948748,0.252595,0.0577202
4,-6.505389,-6.617265,"('disliked', 'liked')",-6.5053892,-6.6172652,-0.111876
5,1.1782328,1.2677374,"('distant', 'outgoing')",1.1782328,1.2677374,0.0895046
6,2.0178666,2.0843513,"('distant', 'open')",2.0178666,2.0843513,0.0664847
7,1.5036442,1.4283525,"('insensitive', 'sensitive')",1.5036442,1.4283525,-0.0752917
8,1.4686935,1.6305931,"('unaffectionate', 'affectionate')",1.4686935,1.6305931,0.1618996
9,2.1227465,2.2390573,"('unaffectionate', 'caring')",2.1227465,2.2390573,0.1163108
10,0.18764919,0.091001056,"('unsympathetic', 'sympathetic')",0.1876492,0.0910011,-0.0966481
11,1.8323258,1.8911645,"('unhelpful', 'helpful')",1.8323258,1.8911645,0.0588387
12,-0.7429787,-0.8004492,"('unsupportive', 'supportive')",-0.7429787,-0.8004492,-0.0574705
13,-0.17793718,-0.28372937,"('impolite', 'polite')",-0.1779372,-0.2837294,-0.1057922
14,-0.5630444,-0.720749,"('antisocial', 'social')",-0.5630444,-0.720749,-0.1577046
15,0.781947,0.7486733,"('boring', 'funny')",0.781947,0.7486733,-0.0332737
16,0.035002828,0.024782911,"('unpopular', 'popular')",0.0350028,0.0247829,-0.0102199
17,-1.1076348,-1.0715623,"('nasty', 'nice')",-1.1076348,-1.0715623,0.0360725
18,0.33851743,0.24448904,"('disagreeable', 'welcoming')",0.3385174,0.244489,-0.0940284
19,0.3905222,0.5216915,"('inhospitable', 'hospitable')",0.3905222,0.5216915,0.1311693
20,-0.1400921,-0.20223281,"('rough', 'thoughtful')",-0.1400921,-0.2022328,-0.0621407
21,-0.6440828,-0.70862484,"('immoral', 'moral')",-0.6440828,-0.7086248,-0.064542
22,-0.1950106,-0.24286692,"('untrustworthy', 'trustworthy')",-0.1950106,-0.2428669,-0.0478563
23,6.940866,6.9606767,"('insincere', 'sincere')",6.940866,6.9606767,0.0198107
24,2.1459603,2.0857248,"('dishonest', 'honest')",2.1459603,2.0857248,-0.0602355
25,0.8293154,0.7187675,"('egoistic', 'altruistic')",0.8293154,0.7187675,-0.1105479
26,1.2055808,1.0915955,"('hardhearted', 'benevolent')",1.2055808,1.0915955,-0.1139853
27,2.3991451,2.2783608,"('hardhearted', 'softhearted')",2.3991451,2.2783608,-0.1207843
28,1.2145854,1.1926777,"('disloyal', 'loyal')",1.2145854,1.1926777,-0.0219077
29,0.32738304,0.31504548,"('unfair', 'fair')",0.327383,0.3150455,-0.0123375
30,0.77500665,0.63733315,"('intolerant', 'tolerant')",0.7750067,0.6373332,-0.1376735
