,quantity_male,quantity_female,tuple,average_male,average_female,female-male
0,-0.13881147,-0.136452,"('unsociable', 'sociable')",-0.1388115,-0.136452,0.0023595
1,1.2896609,1.2422172,"('unfriendly', 'friendly')",1.2896609,1.2422172,-0.0474437
2,-0.16156578,-0.055636007,"('unlikable', 'likable')",-0.1615658,-0.055636,0.1059298
3,0.5057104,0.7008519,"('repellent', 'pleasant')",0.5057104,0.7008519,0.1951415
4,-7.2494254,-7.259009,"('disliked', 'liked')",-7.2494254,-7.2590089,-0.0095835
5,-0.2950178,-0.32866082,"('distant', 'outgoing')",-0.2950178,-0.3286608,-0.033643
6,0.20209914,0.0687228,"('distant', 'open')",0.2020991,0.0687228,-0.1333763
7,0.9288031,1.074423,"('insensitive', 'sensitive')",0.9288031,1.074423,0.1456199
8,1.2674944,1.1443021,"('unaffectionate', 'affectionate')",1.2674944,1.1443021,-0.1231923
9,1.4152849,1.3238384,"('unaffectionate', 'caring')",1.4152849,1.3238384,-0.0914465
10,0.49971676,0.73135644,"('unsympathetic', 'sympathetic')",0.4997168,0.7313564,0.2316396
11,1.464847,1.5693432,"('unhelpful', 'helpful')",1.464847,1.5693432,0.1044962
12,-1.7497475,-1.6629076,"('unsupportive', 'supportive')",-1.7497475,-1.6629076,0.0868399
13,-0.4924766,-0.25070438,"('impolite', 'polite')",-0.4924766,-0.2507044,0.2417722
14,-0.08277699,0.019326333,"('antisocial', 'social')",-0.082777,0.0193263,0.1021033
15,0.47023106,0.41117665,"('boring', 'funny')",0.4702311,0.4111767,-0.0590544
16,-0.5209032,-0.6655358,"('unpopular', 'popular')",-0.5209032,-0.6655358,-0.1446326
17,0.3362331,0.32980475,"('nasty', 'nice')",0.3362331,0.3298047,-0.0064284
18,-0.930178,-0.8205321,"('disagreeable', 'welcoming')",-0.930178,-0.8205321,0.1096459
19,-0.26064005,-0.35649726,"('inhospitable', 'hospitable')",-0.2606401,-0.3564973,-0.0958572
20,0.8152708,0.6214066,"('rough', 'thoughtful')",0.8152708,0.6214066,-0.1938642
21,-0.54665375,-0.24985734,"('immoral', 'moral')",-0.5466537,-0.2498573,0.2967964
22,-0.33379108,-0.21798398,"('untrustworthy', 'trustworthy')",-0.3337911,-0.217984,0.1158071
23,6.0368977,6.123025,"('insincere', 'sincere')",6.0368977,6.1230249,0.0861272
24,1.4962354,1.4802519,"('dishonest', 'honest')",1.4962354,1.4802519,-0.0159835
25,1.1752415,1.0675108,"('egoistic', 'altruistic')",1.1752415,1.0675108,-0.1077307
26,1.7007148,1.47507,"('hardhearted', 'benevolent')",1.7007148,1.47507,-0.2256448
27,1.8051339,1.5632144,"('hardhearted', 'softhearted')",1.8051339,1.5632144,-0.2419195
28,1.6293983,1.4380374,"('disloyal', 'loyal')",1.6293983,1.4380374,-0.1913609
29,-0.30787456,-0.47288227,"('unfair', 'fair')",-0.3078746,-0.4728823,-0.1650077
30,0.4468196,0.59060353,"('intolerant', 'tolerant')",0.4468196,0.5906035,0.1437839
31,-0.61306816,-0.7568929,"('evil', 'good')",-0.6130682,-0.7568929,-0.1438247
32,1.1093012,1.0185231,"('unkind', 'kind')",1.1093012,1.0185231,-0.0907781
33,0.0625505,-0.07949464,"('wrong', 'right')",0.0625505,-0.0794946,-0.1420451
34,4.4036117,4.494443,"('mean', 'honorable')",4.4036117,4.4944429,0.0908312
35,-0.13133131,-0.57586676,"('corrupt', 'incorrupt')",-0.1313313,-0.5758668,-0.4445355
36,-0.12459576,-0.49022615,"('hostile', 'amicable')",-0.1245958,-0.4902261,-0.3656303
37,0.80643374,0.8508225,"('fake', 'genuine')",0.8064337,0.8508225,0.0443888
38,-0.5886379,-0.4235171,"('untruthful', 'truthful')",-0.5886379,-0.4235171,0.1651208
39,0.16189905,0.23753951,"('exploitative', 'cooperative')",0.161899,0.2375395,0.0756405
40,-1.4449084,-1.4759374,"('stingy', 'generous')",-1.4449084,-1.4759374,-0.031029
41,0.54317844,0.4713621,"('unforgiving', 'forgiving')",0.5431784,0.4713621,-0.0718163
42,-2.4309099,-2.318896,"('unreliable', 'reliable')",-2.4309099,-2.3188961,0.1120138
43,0.46067843,0.6712765,"('irresponsible', 'responsible')",0.4606784,0.6712765,0.2105981
44,-1.2920705,-1.3143656,"('prejudiced', 'unprejudiced')",-1.2920705,-1.3143656,-0.0222951
45,0.629433,0.4521112,"('incompetent', 'competent')",0.629433,0.4521112,-0.1773218
46,-1.1882766,-1.0459332,"('uncompetitive', 'competitive')",-1.1882766,-1.0459332,0.1423434
47,4.7498264,4.837738,"('stupid', 'smart')",4.7498264,4.837738,0.0879116
48,0.33823553,0.3685292,"('unintelligent', 'intelligent')",0.3382355,0.3685292,0.0302937
49,-0.36066142,-0.24765341,"('unable', 'able')",-0.3606614,-0.2476534,0.113008
50,-0.37463206,-0.39764765,"('clumsy', 'skillful')",-0.3746321,-0.3976476,-0.0230155
51,0.14590655,0.2786154,"('uneducated', 'educated')",0.1459066,0.2786154,0.1327088
52,0.17443557,-0.108178824,"('irrational', 'rational')",0.1744356,-0.1081788,-0.2826144
53,0.20474465,0.063211925,"('uncreative', 'creative')",0.2047447,0.0632119,-0.1415328
54,0.9661957,0.9579872,"('incapable', 'capable')",0.9661957,0.9579872,-0.0082085
55,0.36521935,0.6121977,"('incompetent', 'clever')",0.3652194,0.6121977,0.2469783
56,0.105326995,0.13552415,"('impractical', 'practical')",0.105327,0.1355242,0.0301972
57,-2.1465313,-2.1201253,"('unimaginative', 'imaginative')",-2.1465313,-2.1201253,0.026406
58,0.53938365,0.58335465,"('undiscriminating', 'discriminating')",0.5393836,0.5833547,0.0439711
59,-0.19070336,-0.11611357,"('foolish', 'wise')",-0.1907034,-0.1161136,0.0745898
60,-0.49452218,-0.1388292,"('inefficient', 'efficient')",-0.4945222,-0.1388292,0.355693
61,0.32505572,0.14579165,"('illogical', 'logical')",0.3250557,0.1457916,-0.1792641
62,-0.03770612,0.21103778,"('incompetent', 'brilliant')",-0.0377061,0.2110378,0.2487439
63,-0.15600172,-0.037583247,"('unperceptive', 'insightful')",-0.1560017,-0.0375832,0.1184185
64,-7.011741,-6.7171073,"('shy', 'confident')",-7.0117412,-6.7171073,0.2946339
65,-0.33868757,-0.04138226,"('insecure', 'secure')",-0.3386876,-0.0413823,0.2973053
66,0.23580384,0.043278053,"('inactive', 'active')",0.2358038,0.0432781,-0.1925257
67,-0.58562195,-0.5483999,"('doubtful', 'determined')",-0.585622,-0.5483999,0.0372221
68,-1.2795691,-1.145108,"('dependent', 'independent')",-1.2795691,-1.145108,0.1344611
69,-1.5059907,-1.7129161,"('lazy', 'industrious')",-1.5059907,-1.7129161,-0.2069254
70,1.0841229,1.1420602,"('lethargic', 'energetic')",1.0841229,1.1420602,0.0579373
71,0.6027591,0.47023323,"('diffident', 'self-confident')",0.6027591,0.4702332,-0.1325259
72,0.66181535,0.94223243,"('unambitious', 'ambitious')",0.6618153,0.9422324,0.2804171
73,-2.9657815,-2.803369,"('helpless', 'self-reliant')",-2.9657815,-2.803369,0.1624125
74,0.45629537,0.34355444,"('undedicated', 'dedicated')",0.4562954,0.3435544,-0.112741
75,-0.59555256,-0.5393639,"('meek', 'impulsive')",-0.5955526,-0.5393639,0.0561887
76,0.01666703,0.26016983,"('anxious', 'daring')",0.016667,0.2601698,0.2435028
77,-1.6125623,-1.4947895,"('unmotivated', 'motivated')",-1.6125623,-1.4947895,0.1177728
78,-0.95785284,-1.1390929,"('nonresilient', 'resilient')",-0.9578528,-1.1390929,-0.1812401
79,0.34929448,0.22111376,"('wavering', 'unwavering')",0.3492945,0.2211138,-0.1281807
80,-0.018516954,-0.0139593445,"('dominated', 'dominating')",-0.018517,-0.0139593,0.0045577
81,-0.5499586,-0.29122126,"('submissive', 'aggressive')",-0.5499586,-0.2912213,0.2587373
82,6.3891406,6.2915707,"('poor', 'rich')",6.3891406,6.2915707,-0.0975699
83,-0.4241524,-0.34229407,"('powerless', 'powerful')",-0.4241524,-0.3422941,0.0818583
84,0.48936823,0.44127858,"('inferior', 'superior')",0.4893682,0.4412786,-0.0480896
85,-0.69526035,-0.91284853,"('insignificant', 'prestigious')",-0.6952603,-0.9128485,-0.2175882
86,0.80852777,0.7759446,"('uninfluential', 'influential')",0.8085278,0.7759446,-0.0325832
87,-0.076220766,-0.103297494,"('unsuccessful', 'successful')",-0.0762208,-0.1032975,-0.0270767
88,-0.011686716,-0.01624971,"('low', 'eminent')",-0.0116867,-0.0162497,-0.004563
