,basics_male,basics_female,tuple,average_male,average_female,female-male
0,0.38115636,0.26087496,"('unsociable', 'sociable')",0.3811564,0.260875,-0.1202814
1,1.8568367,1.854645,"('unfriendly', 'friendly')",1.8568367,1.854645,-0.0021917
2,0.1759826,0.32891047,"('unlikable', 'likable')",0.1759826,0.3289105,0.1529279
3,1.5090407,1.5277301,"('repellent', 'pleasant')",1.5090407,1.5277301,0.0186894
4,-7.06159,-7.0659585,"('disliked', 'liked')",-7.0615902,-7.0659585,-0.0043683
5,-0.0037346259,0.19371356,"('distant', 'outgoing')",-0.0037346,0.1937136,0.1974482
6,0.39159182,0.59013,"('distant', 'open')",0.3915918,0.59013,0.1985382
7,1.818808,1.8806193,"('insensitive', 'sensitive')",1.818808,1.8806193,0.0618113
8,1.0413705,1.1043241,"('unaffectionate', 'affectionate')",1.0413705,1.1043241,0.0629536
9,1.8052517,1.9107357,"('unaffectionate', 'caring')",1.8052517,1.9107357,0.105484
10,1.3146648,1.3476461,"('unsympathetic', 'sympathetic')",1.3146648,1.3476461,0.0329813
11,2.2329526,2.244515,"('unhelpful', 'helpful')",2.2329526,2.2445149,0.0115623
12,-0.93260694,-0.71194816,"('unsupportive', 'supportive')",-0.9326069,-0.7119482,0.2206587
13,0.30187926,0.14517415,"('impolite', 'polite')",0.3018793,0.1451741,-0.1567052
14,0.042062182,-0.07507227,"('antisocial', 'social')",0.0420622,-0.0750723,-0.1171345
15,0.3674907,0.4019944,"('boring', 'funny')",0.3674907,0.4019944,0.0345037
16,-0.313622,-0.22578433,"('unpopular', 'popular')",-0.313622,-0.2257843,0.0878377
17,-0.29870394,-0.27367476,"('nasty', 'nice')",-0.2987039,-0.2736748,0.0250291
18,-0.11855994,-0.061625473,"('disagreeable', 'welcoming')",-0.1185599,-0.0616255,0.0569344
19,-0.36219946,-0.113160014,"('inhospitable', 'hospitable')",-0.3621995,-0.11316,0.2490395
20,0.781134,0.6898445,"('rough', 'thoughtful')",0.781134,0.6898445,-0.0912895
21,0.23866874,0.43154728,"('immoral', 'moral')",0.2386687,0.4315473,0.1928786
22,0.024201537,0.10240571,"('untrustworthy', 'trustworthy')",0.0242015,0.1024057,0.0782042
23,7.2961464,7.361641,"('insincere', 'sincere')",7.2961464,7.3616409,0.0654945
24,2.378883,2.4861257,"('dishonest', 'honest')",2.3788829,2.4861257,0.1072428
