,veil_male,veil_female,tuple,average_male,average_female,female-male
0,0.5656493,0.4811242,"('unsociable', 'sociable')",0.5656493,0.4811242,-0.0845251
1,1.4825768,1.5165205,"('unfriendly', 'friendly')",1.4825768,1.5165205,0.0339437
2,0.9088159,1.0091424,"('unlikable', 'likable')",0.9088159,1.0091424,0.1003265
3,1.2024713,1.3488566,"('repellent', 'pleasant')",1.2024713,1.3488566,0.1463853
4,-6.6062813,-6.6324663,"('disliked', 'liked')",-6.6062813,-6.6324663,-0.026185
5,-0.22714113,-0.1916121,"('distant', 'outgoing')",-0.2271411,-0.1916121,0.035529
6,0.038302056,0.11339361,"('distant', 'open')",0.0383021,0.1133936,0.0750915
7,1.8711189,1.8898859,"('insensitive', 'sensitive')",1.8711189,1.8898859,0.018767
8,0.95116436,0.9163457,"('unaffectionate', 'affectionate')",0.9511644,0.9163457,-0.0348187
9,1.3898076,1.4701649,"('unaffectionate', 'caring')",1.3898076,1.4701649,0.0803573
10,1.8589736,1.8870364,"('unsympathetic', 'sympathetic')",1.8589736,1.8870364,0.0280628
11,2.206058,2.2199242,"('unhelpful', 'helpful')",2.206058,2.2199242,0.0138662
12,-0.57656074,-0.5666316,"('unsupportive', 'supportive')",-0.5765607,-0.5666316,0.0099291
13,0.59158546,0.5393,"('impolite', 'polite')",0.5915855,0.5393,-0.0522855
14,0.49280447,0.34968883,"('antisocial', 'social')",0.4928045,0.3496888,-0.1431157
15,0.27247497,0.31917155,"('boring', 'funny')",0.272475,0.3191715,0.0466965
16,-0.42340416,-0.30856752,"('unpopular', 'popular')",-0.4234042,-0.3085675,0.1148367
17,-0.13985866,-0.17309126,"('nasty', 'nice')",-0.1398587,-0.1730913,-0.0332326
18,0.062509224,0.015754692,"('disagreeable', 'welcoming')",0.0625092,0.0157547,-0.0467545
19,-0.13428849,-0.048325166,"('inhospitable', 'hospitable')",-0.1342885,-0.0483252,0.0859633
20,0.9364865,0.8583574,"('rough', 'thoughtful')",0.9364865,0.8583574,-0.0781291
21,0.7145174,0.7658492,"('immoral', 'moral')",0.7145174,0.7658492,0.0513318
22,0.3345472,0.23443873,"('untrustworthy', 'trustworthy')",0.3345472,0.2344387,-0.1001085
23,6.8882747,6.9897523,"('insincere', 'sincere')",6.8882747,6.9897523,0.1014776
