,cat_male,cat_female,tuple,average_male,average_female,female-male
0,0.1376095,-0.10200712,"('unsociable', 'sociable')",0.1376095,-0.1020071,-0.2396166
1,1.3094236,1.249918,"('unfriendly', 'friendly')",1.3094236,1.249918,-0.0595056
2,0.43850863,0.6019896,"('unlikable', 'likable')",0.4385086,0.6019896,0.163481
3,0.4120969,0.35167664,"('repellent', 'pleasant')",0.4120969,0.3516766,-0.0604203
4,-7.316117,-7.285882,"('disliked', 'liked')",-7.3161168,-7.285882,0.0302348
5,-0.44021553,-0.3262417,"('distant', 'outgoing')",-0.4402155,-0.3262417,0.1139738
6,-0.12779179,0.024513569,"('distant', 'open')",-0.1277918,0.0245136,0.1523054
7,0.3215931,0.34362945,"('insensitive', 'sensitive')",0.3215931,0.3436294,0.0220363
8,1.0548321,1.1325092,"('unaffectionate', 'affectionate')",1.0548321,1.1325092,0.0776771
9,1.8809327,2.007124,"('unaffectionate', 'caring')",1.8809327,2.0071239,0.1261912
10,0.8506319,0.8439106,"('unsympathetic', 'sympathetic')",0.8506319,0.8439106,-0.0067213
11,2.029099,2.122878,"('unhelpful', 'helpful')",2.029099,2.1228781,0.0937791
12,-1.5446731,-1.5382652,"('unsupportive', 'supportive')",-1.5446731,-1.5382652,0.0064079
13,0.25609162,0.09099485,"('impolite', 'polite')",0.2560916,0.0909948,-0.1650968
14,-0.21614294,-0.40409133,"('antisocial', 'social')",-0.2161429,-0.4040913,-0.1879484
15,0.9106183,0.8938261,"('boring', 'funny')",0.9106183,0.8938261,-0.0167922
16,-0.19118486,-0.2389352,"('unpopular', 'popular')",-0.1911849,-0.2389352,-0.0477503
17,-0.22426143,-0.2011621,"('nasty', 'nice')",-0.2242614,-0.2011621,0.0230993
18,-0.81343853,-0.9681617,"('disagreeable', 'welcoming')",-0.8134385,-0.9681617,-0.1547232
19,-0.56004906,-0.35882017,"('inhospitable', 'hospitable')",-0.5600491,-0.3588202,0.2012289
20,0.5425582,0.35020083,"('rough', 'thoughtful')",0.5425582,0.3502008,-0.1923574
21,-0.06055819,-0.013746906,"('immoral', 'moral')",-0.0605582,-0.0137469,0.0468113
22,-0.50297564,-0.49873337,"('untrustworthy', 'trustworthy')",-0.5029756,-0.4987334,0.0042422
23,6.163825,6.1293106,"('insincere', 'sincere')",6.163825,6.1293106,-0.0345144
24,1.6005725,1.6179165,"('dishonest', 'honest')",1.6005725,1.6179165,0.017344
25,0.75966924,0.62942934,"('egoistic', 'altruistic')",0.7596692,0.6294293,-0.1302399
