,tissue_male,tissue_female,tuple,average_male,average_female,female-male
0,0.36152992,0.26982412,"('unsociable', 'sociable')",0.3615299,0.2698241,-0.0917058
1,1.0739787,1.1326963,"('unfriendly', 'friendly')",1.0739787,1.1326963,0.0587176
2,0.37577623,0.49837658,"('unlikable', 'likable')",0.3757762,0.4983766,0.1226004
3,0.6481399,0.8110752,"('repellent', 'pleasant')",0.6481399,0.8110752,0.1629353
4,-7.0471344,-7.064345,"('disliked', 'liked')",-7.0471344,-7.0643449,-0.0172105
5,-0.45103928,-0.40779757,"('distant', 'outgoing')",-0.4510393,-0.4077976,0.0432417
6,-0.2584368,-0.2504037,"('distant', 'open')",-0.2584368,-0.2504037,0.0080331
7,1.5679883,1.5941086,"('insensitive', 'sensitive')",1.5679883,1.5941086,0.0261203
8,1.0549564,0.9780718,"('unaffectionate', 'affectionate')",1.0549564,0.9780718,-0.0768846
9,1.4977301,1.5283179,"('unaffectionate', 'caring')",1.4977301,1.5283179,0.0305878
10,1.5681515,1.5366265,"('unsympathetic', 'sympathetic')",1.5681515,1.5366265,-0.031525
11,1.9784176,2.0134945,"('unhelpful', 'helpful')",1.9784176,2.0134945,0.0350769
12,-0.85591704,-0.8533423,"('unsupportive', 'supportive')",-0.855917,-0.8533423,0.0025747
13,0.1855345,0.15864447,"('impolite', 'polite')",0.1855345,0.1586445,-0.02689
14,0.49081597,0.48286775,"('antisocial', 'social')",0.490816,0.4828677,-0.0079483
15,0.18176682,0.24278449,"('boring', 'funny')",0.1817668,0.2427845,0.0610177
16,-0.5784495,-0.47652772,"('unpopular', 'popular')",-0.5784495,-0.4765277,0.1019218
17,0.0041257553,0.0352057,"('nasty', 'nice')",0.0041258,0.0352057,0.0310799
18,-0.5038955,-0.44973683,"('disagreeable', 'welcoming')",-0.5038955,-0.4497368,0.0541587
19,-0.4779943,-0.44338682,"('inhospitable', 'hospitable')",-0.4779943,-0.4433868,0.0346075
20,0.7936652,0.7230366,"('rough', 'thoughtful')",0.7936652,0.7230366,-0.0706286
21,0.39321584,0.4625122,"('immoral', 'moral')",0.3932158,0.4625122,0.0692964
22,0.28036308,0.24531257,"('untrustworthy', 'trustworthy')",0.2803631,0.2453126,-0.0350505
23,6.273565,6.438341,"('insincere', 'sincere')",6.2735648,6.4383411,0.1647763
24,1.8935558,1.8874017,"('dishonest', 'honest')",1.8935558,1.8874017,-0.0061541
25,0.13431251,0.099974215,"('egoistic', 'altruistic')",0.1343125,0.0999742,-0.0343383
26,0.3159478,0.18513212,"('hardhearted', 'benevolent')",0.3159478,0.1851321,-0.1308157
27,1.7509913,1.5954885,"('hardhearted', 'softhearted')",1.7509913,1.5954885,-0.1555028
28,0.8573398,0.79276955,"('disloyal', 'loyal')",0.8573398,0.7927696,-0.0645702
29,-0.10344861,-0.21467191,"('unfair', 'fair')",-0.1034486,-0.2146719,-0.1112233
30,1.3479222,1.3312798,"('intolerant', 'tolerant')",1.3479222,1.3312798,-0.0166424
31,-1.2951906,-1.2711775,"('evil', 'good')",-1.2951906,-1.2711775,0.0240131
32,1.2294819,1.1775298,"('unkind', 'kind')",1.2294819,1.1775298,-0.0519521
33,-0.57393754,-0.5513662,"('wrong', 'right')",-0.5739375,-0.5513662,0.0225713
34,4.225166,4.42724,"('mean', 'honorable')",4.2251658,4.4272399,0.2020741
35,-1.2656741,-1.4219279,"('corrupt', 'incorrupt')",-1.2656741,-1.4219279,-0.1562538
36,-1.057958,-1.1868854,"('hostile', 'amicable')",-1.057958,-1.1868854,-0.1289274
37,0.8980397,0.8759471,"('fake', 'genuine')",0.8980397,0.8759471,-0.0220926
38,-0.06613762,-0.018379673,"('untruthful', 'truthful')",-0.0661376,-0.0183797,0.0477579
39,0.06592405,0.07646769,"('exploitative', 'cooperative')",0.065924,0.0764677,0.0105437
40,-0.9255503,-0.9805008,"('stingy', 'generous')",-0.9255503,-0.9805008,-0.0549505
