,earthquake_male,earthquake_female,tuple,average_male,average_female,female-male
0,0.26953378,0.3006798,"('unsociable', 'sociable')",0.2695338,0.3006798,0.031146
1,1.0770315,0.76998436,"('unfriendly', 'friendly')",1.0770315,0.7699844,-0.3070471
2,0.35693407,0.29094523,"('unlikable', 'likable')",0.3569341,0.2909452,-0.0659889
3,0.44642252,0.6670949,"('repellent', 'pleasant')",0.4464225,0.6670949,0.2206724
4,-6.972671,-7.0911264,"('disliked', 'liked')",-6.972671,-7.0911264,-0.1184554
5,-1.0788267,-1.323221,"('distant', 'outgoing')",-1.0788267,-1.323221,-0.2443943
6,-0.6956144,-0.957235,"('distant', 'open')",-0.6956144,-0.957235,-0.2616206
7,1.050044,1.1250069,"('insensitive', 'sensitive')",1.0500439,1.1250069,0.074963
8,1.2880523,1.0402243,"('unaffectionate', 'affectionate')",1.2880523,1.0402243,-0.247828
9,1.8790276,1.7409922,"('unaffectionate', 'caring')",1.8790276,1.7409922,-0.1380354
10,1.059137,1.245033,"('unsympathetic', 'sympathetic')",1.059137,1.245033,0.185896
11,1.698678,1.6748449,"('unhelpful', 'helpful')",1.698678,1.6748449,-0.0238331
12,-1.4556421,-1.4985467,"('unsupportive', 'supportive')",-1.4556421,-1.4985467,-0.0429046
13,0.06644133,0.14175084,"('impolite', 'polite')",0.0664413,0.1417508,0.0753095
14,0.310318,0.49633533,"('antisocial', 'social')",0.310318,0.4963353,0.1860173
15,0.4413945,0.19809794,"('boring', 'funny')",0.4413945,0.1980979,-0.2432966
16,-0.78578633,-0.98336387,"('unpopular', 'popular')",-0.7857863,-0.9833639,-0.1975776
17,-0.59764284,-0.69821596,"('nasty', 'nice')",-0.5976428,-0.698216,-0.1005732
18,-0.61566496,-0.78584754,"('disagreeable', 'welcoming')",-0.615665,-0.7858475,-0.1701825
19,-1.0882213,-1.2481018,"('inhospitable', 'hospitable')",-1.0882213,-1.2481018,-0.1598805
20,0.27125797,0.29094973,"('rough', 'thoughtful')",0.271258,0.2909497,0.0196917
21,0.18640852,0.39830565,"('immoral', 'moral')",0.1864085,0.3983057,0.2118972
22,-0.7088974,-0.6751406,"('untrustworthy', 'trustworthy')",-0.7088974,-0.6751406,0.0337568
23,6.045425,5.9529414,"('insincere', 'sincere')",6.0454249,5.9529414,-0.0924835
24,1.577755,1.5054129,"('dishonest', 'honest')",1.577755,1.5054129,-0.0723421
25,0.5796881,0.32084185,"('egoistic', 'altruistic')",0.5796881,0.3208418,-0.2588463
26,1.145098,1.0769506,"('hardhearted', 'benevolent')",1.145098,1.0769506,-0.0681474
27,1.1970816,1.0373561,"('hardhearted', 'softhearted')",1.1970816,1.0373561,-0.1597255
28,0.97687423,0.87489265,"('disloyal', 'loyal')",0.9768742,0.8748927,-0.1019815
29,-1.3002485,-1.4163294,"('unfair', 'fair')",-1.3002485,-1.4163294,-0.1160809
30,1.1796327,1.2218277,"('intolerant', 'tolerant')",1.1796327,1.2218277,0.042195
31,-1.981543,-2.2339745,"('evil', 'good')",-1.9815429,-2.2339745,-0.2524316
32,1.1768022,1.014229,"('unkind', 'kind')",1.1768022,1.0142291,-0.1625731
33,-0.6521767,-0.82794327,"('wrong', 'right')",-0.6521767,-0.8279433,-0.1757666
34,4.119047,4.0422125,"('mean', 'honorable')",4.1190472,4.0422125,-0.0768347
35,-1.00064,-1.3166581,"('corrupt', 'incorrupt')",-1.00064,-1.3166581,-0.3160181
36,-0.79832464,-1.1478975,"('hostile', 'amicable')",-0.7983246,-1.1478975,-0.3495729
