,invention_male,invention_female,tuple,average_male,average_female,female-male
0,-0.11141014,-0.1786531,"('unsociable', 'sociable')",-0.1114101,-0.1786531,-0.067243
1,0.8745448,0.74987817,"('unfriendly', 'friendly')",0.8745448,0.7498782,-0.1246666
2,0.069621496,0.2209934,"('unlikable', 'likable')",0.0696215,0.2209934,0.1513719
3,0.8924246,0.96290356,"('repellent', 'pleasant')",0.8924246,0.9629036,0.070479
4,-7.494353,-7.563669,"('disliked', 'liked')",-7.4943528,-7.5636692,-0.0693164
5,-0.7198483,-0.73021185,"('distant', 'outgoing')",-0.7198483,-0.7302119,-0.0103636
6,-0.14033896,-0.20087044,"('distant', 'open')",-0.140339,-0.2008704,-0.0605314
7,0.9114671,0.9017315,"('insensitive', 'sensitive')",0.9114671,0.9017315,-0.0097356
8,0.78199464,0.6083736,"('unaffectionate', 'affectionate')",0.7819946,0.6083736,-0.173621
9,1.4081218,1.346507,"('unaffectionate', 'caring')",1.4081218,1.346507,-0.0616148
10,1.2948977,1.3173026,"('unsympathetic', 'sympathetic')",1.2948977,1.3173026,0.0224049
11,1.6708016,1.6881839,"('unhelpful', 'helpful')",1.6708016,1.6881839,0.0173823
12,-1.6661806,-1.7209027,"('unsupportive', 'supportive')",-1.6661806,-1.7209027,-0.0547221
13,0.21335867,0.2125473,"('impolite', 'polite')",0.2133587,0.2125473,-0.0008114
14,0.02506278,-0.023333857,"('antisocial', 'social')",0.0250628,-0.0233339,-0.0483967
15,0.08912601,-0.023338161,"('boring', 'funny')",0.089126,-0.0233382,-0.1124642
16,-0.5746529,-0.5578314,"('unpopular', 'popular')",-0.5746529,-0.5578314,0.0168215
17,-0.3134721,-0.24354427,"('nasty', 'nice')",-0.3134721,-0.2435443,0.0699278
18,-0.32040557,-0.3225215,"('disagreeable', 'welcoming')",-0.3204056,-0.3225215,-0.0021159
19,-0.89346087,-0.92850995,"('inhospitable', 'hospitable')",-0.8934609,-0.92851,-0.0350491
20,0.99497694,0.91024977,"('rough', 'thoughtful')",0.9949769,0.9102498,-0.0847271
