,equipment_male,equipment_female,tuple,average_male,average_female,female-male
0,-0.0031206124,-0.2911169,"('unsociable', 'sociable')",-0.0031206,-0.2911169,-0.2879963
1,0.83803385,0.8228869,"('unfriendly', 'friendly')",0.8380339,0.8228869,-0.015147
2,0.2924083,0.35773253,"('unlikable', 'likable')",0.2924083,0.3577325,0.0653242
3,-0.39252767,-0.19799484,"('repellent', 'pleasant')",-0.3925277,-0.1979948,0.1945329
4,-6.143815,-6.2847695,"('disliked', 'liked')",-6.143815,-6.2847695,-0.1409545
5,-0.6544976,-0.52497596,"('distant', 'outgoing')",-0.6544976,-0.524976,0.1295216
6,-0.722145,-0.5842731,"('distant', 'open')",-0.722145,-0.5842731,0.1378719
7,0.6518202,0.7235852,"('insensitive', 'sensitive')",0.6518202,0.7235852,0.071765
8,0.23334461,0.19318089,"('unaffectionate', 'affectionate')",0.2333446,0.1931809,-0.0401637
9,1.3175818,1.3056339,"('unaffectionate', 'caring')",1.3175818,1.3056339,-0.0119479
10,0.106009945,0.02842312,"('unsympathetic', 'sympathetic')",0.1060099,0.0284231,-0.0775868
11,2.2705328,2.2403746,"('unhelpful', 'helpful')",2.2705328,2.2403746,-0.0301582
12,-1.1572038,-1.2790123,"('unsupportive', 'supportive')",-1.1572038,-1.2790123,-0.1218085
13,0.37789956,0.22788987,"('impolite', 'polite')",0.3778996,0.2278899,-0.1500097
14,0.375628,0.3413559,"('antisocial', 'social')",0.375628,0.3413559,-0.0342721
15,0.054717522,-0.05821714,"('boring', 'funny')",0.0547175,-0.0582171,-0.1129346
16,-0.40765163,-0.39158943,"('unpopular', 'popular')",-0.4076516,-0.3915894,0.0160622
17,-0.5268813,-0.49008706,"('nasty', 'nice')",-0.5268813,-0.4900871,0.0367942
18,-1.0748684,-1.0844325,"('disagreeable', 'welcoming')",-1.0748684,-1.0844325,-0.0095641
19,-0.939439,-0.8877022,"('inhospitable', 'hospitable')",-0.939439,-0.8877022,0.0517368
20,0.31223252,0.31890124,"('rough', 'thoughtful')",0.3122325,0.3189012,0.0066687
21,-0.032981146,-0.065310314,"('immoral', 'moral')",-0.0329811,-0.0653103,-0.0323292
22,-0.82702136,-0.749065,"('untrustworthy', 'trustworthy')",-0.8270214,-0.749065,0.0779564
23,5.641582,5.8448973,"('insincere', 'sincere')",5.641582,5.8448973,0.2033153
24,1.115634,1.1267769,"('dishonest', 'honest')",1.115634,1.1267769,0.0111429
25,0.4086073,0.36629903,"('egoistic', 'altruistic')",0.4086073,0.366299,-0.0423083
26,1.0578898,0.93740904,"('hardhearted', 'benevolent')",1.0578898,0.937409,-0.1204808
27,0.409778,0.5502541,"('hardhearted', 'softhearted')",0.409778,0.5502541,0.1404761
28,0.82910687,0.76500374,"('disloyal', 'loyal')",0.8291069,0.7650037,-0.0641032
29,-1.0223231,-1.1307677,"('unfair', 'fair')",-1.0223231,-1.1307677,-0.1084446
30,1.2287325,1.1263423,"('intolerant', 'tolerant')",1.2287325,1.1263423,-0.1023902
31,-1.7971551,-1.8095964,"('evil', 'good')",-1.7971551,-1.8095964,-0.0124413
