,result_male,result_female,tuple,average_male,average_female,female-male
0,0.13803306,-0.10433526,"('unsociable', 'sociable')",0.1380331,-0.1043353,-0.2423684
1,0.8163811,0.86077964,"('unfriendly', 'friendly')",0.8163811,0.8607796,0.0443985
2,0.32655662,0.45784804,"('unlikable', 'likable')",0.3265566,0.457848,0.1312914
3,0.64941096,0.68462896,"('repellent', 'pleasant')",0.649411,0.684629,0.035218
4,-7.5616655,-7.5372167,"('disliked', 'liked')",-7.5616655,-7.5372167,0.0244488
5,-0.8721579,-0.61097264,"('distant', 'outgoing')",-0.8721579,-0.6109726,0.2611853
6,-0.6496331,-0.353769,"('distant', 'open')",-0.6496331,-0.353769,0.2958641
7,0.66068673,0.64352787,"('insensitive', 'sensitive')",0.6606867,0.6435279,-0.0171588
8,0.9243182,1.0471923,"('unaffectionate', 'affectionate')",0.9243182,1.0471923,0.1228741
9,1.5036278,1.6190681,"('unaffectionate', 'caring')",1.5036278,1.6190681,0.1154403
10,1.5140144,1.5067863,"('unsympathetic', 'sympathetic')",1.5140144,1.5067863,-0.0072281
11,2.3477511,2.294604,"('unhelpful', 'helpful')",2.3477511,2.2946041,-0.053147
12,-1.7513614,-1.7829752,"('unsupportive', 'supportive')",-1.7513614,-1.7829752,-0.0316138
13,0.62478817,0.38102013,"('impolite', 'polite')",0.6247882,0.3810201,-0.2437681
14,0.09838586,-0.16505148,"('antisocial', 'social')",0.0983859,-0.1650515,-0.2634374
15,0.3879463,0.33361763,"('boring', 'funny')",0.3879463,0.3336176,-0.0543287
16,-0.6203337,-0.5200225,"('unpopular', 'popular')",-0.6203337,-0.5200225,0.1003112
17,-0.22415683,-0.22182323,"('nasty', 'nice')",-0.2241568,-0.2218232,0.0023336
18,-0.8992505,-0.9517952,"('disagreeable', 'welcoming')",-0.8992505,-0.9517952,-0.0525447
19,-1.1133863,-0.8419274,"('inhospitable', 'hospitable')",-1.1133863,-0.8419274,0.2714589
20,0.83155084,0.65726036,"('rough', 'thoughtful')",0.8315508,0.6572604,-0.1742904
21,0.2628377,0.29616436,"('immoral', 'moral')",0.2628377,0.2961644,0.0333267
22,-0.31371626,-0.40847984,"('untrustworthy', 'trustworthy')",-0.3137163,-0.4084798,-0.0947635
23,6.635415,6.590723,"('insincere', 'sincere')",6.6354151,6.590723,-0.0446921
24,1.928039,1.9275546,"('dishonest', 'honest')",1.928039,1.9275546,-0.0004844
25,0.32395867,0.32674938,"('egoistic', 'altruistic')",0.3239587,0.3267494,0.0027907
26,0.15786043,-0.027139332,"('hardhearted', 'benevolent')",0.1578604,-0.0271393,-0.1849997
27,1.2821162,1.2012982,"('hardhearted', 'softhearted')",1.2821162,1.2012982,-0.080818
28,1.308053,1.2411326,"('disloyal', 'loyal')",1.308053,1.2411326,-0.0669204
29,-0.6936778,-0.7906701,"('unfair', 'fair')",-0.6936778,-0.7906701,-0.0969923
30,0.8789522,0.8192191,"('intolerant', 'tolerant')",0.8789522,0.8192191,-0.0597331
31,-2.1351779,-1.9288943,"('evil', 'good')",-2.1351779,-1.9288943,0.2062836
32,1.4541836,1.3541514,"('unkind', 'kind')",1.4541836,1.3541514,-0.1000322
33,-0.57588005,-0.560103,"('wrong', 'right')",-0.5758801,-0.560103,0.0157771
34,4.493283,4.7797475,"('mean', 'honorable')",4.4932828,4.7797475,0.2864647
35,-1.3082755,-1.3118807,"('corrupt', 'incorrupt')",-1.3082755,-1.3118807,-0.0036052
36,-1.2387766,-1.1918886,"('hostile', 'amicable')",-1.2387766,-1.1918886,0.046888
37,0.96564245,0.9549297,"('fake', 'genuine')",0.9656425,0.9549297,-0.0107128
38,0.11691017,0.16630644,"('untruthful', 'truthful')",0.1169102,0.1663064,0.0493962
39,0.039470248,-0.0726898,"('exploitative', 'cooperative')",0.0394702,-0.0726898,-0.11216
40,-2.1938174,-2.3712213,"('stingy', 'generous')",-2.1938174,-2.3712213,-0.1774039
41,0.039217852,-0.06899692,"('unforgiving', 'forgiving')",0.0392179,-0.0689969,-0.1082148
42,-2.252686,-2.3107584,"('unreliable', 'reliable')",-2.252686,-2.3107584,-0.0580724
43,1.0891634,1.0812728,"('irresponsible', 'responsible')",1.0891634,1.0812728,-0.0078906
44,-1.2166831,-1.2834506,"('prejudiced', 'unprejudiced')",-1.2166831,-1.2834506,-0.0667675
45,0.41718566,0.31760648,"('incompetent', 'competent')",0.4171857,0.3176065,-0.0995792
46,-0.19045278,-0.32073563,"('uncompetitive', 'competitive')",-0.1904528,-0.3207356,-0.1302828
47,5.507145,5.6548176,"('stupid', 'smart')",5.5071449,5.6548176,0.1476727
48,0.861076,0.78466386,"('unintelligent', 'intelligent')",0.861076,0.7846639,-0.0764121
49,0.03701681,0.26095676,"('unable', 'able')",0.0370168,0.2609568,0.22394
50,-0.116111785,-0.09493839,"('clumsy', 'skillful')",-0.1161118,-0.0949384,0.0211734
51,0.77715147,0.7118412,"('uneducated', 'educated')",0.7771515,0.7118412,-0.0653103
52,-0.610696,-0.5538864,"('irrational', 'rational')",-0.610696,-0.5538864,0.0568096
53,-0.16622831,-0.16623591,"('uncreative', 'creative')",-0.1662283,-0.1662359,-7.6e-06
54,1.0138478,1.2270995,"('incapable', 'capable')",1.0138478,1.2270995,0.2132517
55,1.0461814,0.92456156,"('incompetent', 'clever')",1.0461814,0.9245616,-0.1216198
56,0.93040866,0.8537475,"('impractical', 'practical')",0.9304087,0.8537475,-0.0766612
57,-2.6410973,-2.6699638,"('unimaginative', 'imaginative')",-2.6410973,-2.6699638,-0.0288665
58,-0.121134974,-0.1836547,"('undiscriminating', 'discriminating')",-0.121135,-0.1836547,-0.0625197
59,-0.28006133,-0.13543446,"('foolish', 'wise')",-0.2800613,-0.1354345,0.1446268
60,1.2496568,1.103906,"('inefficient', 'efficient')",1.2496568,1.103906,-0.1457508
61,0.30588987,0.042676643,"('illogical', 'logical')",0.3058899,0.0426766,-0.2632133
62,1.5510393,1.4960757,"('incompetent', 'brilliant')",1.5510393,1.4960757,-0.0549636
63,0.48493838,0.51347446,"('unperceptive', 'insightful')",0.4849384,0.5134745,0.0285361
64,-5.8596973,-5.876866,"('shy', 'confident')",-5.8596973,-5.8768659,-0.0171686
65,0.7588396,0.5957467,"('insecure', 'secure')",0.7588396,0.5957467,-0.1630929
66,-0.366468,-0.34226677,"('inactive', 'active')",-0.366468,-0.3422668,0.0242012
67,-0.36740533,-0.35462976,"('doubtful', 'determined')",-0.3674053,-0.3546298,0.0127755
68,-0.73611665,-0.6204256,"('dependent', 'independent')",-0.7361166,-0.6204256,0.115691
69,-2.4379678,-2.254759,"('lazy', 'industrious')",-2.4379678,-2.2547591,0.1832087
70,1.259778,1.151499,"('lethargic', 'energetic')",1.259778,1.151499,-0.108279
71,-0.01127325,0.04282584,"('diffident', 'self-confident')",-0.0112732,0.0428258,0.054099
72,1.0121868,1.0455158,"('unambitious', 'ambitious')",1.0121868,1.0455158,0.033329
73,-3.187927,-3.170401,"('helpless', 'self-reliant')",-3.187927,-3.1704011,0.0175259
74,0.08237044,-0.06958061,"('undedicated', 'dedicated')",0.0823704,-0.0695806,-0.151951
75,-1.0742198,-0.82524854,"('meek', 'impulsive')",-1.0742198,-0.8252485,0.2489713
76,0.9891871,0.85670567,"('anxious', 'daring')",0.9891871,0.8567057,-0.1324814
77,-0.97472227,-0.9540227,"('unmotivated', 'motivated')",-0.9747223,-0.9540227,0.0206996
78,-0.75027186,-0.790007,"('nonresilient', 'resilient')",-0.7502719,-0.790007,-0.0397351
79,-0.7021339,-0.4190053,"('wavering', 'unwavering')",-0.7021339,-0.4190053,0.2831286
80,0.30983448,0.041424748,"('dominated', 'dominating')",0.3098345,0.0414247,-0.2684098
81,0.59405094,0.49584588,"('submissive', 'aggressive')",0.5940509,0.4958459,-0.098205
82,6.418665,6.7023935,"('poor', 'rich')",6.4186649,6.7023935,0.2837286
83,-0.35070866,-0.32730597,"('powerless', 'powerful')",-0.3507087,-0.327306,0.0234027
84,0.12564743,0.2206268,"('inferior', 'superior')",0.1256474,0.2206268,0.0949794
85,-1.6742904,-1.5410714,"('insignificant', 'prestigious')",-1.6742904,-1.5410714,0.133219
86,0.48544073,0.49979612,"('uninfluential', 'influential')",0.4854407,0.4997961,0.0143554
87,-0.08957128,0.035526026,"('unsuccessful', 'successful')",-0.0895713,0.035526,0.1250973
88,0.23662713,0.28168094,"('low', 'eminent')",0.2366271,0.2816809,0.0450538
