,mylan_male,mylan_female,tuple,nv_male,nv_female,average_male,average_female,female-male
0,1.2526295,1.0913422,"('unsociable', 'sociable')",0.52813584,0.3995977,0.8903826,0.7454699,-0.1449127
1,-1.1707919,-1.2184439,"('unfriendly', 'friendly')",-1.583544,-1.6536592,-1.3771679,-1.4360516,-0.0588837
2,0.8520532,0.91130275,"('unlikable', 'likable')",1.3196082,1.3922045,1.0858307,1.1517537,0.065923
3,0.8687334,0.9618714,"('repellent', 'pleasant')",1.6068952,1.6236553,1.2378143,1.2927634,0.0549491
4,0.36082658,0.3530477,"('disliked', 'liked')",-2.3520653,-2.3651948,-0.9956194,-1.0060736,-0.0104542
5,-1.7504988,-1.6319453,"('distant', 'outgoing')",-1.6897339,-1.6628658,-1.7201164,-1.6474055,0.0727109
6,-2.5310478,-2.3560843,"('distant', 'open')",-1.8031206,-1.7279086,-2.1670842,-2.0419965,0.1250877
7,0.34424394,0.31387693,"('insensitive', 'sensitive')",-0.18645234,-0.19307566,0.0788958,0.0604006,-0.0184952
8,-0.651057,-0.6924719,"('unaffectionate', 'affectionate')",-1.4926612,-1.5364766,-1.0718591,-1.1144743,-0.0426152
9,-0.63596404,-0.6803767,"('unaffectionate', 'caring')",-0.9116204,-0.9595121,-0.7737922,-0.8199444,-0.0461522
10,0.22790678,0.11450873,"('unsympathetic', 'sympathetic')",0.6097304,0.53139997,0.4188186,0.3229544,-0.0958642
11,1.6779764,1.5470196,"('unhelpful', 'helpful')",2.123391,2.037005,1.9006836,1.7920122,-0.1086714
12,0.80971193,0.8244209,"('unsupportive', 'supportive')",-0.5290683,-0.54606336,0.1403218,0.1391788,-0.001143
13,0.32143053,0.22906369,"('impolite', 'polite')",0.48646012,0.47085258,0.4039453,0.3499581,-0.0539872
14,1.7897452,1.7652237,"('antisocial', 'social')",0.9162793,0.8429644,1.3530123,1.3040941,-0.0489182
15,-0.1311742,-0.21624675,"('boring', 'funny')",0.97108305,0.86838275,0.4199544,0.326068,-0.0938864
16,-0.26478982,-0.2893588,"('unpopular', 'popular')",-0.21457215,-0.21744974,-0.239681,-0.2534043,-0.0137233
17,0.5182972,0.45519596,"('nasty', 'nice')",0.15790705,0.12800549,0.3381021,0.2916007,-0.0465014
18,0.4955818,0.5183594,"('disagreeable', 'welcoming')",-0.8035132,-0.84243375,-0.1539657,-0.1620372,-0.0080715
19,-1.3322895,-1.2910193,"('inhospitable', 'hospitable')",-0.5871564,-0.6142837,-0.9597229,-0.9526515,0.0070714
20,-0.5898082,-0.59616435,"('rough', 'thoughtful')",-0.042620204,-0.07568292,-0.3162142,-0.3359236,-0.0197094
21,0.7873939,0.66794956,"('immoral', 'moral')",0.8596501,0.82078314,0.823522,0.7443663,-0.0791557
22,0.6456099,0.6999571,"('untrustworthy', 'trustworthy')",0.59453136,0.6569585,0.6200706,0.6784578,0.0583872
23,0.95485556,0.7740194,"('insincere', 'sincere')",2.7507176,2.6462653,1.8527865,1.7101424,-0.1426441
