,figure_male,figure_female,tuple,average_male,average_female,female-male
0,0.14771806,0.0007804171,"('unsociable', 'sociable')",0.1477181,0.0007804,-0.1469377
1,1.6538447,1.7060742,"('unfriendly', 'friendly')",1.6538447,1.7060742,0.0522295
2,0.5430317,0.6704799,"('unlikable', 'likable')",0.5430317,0.6704799,0.1274482
3,1.090022,1.1715426,"('repellent', 'pleasant')",1.090022,1.1715426,0.0815206
4,-7.155693,-7.052907,"('disliked', 'liked')",-7.1556931,-7.052907,0.1027861
5,-0.1833084,-0.11120152,"('distant', 'outgoing')",-0.1833084,-0.1112015,0.0721069
6,0.027516026,0.105990306,"('distant', 'open')",0.027516,0.1059903,0.0784743
7,1.7471057,1.6759592,"('insensitive', 'sensitive')",1.7471057,1.6759592,-0.0711465
8,1.0478901,1.1046402,"('unaffectionate', 'affectionate')",1.0478901,1.1046402,0.0567501
9,1.6182537,1.701991,"('unaffectionate', 'caring')",1.6182537,1.701991,0.0837373
10,1.4536394,1.4150537,"('unsympathetic', 'sympathetic')",1.4536394,1.4150537,-0.0385857
11,2.3786287,2.3624747,"('unhelpful', 'helpful')",2.3786287,2.3624747,-0.016154
12,-0.96505785,-0.9473314,"('unsupportive', 'supportive')",-0.9650578,-0.9473314,0.0177264
13,0.4399851,0.30881009,"('impolite', 'polite')",0.4399851,0.3088101,-0.131175
14,0.49833947,0.36211142,"('antisocial', 'social')",0.4983395,0.3621114,-0.1362281
15,0.48446614,0.5438726,"('boring', 'funny')",0.4844661,0.5438726,0.0594065
16,-0.5044727,-0.3932327,"('unpopular', 'popular')",-0.5044727,-0.3932327,0.11124
17,-0.105727,-0.04661807,"('nasty', 'nice')",-0.105727,-0.0466181,0.0591089
18,-0.12788342,-0.16143051,"('disagreeable', 'welcoming')",-0.1278834,-0.1614305,-0.0335471
19,-0.2633958,-0.116169974,"('inhospitable', 'hospitable')",-0.2633958,-0.11617,0.1472258
20,0.9177797,0.8297259,"('rough', 'thoughtful')",0.9177797,0.8297259,-0.0880538
21,0.5513131,0.5481182,"('immoral', 'moral')",0.5513131,0.5481182,-0.0031949
22,0.24518438,0.17192313,"('untrustworthy', 'trustworthy')",0.2451844,0.1719231,-0.0732613
23,7.266425,7.2326455,"('insincere', 'sincere')",7.2664251,7.2326455,-0.0337796
24,2.4367688,2.4105067,"('dishonest', 'honest')",2.4367688,2.4105067,-0.0262621
25,0.3380071,0.24779224,"('egoistic', 'altruistic')",0.3380071,0.2477922,-0.0902149
26,0.14772472,0.19726017,"('hardhearted', 'benevolent')",0.1477247,0.1972602,0.0495355
27,1.4156183,1.3118578,"('hardhearted', 'softhearted')",1.4156183,1.3118578,-0.1037605
28,1.4323008,1.4442528,"('disloyal', 'loyal')",1.4323008,1.4442528,0.011952
29,0.018607559,-0.06263907,"('unfair', 'fair')",0.0186076,-0.0626391,-0.0812467
30,1.1098411,1.0361305,"('intolerant', 'tolerant')",1.1098411,1.0361305,-0.0737106
31,-1.5218873,-1.4456145,"('evil', 'good')",-1.5218873,-1.4456145,0.0762728
32,1.4052112,1.3245071,"('unkind', 'kind')",1.4052112,1.3245071,-0.0807041
33,-0.44281685,-0.41993004,"('wrong', 'right')",-0.4428169,-0.41993,0.0228869
34,4.8607984,5.0254083,"('mean', 'honorable')",4.8607984,5.0254083,0.1646099
35,-1.0238298,-1.0128466,"('corrupt', 'incorrupt')",-1.0238298,-1.0128466,0.0109832
36,-1.1556829,-1.0310469,"('hostile', 'amicable')",-1.1556829,-1.0310469,0.124636
37,1.1286399,1.129232,"('fake', 'genuine')",1.1286399,1.129232,0.0005921
38,0.49082398,0.4535104,"('untruthful', 'truthful')",0.490824,0.4535104,-0.0373136
39,-0.09569484,-0.16229977,"('exploitative', 'cooperative')",-0.0956948,-0.1622998,-0.066605
40,-1.151819,-1.2405481,"('stingy', 'generous')",-1.151819,-1.2405481,-0.0887291
41,-0.046672318,-0.0874791,"('unforgiving', 'forgiving')",-0.0466723,-0.0874791,-0.0408068
42,-1.7414007,-1.7367572,"('unreliable', 'reliable')",-1.7414007,-1.7367572,0.0046435
43,1.7854056,1.6827097,"('irresponsible', 'responsible')",1.7854056,1.6827097,-0.1026959
44,-1.442119,-1.5424037,"('prejudiced', 'unprejudiced')",-1.442119,-1.5424037,-0.1002847
45,0.58324695,0.5259811,"('incompetent', 'competent')",0.5832469,0.5259811,-0.0572658
46,-0.18500595,-0.22232093,"('uncompetitive', 'competitive')",-0.1850059,-0.2223209,-0.037315
47,5.4569044,5.5609603,"('stupid', 'smart')",5.4569044,5.5609603,0.1040559
48,1.2722614,1.1810819,"('unintelligent', 'intelligent')",1.2722614,1.1810819,-0.0911795
49,0.42535058,0.51825035,"('unable', 'able')",0.4253506,0.5182503,0.0928997
50,0.35695592,0.51164985,"('clumsy', 'skillful')",0.3569559,0.5116498,0.1546939
51,1.2006212,1.1872723,"('uneducated', 'educated')",1.2006212,1.1872723,-0.0133489
52,-0.50856256,-0.43689224,"('irrational', 'rational')",-0.5085626,-0.4368922,0.0716704
53,0.8228528,0.8725848,"('uncreative', 'creative')",0.8228528,0.8725848,0.049732
54,1.4994334,1.6459209,"('incapable', 'capable')",1.4994334,1.6459209,0.1464875
55,1.4758612,1.3483858,"('incompetent', 'clever')",1.4758612,1.3483858,-0.1274754
56,1.2906003,1.2059487,"('impractical', 'practical')",1.2906003,1.2059487,-0.0846516
57,-2.199321,-2.1492038,"('unimaginative', 'imaginative')",-2.199321,-2.1492038,0.0501172
58,-0.069553435,-0.08072108,"('undiscriminating', 'discriminating')",-0.0695534,-0.0807211,-0.0111677
59,0.026477238,0.22878215,"('foolish', 'wise')",0.0264772,0.2287821,0.2023049
60,1.0169594,0.8538426,"('inefficient', 'efficient')",1.0169594,0.8538426,-0.1631168
61,0.733888,0.5749525,"('illogical', 'logical')",0.733888,0.5749525,-0.1589355
62,1.725835,1.6372935,"('incompetent', 'brilliant')",1.725835,1.6372935,-0.0885415
63,1.3861939,1.3958747,"('unperceptive', 'insightful')",1.3861939,1.3958747,0.0096808
64,-5.38667,-5.377683,"('shy', 'confident')",-5.3866701,-5.3776832,0.0089869
65,1.3570459,1.265838,"('insecure', 'secure')",1.3570459,1.265838,-0.0912079
66,0.08070041,0.15421271,"('inactive', 'active')",0.0807004,0.1542127,0.0735123
67,-0.8148882,-0.8327957,"('doubtful', 'determined')",-0.8148882,-0.8327957,-0.0179075
68,-0.08683905,-0.1148889,"('dependent', 'independent')",-0.0868391,-0.1148889,-0.0280498
69,-1.6549488,-1.597568,"('lazy', 'industrious')",-1.6549488,-1.597568,0.0573808
70,1.7789276,1.7257853,"('lethargic', 'energetic')",1.7789276,1.7257853,-0.0531423
71,0.71509045,0.82449394,"('diffident', 'self-confident')",0.7150905,0.8244939,0.1094034
72,1.187336,1.1618446,"('unambitious', 'ambitious')",1.187336,1.1618446,-0.0254914
73,-2.8899884,-2.7763774,"('helpless', 'self-reliant')",-2.8899884,-2.7763774,0.113611
74,0.3129371,0.20691153,"('undedicated', 'dedicated')",0.3129371,0.2069115,-0.1060256
75,-0.8948494,-0.7716198,"('meek', 'impulsive')",-0.8948494,-0.7716198,0.1232296
76,1.1194737,0.9963387,"('anxious', 'daring')",1.1194737,0.9963387,-0.123135
77,-0.9136619,-0.9445164,"('unmotivated', 'motivated')",-0.9136619,-0.9445164,-0.0308545
78,-0.38261855,-0.38060912,"('nonresilient', 'resilient')",-0.3826185,-0.3806091,0.0020094
79,-0.26019117,-0.085699946,"('wavering', 'unwavering')",-0.2601912,-0.0856999,0.1744913
80,0.22830874,0.12823239,"('dominated', 'dominating')",0.2283087,0.1282324,-0.1000763
81,0.5663007,0.54976916,"('submissive', 'aggressive')",0.5663007,0.5497692,-0.0165315
82,6.467668,6.672754,"('poor', 'rich')",6.4676681,6.6727538,0.2050857
83,-0.18880795,-0.25453648,"('powerless', 'powerful')",-0.1888079,-0.2545365,-0.0657286
84,0.0716694,0.11353635,"('inferior', 'superior')",0.0716694,0.1135364,0.041867
85,-1.5383922,-1.4107742,"('insignificant', 'prestigious')",-1.5383922,-1.4107742,0.127618
86,1.105822,1.092154,"('uninfluential', 'influential')",1.105822,1.092154,-0.013668
87,0.29494616,0.44950774,"('unsuccessful', 'successful')",0.2949462,0.4495077,0.1545615
88,0.17367208,0.31798947,"('low', 'eminent')",0.1736721,0.3179895,0.1443174
