,guard_male,guard_female,tuple,average_male,average_female,female-male
0,0.98732513,0.8517017,"('unsociable', 'sociable')",0.9873251,0.8517017,-0.1356234
1,0.4079486,0.61447424,"('unfriendly', 'friendly')",0.4079486,0.6144742,0.2065256
2,0.48754647,0.605509,"('unlikable', 'likable')",0.4875465,0.605509,0.1179625
3,0.30051878,0.51294744,"('repellent', 'pleasant')",0.3005188,0.5129474,0.2124286
4,-7.7368927,-7.6523046,"('disliked', 'liked')",-7.7368927,-7.6523046,0.0845881
5,-1.1412935,-1.0021106,"('distant', 'outgoing')",-1.1412935,-1.0021106,0.1391829
6,-0.6804227,-0.56019163,"('distant', 'open')",-0.6804227,-0.5601916,0.1202311
7,1.6458857,1.6969799,"('insensitive', 'sensitive')",1.6458857,1.6969799,0.0510942
8,1.0660952,1.1179203,"('unaffectionate', 'affectionate')",1.0660952,1.1179203,0.0518251
9,1.6617093,1.7724409,"('unaffectionate', 'caring')",1.6617093,1.7724409,0.1107316
10,1.7131284,1.5624509,"('unsympathetic', 'sympathetic')",1.7131284,1.5624509,-0.1506775
11,2.000252,1.9472377,"('unhelpful', 'helpful')",2.000252,1.9472377,-0.0530143
12,-1.1523407,-1.1597388,"('unsupportive', 'supportive')",-1.1523407,-1.1597388,-0.0073981
13,0.63566995,0.542634,"('impolite', 'polite')",0.6356699,0.542634,-0.0930359
14,0.60287577,0.6238231,"('antisocial', 'social')",0.6028758,0.6238231,0.0209473
15,-0.080176175,-0.11163381,"('boring', 'funny')",-0.0801762,-0.1116338,-0.0314576
16,-0.48689038,-0.30417877,"('unpopular', 'popular')",-0.4868904,-0.3041788,0.1827116
17,-0.14882351,-0.20632485,"('nasty', 'nice')",-0.1488235,-0.2063248,-0.0575013
18,-1.0435783,-0.9064606,"('disagreeable', 'welcoming')",-1.0435783,-0.9064606,0.1371177
19,-0.76110697,-0.66186374,"('inhospitable', 'hospitable')",-0.761107,-0.6618637,0.0992433
20,0.5371067,0.52276856,"('rough', 'thoughtful')",0.5371067,0.5227686,-0.0143381
21,0.086579405,0.17712566,"('immoral', 'moral')",0.0865794,0.1771257,0.0905463
22,-0.05517537,-0.1031606,"('untrustworthy', 'trustworthy')",-0.0551754,-0.1031606,-0.0479852
23,6.3188376,6.44817,"('insincere', 'sincere')",6.3188376,6.4481702,0.1293326
24,1.3242409,1.3492012,"('dishonest', 'honest')",1.3242409,1.3492012,0.0249603
25,0.16162321,0.28443667,"('egoistic', 'altruistic')",0.1616232,0.2844367,0.1228135
26,0.8414053,0.76021457,"('hardhearted', 'benevolent')",0.8414053,0.7602146,-0.0811907
27,0.90712154,0.883506,"('hardhearted', 'softhearted')",0.9071215,0.883506,-0.0236155
28,1.6651051,1.6013994,"('disloyal', 'loyal')",1.6651051,1.6013994,-0.0637057
29,-0.37999192,-0.60351914,"('unfair', 'fair')",-0.3799919,-0.6035191,-0.2235272
30,1.4585352,1.455933,"('intolerant', 'tolerant')",1.4585352,1.455933,-0.0026022
31,-2.1724539,-2.0647929,"('evil', 'good')",-2.1724539,-2.0647929,0.107661
32,1.8797837,1.795696,"('unkind', 'kind')",1.8797837,1.795696,-0.0840877
33,-0.55209243,-0.5469761,"('wrong', 'right')",-0.5520924,-0.5469761,0.0051163
34,4.4575787,4.7057514,"('mean', 'honorable')",4.4575787,4.7057514,0.2481727
35,-0.9787824,-1.1531581,"('corrupt', 'incorrupt')",-0.9787824,-1.1531581,-0.1743757
36,-0.88931274,-0.90472907,"('hostile', 'amicable')",-0.8893127,-0.9047291,-0.0154164
37,0.4975472,0.4745958,"('fake', 'genuine')",0.4975472,0.4745958,-0.0229514
38,0.220641,0.21455264,"('untruthful', 'truthful')",0.220641,0.2145526,-0.0060884
39,-0.26675954,-0.25705227,"('exploitative', 'cooperative')",-0.2667595,-0.2570523,0.0097072
40,-2.472892,-2.409279,"('stingy', 'generous')",-2.472892,-2.4092791,0.0636129
41,0.30658177,0.15573323,"('unforgiving', 'forgiving')",0.3065818,0.1557332,-0.1508486
42,-2.249596,-2.2453978,"('unreliable', 'reliable')",-2.2495961,-2.2453978,0.0041983
43,1.7779237,1.7204349,"('irresponsible', 'responsible')",1.7779237,1.7204349,-0.0574888
44,-1.5813904,-1.6432195,"('prejudiced', 'unprejudiced')",-1.5813904,-1.6432195,-0.0618291
45,0.3291761,0.23361085,"('incompetent', 'competent')",0.3291761,0.2336109,-0.0955652
46,-0.33852994,-0.37899727,"('uncompetitive', 'competitive')",-0.3385299,-0.3789973,-0.0404674
47,5.9599414,6.120667,"('stupid', 'smart')",5.9599414,6.120667,0.1607256
48,0.6827935,0.80928296,"('unintelligent', 'intelligent')",0.6827935,0.809283,0.1264895
49,-0.42977226,-0.17261493,"('unable', 'able')",-0.4297723,-0.1726149,0.2571574
50,-0.44847268,-0.32110998,"('clumsy', 'skillful')",-0.4484727,-0.32111,0.1273627
51,0.43308395,0.399902,"('uneducated', 'educated')",0.433084,0.399902,-0.033182
52,-0.99301076,-0.9750552,"('irrational', 'rational')",-0.9930108,-0.9750552,0.0179556
53,-0.05836872,0.08110181,"('uncreative', 'creative')",-0.0583687,0.0811018,0.1394705
54,1.2077726,1.3189822,"('incapable', 'capable')",1.2077726,1.3189822,0.1112096
55,1.0563679,1.090967,"('incompetent', 'clever')",1.0563679,1.0909671,0.0345992
56,1.4051677,1.3896283,"('impractical', 'practical')",1.4051677,1.3896283,-0.0155394
57,-2.715454,-2.77747,"('unimaginative', 'imaginative')",-2.7154541,-2.7774701,-0.062016
58,-0.306081,-0.35790065,"('undiscriminating', 'discriminating')",-0.306081,-0.3579006,-0.0518196
59,-0.40131366,-0.29565835,"('foolish', 'wise')",-0.4013137,-0.2956583,0.1056554
60,1.3693151,1.4472555,"('inefficient', 'efficient')",1.3693151,1.4472555,0.0779404
61,0.57056546,0.42257053,"('illogical', 'logical')",0.5705655,0.4225705,-0.147995
62,0.6337526,0.83507824,"('incompetent', 'brilliant')",0.6337526,0.8350782,0.2013256
63,0.21122885,0.28510103,"('unperceptive', 'insightful')",0.2112288,0.285101,0.0738722
64,-6.140776,-6.1282315,"('shy', 'confident')",-6.1407762,-6.1282315,0.0125447
65,1.3882313,1.2882016,"('insecure', 'secure')",1.3882313,1.2882016,-0.1000297
66,-0.12759647,-0.2396104,"('inactive', 'active')",-0.1275965,-0.2396104,-0.1120139
67,-0.20413217,-0.22634408,"('doubtful', 'determined')",-0.2041322,-0.2263441,-0.0222119
68,-0.67016476,-0.6607172,"('dependent', 'independent')",-0.6701648,-0.6607172,0.0094476
69,-1.6766406,-1.5987878,"('lazy', 'industrious')",-1.6766406,-1.5987878,0.0778528
70,1.2496797,1.2352444,"('lethargic', 'energetic')",1.2496797,1.2352444,-0.0144353
71,-0.0020383904,0.24896342,"('diffident', 'self-confident')",-0.0020384,0.2489634,0.2510018
72,0.68641263,0.7375722,"('unambitious', 'ambitious')",0.6864126,0.7375722,0.0511596
73,-3.969107,-3.8482833,"('helpless', 'self-reliant')",-3.9691069,-3.8482833,0.1208236
74,0.2450553,0.15669328,"('undedicated', 'dedicated')",0.2450553,0.1566933,-0.088362
