,windscreen_male,windscreen_female,tuple,average_male,average_female,female-male
0,0.06257364,-0.026278943,"('unsociable', 'sociable')",0.0625736,-0.0262789,-0.0888525
1,-0.290317,-0.6762885,"('unfriendly', 'friendly')",-0.290317,-0.6762885,-0.3859715
2,0.035751086,0.05752843,"('unlikable', 'likable')",0.0357511,0.0575284,0.0217773
3,-0.49031374,-0.39568436,"('repellent', 'pleasant')",-0.4903137,-0.3956844,0.0946293
4,-1.9683363,-1.9352542,"('disliked', 'liked')",-1.9683363,-1.9352542,0.0330821
5,-1.2364151,-1.4691924,"('distant', 'outgoing')",-1.2364151,-1.4691924,-0.2327773
6,-1.6664768,-1.8656567,"('distant', 'open')",-1.6664768,-1.8656567,-0.1991799
7,0.23944905,0.4251568,"('insensitive', 'sensitive')",0.2394491,0.4251568,0.1857077
8,-0.59556925,-0.92090565,"('unaffectionate', 'affectionate')",-0.5955693,-0.9209056,-0.3253363
9,-0.16630547,-0.40884417,"('unaffectionate', 'caring')",-0.1663055,-0.4088442,-0.2425387
10,0.06432681,-0.10713839,"('unsympathetic', 'sympathetic')",0.0643268,-0.1071384,-0.1714652
11,0.97238094,0.9238851,"('unhelpful', 'helpful')",0.9723809,0.9238851,-0.0484958
12,-0.6443833,-0.75693643,"('unsupportive', 'supportive')",-0.6443833,-0.7569364,-0.1125531
13,0.665858,0.45046145,"('impolite', 'polite')",0.665858,0.4504614,-0.2153966
14,0.214063,0.223177,"('antisocial', 'social')",0.214063,0.223177,0.009114
15,1.0427003,0.8122063,"('boring', 'funny')",1.0427003,0.8122063,-0.230494
16,-0.1268788,-0.117454976,"('unpopular', 'popular')",-0.1268788,-0.117455,0.0094238
17,-0.2781995,-0.2742538,"('nasty', 'nice')",-0.2781995,-0.2742538,0.0039457
18,-1.3167115,-1.2203025,"('disagreeable', 'welcoming')",-1.3167115,-1.2203025,0.096409
19,-1.7599623,-1.8153195,"('inhospitable', 'hospitable')",-1.7599623,-1.8153195,-0.0553572
20,-0.09552826,-0.02690892,"('rough', 'thoughtful')",-0.0955283,-0.0269089,0.0686194
21,0.14588566,0.22073202,"('immoral', 'moral')",0.1458857,0.220732,0.0748463
22,-0.6179004,-0.7120826,"('untrustworthy', 'trustworthy')",-0.6179004,-0.7120826,-0.0941822
23,2.3183856,2.31251,"('insincere', 'sincere')",2.3183856,2.31251,-0.0058756
24,-0.46240655,-0.60767454,"('dishonest', 'honest')",-0.4624065,-0.6076745,-0.145268
25,-0.36775824,-0.47237545,"('egoistic', 'altruistic')",-0.3677582,-0.4723755,-0.1046173
26,-0.18715113,-0.6036086,"('hardhearted', 'benevolent')",-0.1871511,-0.6036086,-0.4164575
27,-0.027246147,-0.14299808,"('hardhearted', 'softhearted')",-0.0272461,-0.1429981,-0.115752
28,-0.3310158,-0.46618563,"('disloyal', 'loyal')",-0.3310158,-0.4661856,-0.1351698
29,-0.042678654,-0.22154197,"('unfair', 'fair')",-0.0426787,-0.221542,-0.1788633
30,1.080392,1.1007978,"('intolerant', 'tolerant')",1.080392,1.1007978,0.0204058
31,-1.6986934,-1.7410222,"('evil', 'good')",-1.6986934,-1.7410222,-0.0423288
32,0.049891427,-0.19187744,"('unkind', 'kind')",0.0498914,-0.1918774,-0.2417688
33,0.22676603,0.1830384,"('wrong', 'right')",0.226766,0.1830384,-0.0437276
34,2.137946,2.1929047,"('mean', 'honorable')",2.1379459,2.1929047,0.0549588
35,-0.2412388,-0.5320995,"('corrupt', 'incorrupt')",-0.2412388,-0.5320995,-0.2908607
36,-0.71122855,-0.88672096,"('hostile', 'amicable')",-0.7112285,-0.886721,-0.1754925
37,0.5215318,0.4378387,"('fake', 'genuine')",0.5215318,0.4378387,-0.0836931
38,0.6713487,0.47402483,"('untruthful', 'truthful')",0.6713487,0.4740248,-0.1973239
39,0.080094464,0.3002037,"('exploitative', 'cooperative')",0.0800945,0.3002037,0.2201092
40,-1.2577615,-1.1915694,"('stingy', 'generous')",-1.2577615,-1.1915694,0.0661921
41,-0.51720154,-0.64749104,"('unforgiving', 'forgiving')",-0.5172015,-0.647491,-0.1302895
42,-1.44827,-1.3322042,"('unreliable', 'reliable')",-1.44827,-1.3322042,0.1160658
43,0.30383962,0.020005986,"('irresponsible', 'responsible')",0.3038396,0.020006,-0.2838336
44,-1.3053972,-1.352033,"('prejudiced', 'unprejudiced')",-1.3053972,-1.352033,-0.0466358
45,0.0052760392,-0.11924185,"('incompetent', 'competent')",0.005276,-0.1192418,-0.1245178
46,0.5023588,0.51000464,"('uncompetitive', 'competitive')",0.5023588,0.5100046,0.0076458
47,2.3221827,2.392698,"('stupid', 'smart')",2.3221827,2.392698,0.0705153
48,0.3957083,0.26972014,"('unintelligent', 'intelligent')",0.3957083,0.2697201,-0.1259882
49,0.30982548,0.58376515,"('unable', 'able')",0.3098255,0.5837651,0.2739396
50,0.13752854,0.24196783,"('clumsy', 'skillful')",0.1375285,0.2419678,0.1044393
51,-0.07449062,0.06677307,"('uneducated', 'educated')",-0.0744906,0.0667731,0.1412637
52,-0.65216863,-0.7467718,"('irrational', 'rational')",-0.6521686,-0.7467718,-0.0946032
53,0.31407768,0.11007105,"('uncreative', 'creative')",0.3140777,0.110071,-0.2040067
54,-0.18601158,-0.2343375,"('incapable', 'capable')",-0.1860116,-0.2343375,-0.0483259
55,0.2596298,0.44859806,"('incompetent', 'clever')",0.2596298,0.4485981,0.1889683
56,1.5504019,1.5374595,"('impractical', 'practical')",1.5504019,1.5374595,-0.0129424
57,-0.5260106,-0.8502073,"('unimaginative', 'imaginative')",-0.5260106,-0.8502073,-0.3241967
58,1.1062479,0.955897,"('undiscriminating', 'discriminating')",1.1062479,0.955897,-0.1503509
59,-0.53312296,-0.55315447,"('foolish', 'wise')",-0.533123,-0.5531545,-0.0200315
60,0.90988153,1.0788672,"('inefficient', 'efficient')",0.9098815,1.0788672,0.1689857
61,0.11591134,-0.009252038,"('illogical', 'logical')",0.1159113,-0.009252,-0.1251633
62,0.38791278,0.53087795,"('incompetent', 'brilliant')",0.3879128,0.5308779,0.1429651
63,0.46575686,0.48038775,"('unperceptive', 'insightful')",0.4657569,0.4803877,0.0146308
64,-1.8675151,-1.7291024,"('shy', 'confident')",-1.8675151,-1.7291024,0.1384127
65,0.39110696,0.63798237,"('insecure', 'secure')",0.391107,0.6379824,0.2468754
66,0.49667898,0.14882958,"('inactive', 'active')",0.496679,0.1488296,-0.3478494
67,0.122766286,-0.0034556612,"('doubtful', 'determined')",0.1227663,-0.0034557,-0.126222
68,-0.09588497,0.11854158,"('dependent', 'independent')",-0.095885,0.1185416,0.2144266
69,-0.6935159,-0.6960391,"('lazy', 'industrious')",-0.6935159,-0.6960391,-0.0025232
