,racist_male,racist_female,tuple,average_male,average_female,female-male
0,0.06433379,0.16918801,"('unsociable', 'sociable')",0.0643338,0.169188,0.1048542
1,1.3778377,1.1559811,"('unfriendly', 'friendly')",1.3778377,1.1559811,-0.2218566
2,0.6266206,0.7757212,"('unlikable', 'likable')",0.6266206,0.7757212,0.1491006
3,0.76877767,0.85220724,"('repellent', 'pleasant')",0.7687777,0.8522072,0.0834295
4,-7.3150754,-7.1382985,"('disliked', 'liked')",-7.3150754,-7.1382985,0.1767769
5,-0.1384022,-0.17948341,"('distant', 'outgoing')",-0.1384022,-0.1794834,-0.0410812
6,0.09465527,-0.024949655,"('distant', 'open')",0.0946553,-0.0249497,-0.119605
7,0.7336178,0.8645637,"('insensitive', 'sensitive')",0.7336178,0.8645637,0.1309459
8,1.0934496,0.9276583,"('unaffectionate', 'affectionate')",1.0934496,0.9276583,-0.1657913
9,1.6764408,1.6320549,"('unaffectionate', 'caring')",1.6764408,1.6320549,-0.0443859
10,1.237053,1.4144795,"('unsympathetic', 'sympathetic')",1.237053,1.4144795,0.1774265
11,2.0572808,2.146611,"('unhelpful', 'helpful')",2.0572808,2.146611,0.0893302
12,-1.497833,-1.3578061,"('unsupportive', 'supportive')",-1.497833,-1.3578061,0.1400269
13,0.55217284,0.68392324,"('impolite', 'polite')",0.5521728,0.6839232,0.1317504
14,-0.4690871,-0.32259622,"('antisocial', 'social')",-0.4690871,-0.3225962,0.1464909
15,0.61053085,0.51067877,"('boring', 'funny')",0.6105309,0.5106788,-0.0998521
16,-0.22300367,-0.20683376,"('unpopular', 'popular')",-0.2230037,-0.2068338,0.0161699
17,-0.2347765,-0.16177218,"('nasty', 'nice')",-0.2347765,-0.1617722,0.0730043
18,-0.43430898,-0.5050603,"('disagreeable', 'welcoming')",-0.434309,-0.5050603,-0.0707513
19,-0.31142747,-0.2908245,"('inhospitable', 'hospitable')",-0.3114275,-0.2908245,0.020603
20,0.7402659,0.62109786,"('rough', 'thoughtful')",0.7402659,0.6210979,-0.119168
21,0.2637696,0.48333734,"('immoral', 'moral')",0.2637696,0.4833373,0.2195677
22,-0.2560056,-0.10155909,"('untrustworthy', 'trustworthy')",-0.2560056,-0.1015591,0.1544465
23,6.387933,6.280943,"('insincere', 'sincere')",6.3879328,6.2809429,-0.1069899
24,1.936452,1.946783,"('dishonest', 'honest')",1.936452,1.9467829,0.0103309
25,0.43461013,0.32097784,"('egoistic', 'altruistic')",0.4346101,0.3209778,-0.1136323
