,innovation_male,innovation_female,tuple,average_male,average_female,female-male
0,-0.13207805,-0.18841928,"('unsociable', 'sociable')",-0.1320781,-0.1884193,-0.0563412
1,1.482998,1.4204624,"('unfriendly', 'friendly')",1.482998,1.4204624,-0.0625356
2,0.37527987,0.37917072,"('unlikable', 'likable')",0.3752799,0.3791707,0.0038908
3,0.30427703,0.34991127,"('repellent', 'pleasant')",0.304277,0.3499113,0.0456343
4,-7.433351,-7.5081296,"('disliked', 'liked')",-7.433351,-7.5081296,-0.0747786
5,0.1204734,0.06135601,"('distant', 'outgoing')",0.1204734,0.061356,-0.0591174
6,0.7379539,0.7196521,"('distant', 'open')",0.7379539,0.7196521,-0.0183018
7,0.652071,0.73707473,"('insensitive', 'sensitive')",0.652071,0.7370747,0.0850037
8,1.2382175,1.1402377,"('unaffectionate', 'affectionate')",1.2382175,1.1402377,-0.0979798
9,2.1738598,2.1557722,"('unaffectionate', 'caring')",2.1738598,2.1557722,-0.0180876
10,0.63250923,0.7346148,"('unsympathetic', 'sympathetic')",0.6325092,0.7346148,0.1021056
11,2.7187247,2.8157866,"('unhelpful', 'helpful')",2.7187247,2.8157866,0.0970619
12,-1.3306736,-1.3102809,"('unsupportive', 'supportive')",-1.3306736,-1.3102809,0.0203927
13,-0.12330657,-0.12545437,"('impolite', 'polite')",-0.1233066,-0.1254544,-0.0021478
14,0.11839794,0.02903584,"('antisocial', 'social')",0.1183979,0.0290358,-0.0893621
15,0.27108085,0.24819207,"('boring', 'funny')",0.2710809,0.2481921,-0.0228888
16,-0.67027175,-0.653322,"('unpopular', 'popular')",-0.6702718,-0.653322,0.0169498
17,-0.36056668,-0.34292093,"('nasty', 'nice')",-0.3605667,-0.3429209,0.0176458
18,-0.735726,-0.78782904,"('disagreeable', 'welcoming')",-0.735726,-0.787829,-0.052103
19,-0.40757892,-0.33764973,"('inhospitable', 'hospitable')",-0.4075789,-0.3376497,0.0699292
20,1.4225059,1.3302884,"('rough', 'thoughtful')",1.4225059,1.3302884,-0.0922175
21,-0.24545571,-0.15968268,"('immoral', 'moral')",-0.2454557,-0.1596827,0.085773
22,-0.5748259,-0.5459975,"('untrustworthy', 'trustworthy')",-0.5748259,-0.5459975,0.0288284
23,6.7389874,6.776215,"('insincere', 'sincere')",6.7389874,6.7762151,0.0372277
24,1.5341692,1.4581228,"('dishonest', 'honest')",1.5341692,1.4581228,-0.0760464
25,0.46781254,0.40037924,"('egoistic', 'altruistic')",0.4678125,0.4003792,-0.0674333
26,1.3838198,1.2715961,"('hardhearted', 'benevolent')",1.3838198,1.2715961,-0.1122237
27,1.3831215,1.2636,"('hardhearted', 'softhearted')",1.3831215,1.2636,-0.1195215
28,1.7265799,1.684497,"('disloyal', 'loyal')",1.7265799,1.684497,-0.0420829
29,-0.53135103,-0.6406841,"('unfair', 'fair')",-0.531351,-0.6406841,-0.1093331
30,1.1954925,1.179451,"('intolerant', 'tolerant')",1.1954925,1.179451,-0.0160415
31,-1.6725627,-1.6728528,"('evil', 'good')",-1.6725627,-1.6728528,-0.0002901
32,0.8568475,0.8114867,"('unkind', 'kind')",0.8568475,0.8114867,-0.0453608
33,0.07747273,-0.08160497,"('wrong', 'right')",0.0774727,-0.081605,-0.1590777
34,5.4216843,5.612261,"('mean', 'honorable')",5.4216843,5.6122608,0.1905765
35,-1.160782,-1.320119,"('corrupt', 'incorrupt')",-1.160782,-1.320119,-0.159337
36,-0.5056955,-0.5881393,"('hostile', 'amicable')",-0.5056955,-0.5881393,-0.0824438
37,0.7408365,0.75793785,"('fake', 'genuine')",0.7408365,0.7579378,0.0171013
38,0.4958138,0.47349578,"('untruthful', 'truthful')",0.4958138,0.4734958,-0.022318
39,0.4581024,0.46162468,"('exploitative', 'cooperative')",0.4581024,0.4616247,0.0035223
40,-2.2835817,-2.347709,"('stingy', 'generous')",-2.2835817,-2.3477089,-0.0641272
41,-0.21507938,-0.24584971,"('unforgiving', 'forgiving')",-0.2150794,-0.2458497,-0.0307703
42,-3.0922267,-2.9959183,"('unreliable', 'reliable')",-3.0922267,-2.9959183,0.0963084
43,1.4149584,1.4399754,"('irresponsible', 'responsible')",1.4149584,1.4399754,0.025017
44,-1.4216552,-1.4205934,"('prejudiced', 'unprejudiced')",-1.4216552,-1.4205934,0.0010618
45,-0.12607503,-0.077200145,"('incompetent', 'competent')",-0.126075,-0.0772001,0.0488749
46,-0.71382064,-0.64548457,"('uncompetitive', 'competitive')",-0.7138206,-0.6454846,0.068336
47,5.7992516,5.9132285,"('stupid', 'smart')",5.7992516,5.9132285,0.1139769
48,0.77408683,0.7488857,"('unintelligent', 'intelligent')",0.7740868,0.7488857,-0.0252011
49,0.5839789,0.6505022,"('unable', 'able')",0.5839789,0.6505022,0.0665233
50,-0.30164754,-0.31966296,"('clumsy', 'skillful')",-0.3016475,-0.319663,-0.0180155
51,-0.5288658,-0.5357383,"('uneducated', 'educated')",-0.5288658,-0.5357383,-0.0068725
52,-0.20664667,-0.334336,"('irrational', 'rational')",-0.2066467,-0.334336,-0.1276893
53,0.828517,0.8739813,"('uncreative', 'creative')",0.828517,0.8739813,0.0454643
54,1.573218,1.5978066,"('incapable', 'capable')",1.573218,1.5978066,0.0245886
55,0.5710561,0.62684935,"('incompetent', 'clever')",0.5710561,0.6268494,0.0557933
56,0.6030348,0.64492345,"('impractical', 'practical')",0.6030348,0.6449234,0.0418886
57,-2.623245,-2.5213225,"('unimaginative', 'imaginative')",-2.623245,-2.5213225,0.1019225
58,-0.24953103,-0.18582273,"('undiscriminating', 'discriminating')",-0.249531,-0.1858227,0.0637083
59,0.24285366,0.18092087,"('foolish', 'wise')",0.2428537,0.1809209,-0.0619328
60,1.0055202,1.0531226,"('inefficient', 'efficient')",1.0055202,1.0531226,0.0476024
61,0.7884943,0.61798686,"('illogical', 'logical')",0.7884943,0.6179869,-0.1705074
62,1.1374657,1.1949633,"('incompetent', 'brilliant')",1.1374657,1.1949633,0.0574976
63,0.7629127,0.87954485,"('unperceptive', 'insightful')",0.7629127,0.8795449,0.1166322
64,-6.69869,-6.7550464,"('shy', 'confident')",-6.6986899,-6.7550464,-0.0563565
65,0.025367908,0.117662475,"('insecure', 'secure')",0.0253679,0.1176625,0.0922946
66,0.26767373,0.24992613,"('inactive', 'active')",0.2676737,0.2499261,-0.0177476
67,-0.081111275,-0.032985542,"('doubtful', 'determined')",-0.0811113,-0.0329855,0.0481258
68,-0.980395,-0.9761995,"('dependent', 'independent')",-0.980395,-0.9761995,0.0041955
69,-1.2191823,-1.2921046,"('lazy', 'industrious')",-1.2191823,-1.2921046,-0.0729223
70,0.5998295,0.7354731,"('lethargic', 'energetic')",0.5998295,0.7354731,0.1356436
71,0.7127267,0.72381496,"('diffident', 'self-confident')",0.7127267,0.723815,0.0110883
72,0.4565564,0.4401065,"('unambitious', 'ambitious')",0.4565564,0.4401065,-0.0164499
73,-3.3531392,-3.3535318,"('helpless', 'self-reliant')",-3.3531392,-3.3535318,-0.0003926
74,0.078194834,0.03842423,"('undedicated', 'dedicated')",0.0781948,0.0384242,-0.0397706
