,lion_male,lion_female,tuple,average_male,average_female,female-male
0,0.40674734,0.30069375,"('unsociable', 'sociable')",0.4067473,0.3006938,-0.1060535
1,1.082753,1.02632,"('unfriendly', 'friendly')",1.0827529,1.02632,-0.0564329
2,0.57101864,0.73815304,"('unlikable', 'likable')",0.5710186,0.738153,0.1671344
3,0.78688794,0.8740609,"('repellent', 'pleasant')",0.7868879,0.8740609,0.087173
4,-7.0384517,-7.1088676,"('disliked', 'liked')",-7.0384517,-7.1088676,-0.0704159
5,-0.28845376,-0.24977377,"('distant', 'outgoing')",-0.2884538,-0.2497738,0.03868
6,0.045532886,0.059894007,"('distant', 'open')",0.0455329,0.059894,0.0143611
7,0.7340829,0.7536671,"('insensitive', 'sensitive')",0.7340829,0.7536671,0.0195842
8,1.1092142,1.066779,"('unaffectionate', 'affectionate')",1.1092142,1.066779,-0.0424352
9,1.8621804,1.9335532,"('unaffectionate', 'caring')",1.8621804,1.9335532,0.0713728
10,1.290651,1.3872483,"('unsympathetic', 'sympathetic')",1.290651,1.3872483,0.0965973
11,1.9764628,2.100862,"('unhelpful', 'helpful')",1.9764628,2.100862,0.1243992
12,-1.41114,-1.3789209,"('unsupportive', 'supportive')",-1.41114,-1.3789209,0.0322191
13,0.36563054,0.40521604,"('impolite', 'polite')",0.3656305,0.405216,0.0395855
14,0.09044314,-0.05736927,"('antisocial', 'social')",0.0904431,-0.0573693,-0.1478124
15,0.6719685,0.60041165,"('boring', 'funny')",0.6719685,0.6004117,-0.0715568
16,-0.22146466,-0.23603082,"('unpopular', 'popular')",-0.2214647,-0.2360308,-0.0145661
17,-0.30473855,-0.29292086,"('nasty', 'nice')",-0.3047386,-0.2929209,0.0118177
18,-0.66401607,-0.7810003,"('disagreeable', 'welcoming')",-0.6640161,-0.7810003,-0.1169842
19,-0.658784,-0.50938165,"('inhospitable', 'hospitable')",-0.658784,-0.5093817,0.1494023
20,0.5363448,0.39479166,"('rough', 'thoughtful')",0.5363448,0.3947917,-0.1415531
21,0.22419032,0.35511968,"('immoral', 'moral')",0.2241903,0.3551197,0.1309294
22,-0.32206362,-0.28641158,"('untrustworthy', 'trustworthy')",-0.3220636,-0.2864116,0.035652
23,6.2438245,6.3147354,"('insincere', 'sincere')",6.2438245,6.3147354,0.0709109
24,1.7427176,1.7544705,"('dishonest', 'honest')",1.7427176,1.7544705,0.0117529
