,anywhere_male,anywhere_female,tuple,average_male,average_female,female-male
0,0.6454524,0.42453802,"('unsociable', 'sociable')",0.6454524,0.424538,-0.2209144
1,2.44195,2.6270175,"('unfriendly', 'friendly')",2.4419501,2.6270175,0.1850674
2,0.32691777,0.56076014,"('unlikable', 'likable')",0.3269178,0.5607601,0.2338423
3,0.2527466,0.38192543,"('repellent', 'pleasant')",0.2527466,0.3819254,0.1291788
4,-6.487734,-6.639939,"('disliked', 'liked')",-6.4877338,-6.6399388,-0.152205
5,0.63062733,0.89062995,"('distant', 'outgoing')",0.6306273,0.8906299,0.2600026
6,1.5486338,1.747619,"('distant', 'open')",1.5486338,1.747619,0.1989852
7,1.5303007,1.5208727,"('insensitive', 'sensitive')",1.5303007,1.5208727,-0.009428
8,1.4263446,1.6549599,"('unaffectionate', 'affectionate')",1.4263446,1.6549599,0.2286153
9,1.8105881,2.0498674,"('unaffectionate', 'caring')",1.8105881,2.0498674,0.2392793
10,0.75865096,0.4089331,"('unsympathetic', 'sympathetic')",0.758651,0.4089331,-0.3497179
11,1.6373743,1.6968293,"('unhelpful', 'helpful')",1.6373743,1.6968293,0.059455
12,-0.8124111,-0.74123365,"('unsupportive', 'supportive')",-0.8124111,-0.7412336,0.0711775
13,-0.17183354,-0.15092745,"('impolite', 'polite')",-0.1718335,-0.1509275,0.020906
14,-0.21942404,-0.325528,"('antisocial', 'social')",-0.219424,-0.325528,-0.106104
15,0.91990656,0.91856676,"('boring', 'funny')",0.9199066,0.9185668,-0.0013398
16,0.026929379,0.13763633,"('unpopular', 'popular')",0.0269294,0.1376363,0.1107069
17,-0.8497652,-0.9195716,"('nasty', 'nice')",-0.8497652,-0.9195716,-0.0698064
18,-0.20599581,-0.03884798,"('disagreeable', 'welcoming')",-0.2059958,-0.038848,0.1671478
19,0.033006486,0.17858452,"('inhospitable', 'hospitable')",0.0330065,0.1785845,0.145578
20,0.2965286,0.055184707,"('rough', 'thoughtful')",0.2965286,0.0551847,-0.2413439
21,-0.67748755,-0.5910729,"('immoral', 'moral')",-0.6774876,-0.5910729,0.0864147
22,0.022825792,0.00035309047,"('untrustworthy', 'trustworthy')",0.0228258,0.0003531,-0.0224727
23,6.4092736,6.7241344,"('insincere', 'sincere')",6.4092736,6.7241344,0.3148608
24,1.8859041,1.9104147,"('dishonest', 'honest')",1.8859041,1.9104147,0.0245106
25,0.72178817,0.69869924,"('egoistic', 'altruistic')",0.7217882,0.6986992,-0.023089
26,1.6762878,1.396685,"('hardhearted', 'benevolent')",1.6762878,1.396685,-0.2796028
27,2.7234902,2.4121504,"('hardhearted', 'softhearted')",2.7234902,2.4121504,-0.3113398
28,1.4800917,1.3366871,"('disloyal', 'loyal')",1.4800917,1.3366871,-0.1434046
29,0.21214849,0.17095219,"('unfair', 'fair')",0.2121485,0.1709522,-0.0411963
30,1.2370708,1.0048963,"('intolerant', 'tolerant')",1.2370708,1.0048963,-0.2321745
31,-0.55274314,-0.49831003,"('evil', 'good')",-0.5527431,-0.49831,0.0544331
32,1.5380616,1.4896609,"('unkind', 'kind')",1.5380616,1.4896609,-0.0484007
33,-0.29302827,-0.07124379,"('wrong', 'right')",-0.2930283,-0.0712438,0.2217845
34,4.75564,5.0495243,"('mean', 'honorable')",4.75564,5.0495243,0.2938843
35,-0.36424422,-0.5584962,"('corrupt', 'incorrupt')",-0.3642442,-0.5584962,-0.194252
36,0.853713,0.6352302,"('hostile', 'amicable')",0.853713,0.6352302,-0.2184828
37,0.47316423,0.51616335,"('fake', 'genuine')",0.4731642,0.5161633,0.0429991
38,0.28661844,0.38954532,"('untruthful', 'truthful')",0.2866184,0.3895453,0.1029269
39,-0.3655585,-0.2908525,"('exploitative', 'cooperative')",-0.3655585,-0.2908525,0.074706
40,-0.58427197,-0.8817552,"('stingy', 'generous')",-0.584272,-0.8817552,-0.2974832
41,1.0110472,0.53752464,"('unforgiving', 'forgiving')",1.0110472,0.5375246,-0.4735226
42,-1.7654533,-1.9634507,"('unreliable', 'reliable')",-1.7654533,-1.9634507,-0.1979974
43,1.6027576,1.6077554,"('irresponsible', 'responsible')",1.6027576,1.6077554,0.0049978
44,-1.4724501,-1.57345,"('prejudiced', 'unprejudiced')",-1.4724501,-1.57345,-0.1009999
45,1.0591595,0.7024724,"('incompetent', 'competent')",1.0591595,0.7024724,-0.3566871
46,-0.08926512,-0.21947636,"('uncompetitive', 'competitive')",-0.0892651,-0.2194764,-0.1302113
47,5.7515974,6.0068254,"('stupid', 'smart')",5.7515974,6.0068254,0.255228
48,0.8167767,0.6998758,"('unintelligent', 'intelligent')",0.8167767,0.6998758,-0.1169009
49,-0.5528313,-0.304886,"('unable', 'able')",-0.5528313,-0.304886,0.2479453
50,-0.047844294,0.011218207,"('clumsy', 'skillful')",-0.0478443,0.0112182,0.0590625
51,0.1606098,0.15137836,"('uneducated', 'educated')",0.1606098,0.1513784,-0.0092314
52,-0.12345271,0.038276516,"('irrational', 'rational')",-0.1234527,0.0382765,0.1617292
53,1.1013688,1.1853944,"('uncreative', 'creative')",1.1013688,1.1853944,0.0840256
54,1.5431768,1.9208611,"('incapable', 'capable')",1.5431768,1.9208611,0.3776843
55,0.38700086,0.4408945,"('incompetent', 'clever')",0.3870009,0.4408945,0.0538936
56,0.74388367,0.77625513,"('impractical', 'practical')",0.7438837,0.7762551,0.0323714
57,-1.7030419,-2.0063622,"('unimaginative', 'imaginative')",-1.7030419,-2.0063622,-0.3033203
58,0.83209366,0.46454707,"('undiscriminating', 'discriminating')",0.8320937,0.4645471,-0.3675466
59,0.30264354,0.5171938,"('foolish', 'wise')",0.3026435,0.5171938,0.2145503
60,-0.358109,-0.24104038,"('inefficient', 'efficient')",-0.358109,-0.2410404,0.1170686
61,2.0921028,1.9025414,"('illogical', 'logical')",2.0921028,1.9025414,-0.1895614
62,0.89183444,1.0602437,"('incompetent', 'brilliant')",0.8918344,1.0602437,0.1684093
63,1.8244362,1.7902697,"('unperceptive', 'insightful')",1.8244362,1.7902697,-0.0341665
64,-6.183035,-6.171792,"('shy', 'confident')",-6.1830349,-6.171792,0.0112429
65,1.1251304,1.0263414,"('insecure', 'secure')",1.1251304,1.0263414,-0.098789
66,0.9128671,0.8861972,"('inactive', 'active')",0.9128671,0.8861972,-0.0266699
67,-1.7221262,-1.6035483,"('doubtful', 'determined')",-1.7221262,-1.6035483,0.1185779
68,0.21573412,0.31380036,"('dependent', 'independent')",0.2157341,0.3138004,0.0980663
69,-0.92383736,-0.8654981,"('lazy', 'industrious')",-0.9238374,-0.8654981,0.0583393
70,1.6500565,1.4129264,"('lethargic', 'energetic')",1.6500565,1.4129264,-0.2371301
71,1.1064297,1.4961057,"('diffident', 'self-confident')",1.1064297,1.4961057,0.389676
72,0.1444014,0.28060293,"('unambitious', 'ambitious')",0.1444014,0.2806029,0.1362015
73,-3.2750752,-3.129118,"('helpless', 'self-reliant')",-3.2750752,-3.129118,0.1459572
74,1.1348569,1.0145187,"('undedicated', 'dedicated')",1.1348569,1.0145187,-0.1203382
75,-0.41400927,-0.38131854,"('meek', 'impulsive')",-0.4140093,-0.3813185,0.0326908
76,0.6135045,0.5050862,"('anxious', 'daring')",0.6135045,0.5050862,-0.1084183
77,-1.6571218,-1.58223,"('unmotivated', 'motivated')",-1.6571218,-1.58223,0.0748918
78,-0.04740507,0.00018600002,"('nonresilient', 'resilient')",-0.0474051,0.000186,0.0475911
79,0.30028856,0.17057219,"('wavering', 'unwavering')",0.3002886,0.1705722,-0.1297164
80,-1.0436605,-1.0831952,"('dominated', 'dominating')",-1.0436605,-1.0831952,-0.0395347
81,0.53594095,0.15680464,"('submissive', 'aggressive')",0.5359409,0.1568046,-0.3791363
82,7.1099243,7.3841166,"('poor', 'rich')",7.1099243,7.3841166,0.2741923
83,-1.419893,-1.3652216,"('powerless', 'powerful')",-1.419893,-1.3652216,0.0546714
84,0.6284994,0.61797804,"('inferior', 'superior')",0.6284994,0.617978,-0.0105214
85,-0.7871653,-0.7691274,"('insignificant', 'prestigious')",-0.7871653,-0.7691274,0.0180379
86,0.90116584,0.87887025,"('uninfluential', 'influential')",0.9011658,0.8788702,-0.0222956
87,0.46011162,0.7397203,"('unsuccessful', 'successful')",0.4601116,0.7397203,0.2796087
88,0.33664447,0.41454768,"('low', 'eminent')",0.3366445,0.4145477,0.0779032
