,theology_male,theology_female,tuple,average_male,average_female,female-male
0,0.14301609,-0.055863943,"('unsociable', 'sociable')",0.1430161,-0.0558639,-0.19888
1,1.5037133,1.4617994,"('unfriendly', 'friendly')",1.5037133,1.4617994,-0.0419139
2,0.42337808,0.7033576,"('unlikable', 'likable')",0.4233781,0.7033576,0.2799795
3,0.4636646,0.69635934,"('repellent', 'pleasant')",0.4636646,0.6963593,0.2326947
4,-7.4709325,-7.421365,"('disliked', 'liked')",-7.4709325,-7.4213648,0.0495677
5,-0.029710699,0.10060712,"('distant', 'outgoing')",-0.0297107,0.1006071,0.1303178
6,0.32234684,0.39206704,"('distant', 'open')",0.3223468,0.392067,0.0697202
7,0.5217481,0.67325044,"('insensitive', 'sensitive')",0.5217481,0.6732504,0.1515023
8,1.1216307,1.0593562,"('unaffectionate', 'affectionate')",1.1216307,1.0593562,-0.0622745
9,1.8870186,1.9548438,"('unaffectionate', 'caring')",1.8870186,1.9548438,0.0678252
10,0.6673703,1.0319979,"('unsympathetic', 'sympathetic')",0.6673703,1.0319979,0.3646276
11,2.216621,2.275204,"('unhelpful', 'helpful')",2.2166209,2.2752039,0.058583
12,-1.412118,-1.2373477,"('unsupportive', 'supportive')",-1.412118,-1.2373477,0.1747703
13,-0.2166872,-0.09216564,"('impolite', 'polite')",-0.2166872,-0.0921656,0.1245216
14,-0.55160034,-0.6302798,"('antisocial', 'social')",-0.5516003,-0.6302798,-0.0786795
15,0.2699237,0.24179098,"('boring', 'funny')",0.2699237,0.241791,-0.0281327
16,-0.61075777,-0.4042601,"('unpopular', 'popular')",-0.6107578,-0.4042601,0.2064977
17,-0.14317358,-0.041972682,"('nasty', 'nice')",-0.1431736,-0.0419727,0.1012009
18,-0.52833796,-0.4608183,"('disagreeable', 'welcoming')",-0.528338,-0.4608183,0.0675197
19,0.014240919,0.024885012,"('inhospitable', 'hospitable')",0.0142409,0.024885,0.0106441
20,0.9920437,0.82555157,"('rough', 'thoughtful')",0.9920437,0.8255516,-0.1664921
21,0.36395088,0.4835285,"('immoral', 'moral')",0.3639509,0.4835285,0.1195776
22,-0.4613031,-0.4847732,"('untrustworthy', 'trustworthy')",-0.4613031,-0.4847732,-0.0234701
23,7.151347,6.9667997,"('insincere', 'sincere')",7.1513472,6.9667997,-0.1845475
24,1.8809292,1.7809086,"('dishonest', 'honest')",1.8809292,1.7809086,-0.1000206
25,0.63352025,0.43755424,"('egoistic', 'altruistic')",0.6335202,0.4375542,-0.195966
26,0.43946347,0.11491434,"('hardhearted', 'benevolent')",0.4394635,0.1149143,-0.3245492
27,1.3646541,1.4283733,"('hardhearted', 'softhearted')",1.3646541,1.4283733,0.0637192
28,1.2333562,1.1257404,"('disloyal', 'loyal')",1.2333562,1.1257404,-0.1076158
29,-0.08820136,-0.3391067,"('unfair', 'fair')",-0.0882014,-0.3391067,-0.2509053
30,0.90570027,0.99395883,"('intolerant', 'tolerant')",0.9057003,0.9939588,0.0882585
31,-1.4892373,-1.4457976,"('evil', 'good')",-1.4892373,-1.4457976,0.0434397
32,1.4249415,1.3352315,"('unkind', 'kind')",1.4249415,1.3352315,-0.08971
33,-0.21514979,-0.16136448,"('wrong', 'right')",-0.2151498,-0.1613645,0.0537853
34,4.8717294,4.883881,"('mean', 'honorable')",4.8717294,4.8838811,0.0121517
35,-0.63519895,-1.0598334,"('corrupt', 'incorrupt')",-0.635199,-1.0598334,-0.4246344
36,-0.6612892,-0.9300043,"('hostile', 'amicable')",-0.6612892,-0.9300043,-0.2687151
37,1.0759506,1.0651542,"('fake', 'genuine')",1.0759506,1.0651542,-0.0107964
38,0.38320363,0.32118332,"('untruthful', 'truthful')",0.3832036,0.3211833,-0.0620203
39,0.2590321,0.13429083,"('exploitative', 'cooperative')",0.2590321,0.1342908,-0.1247413
40,-1.7695193,-1.8539101,"('stingy', 'generous')",-1.7695193,-1.8539101,-0.0843908
41,0.001751639,-0.061711915,"('unforgiving', 'forgiving')",0.0017516,-0.0617119,-0.0634635
42,-2.6939273,-2.273235,"('unreliable', 'reliable')",-2.6939273,-2.2732351,0.4206922
43,1.4265268,1.5305762,"('irresponsible', 'responsible')",1.4265268,1.5305762,0.1040494
44,-1.5747625,-1.4421216,"('prejudiced', 'unprejudiced')",-1.5747625,-1.4421216,0.1326409
45,0.15592796,0.27909264,"('incompetent', 'competent')",0.155928,0.2790926,0.1231646
46,-1.2258438,-0.8113566,"('uncompetitive', 'competitive')",-1.2258438,-0.8113566,0.4144872
47,5.6945424,5.648361,"('stupid', 'smart')",5.6945424,5.6483612,-0.0461812
48,0.6625353,0.634956,"('unintelligent', 'intelligent')",0.6625353,0.634956,-0.0275793
49,0.33195,0.66109437,"('unable', 'able')",0.33195,0.6610944,0.3291444
50,-0.08323464,0.04052317,"('clumsy', 'skillful')",-0.0832346,0.0405232,0.1237578
51,0.14637557,0.18812628,"('uneducated', 'educated')",0.1463756,0.1881263,0.0417507
52,0.045510337,-0.09019543,"('irrational', 'rational')",0.0455103,-0.0901954,-0.1357057
53,0.3304258,0.36978015,"('uncreative', 'creative')",0.3304258,0.3697802,0.0393544
54,1.0926609,1.3953348,"('incapable', 'capable')",1.0926609,1.3953348,0.3026739
55,0.5320241,0.7221405,"('incompetent', 'clever')",0.5320241,0.7221405,0.1901164
56,0.86148614,0.8217234,"('impractical', 'practical')",0.8614861,0.8217234,-0.0397627
57,-2.8789935,-2.6135895,"('unimaginative', 'imaginative')",-2.8789935,-2.6135895,0.265404
58,0.16788733,0.08326933,"('undiscriminating', 'discriminating')",0.1678873,0.0832693,-0.084618
59,0.63797754,0.53539693,"('foolish', 'wise')",0.6379775,0.5353969,-0.1025806
60,0.74595016,1.0170003,"('inefficient', 'efficient')",0.7459502,1.0170003,0.2710501
61,0.3334144,0.2297079,"('illogical', 'logical')",0.3334144,0.2297079,-0.1037065
62,1.0523313,1.4507775,"('incompetent', 'brilliant')",1.0523313,1.4507775,0.3984462
63,0.64146644,0.74982584,"('unperceptive', 'insightful')",0.6414664,0.7498258,0.1083594
64,-6.5147777,-6.268744,"('shy', 'confident')",-6.5147777,-6.268744,0.2460337
65,0.16699484,0.27851713,"('insecure', 'secure')",0.1669948,0.2785171,0.1115223
66,-0.03682004,-0.16113624,"('inactive', 'active')",-0.03682,-0.1611362,-0.1243162
67,-0.21835533,-0.27538136,"('doubtful', 'determined')",-0.2183553,-0.2753814,-0.0570261
68,-0.60433584,-0.39860514,"('dependent', 'independent')",-0.6043358,-0.3986051,0.2057307
69,-1.6559229,-1.6853971,"('lazy', 'industrious')",-1.6559229,-1.6853971,-0.0294742
70,0.572625,0.89882755,"('lethargic', 'energetic')",0.572625,0.8988276,0.3262026
71,0.45091897,0.43156448,"('diffident', 'self-confident')",0.450919,0.4315645,-0.0193545
72,0.6756285,0.8788817,"('unambitious', 'ambitious')",0.6756285,0.8788817,0.2032532
73,-2.8341768,-2.7099323,"('helpless', 'self-reliant')",-2.8341768,-2.7099323,0.1242445
74,-0.05316053,-0.10356287,"('undedicated', 'dedicated')",-0.0531605,-0.1035629,-0.0504024
75,-0.84206504,-0.65924907,"('meek', 'impulsive')",-0.842065,-0.6592491,0.1828159
76,0.40238622,0.48573834,"('anxious', 'daring')",0.4023862,0.4857383,0.0833521
77,-1.1824054,-0.9934514,"('unmotivated', 'motivated')",-1.1824054,-0.9934514,0.188954
78,-0.58701074,-0.56009185,"('nonresilient', 'resilient')",-0.5870107,-0.5600919,0.0269188
79,0.29967406,0.16921695,"('wavering', 'unwavering')",0.2996741,0.1692169,-0.1304572
80,-0.58494776,-0.6060392,"('dominated', 'dominating')",-0.5849478,-0.6060392,-0.0210914
81,-0.48826635,-0.19426544,"('submissive', 'aggressive')",-0.4882663,-0.1942654,0.2940009
82,6.6916037,6.99773,"('poor', 'rich')",6.6916037,6.9977298,0.3061261
83,0.018547848,-0.042309232,"('powerless', 'powerful')",0.0185478,-0.0423092,-0.060857
