,shout_male,shout_female,tuple,average_male,average_female,female-male
0,0.5122794,0.46777505,"('unsociable', 'sociable')",0.5122794,0.467775,-0.0445044
1,0.55169195,0.7140731,"('unfriendly', 'friendly')",0.5516919,0.7140731,0.1623812
2,0.33056006,0.5238022,"('unlikable', 'likable')",0.3305601,0.5238022,0.1932421
3,1.0869789,1.247439,"('repellent', 'pleasant')",1.0869789,1.247439,0.1604601
4,-7.243625,-7.0822983,"('disliked', 'liked')",-7.2436252,-7.0822983,0.1613269
5,-0.84425116,-0.5510755,"('distant', 'outgoing')",-0.8442512,-0.5510755,0.2931757
6,-0.5039075,-0.32890314,"('distant', 'open')",-0.5039075,-0.3289031,0.1750044
7,1.5126625,1.459979,"('insensitive', 'sensitive')",1.5126625,1.4599791,-0.0526834
8,0.6574844,0.5868865,"('unaffectionate', 'affectionate')",0.6574844,0.5868865,-0.0705979
9,0.9938153,0.9924554,"('unaffectionate', 'caring')",0.9938153,0.9924554,-0.0013599
10,2.1437845,1.853028,"('unsympathetic', 'sympathetic')",2.1437845,1.8530281,-0.2907564
11,2.1376343,2.0420184,"('unhelpful', 'helpful')",2.1376343,2.0420184,-0.0956159
12,-1.0364678,-0.9939241,"('unsupportive', 'supportive')",-1.0364678,-0.9939241,0.0425437
13,0.46418512,0.41504014,"('impolite', 'polite')",0.4641851,0.4150401,-0.049145
14,0.53596246,0.53269064,"('antisocial', 'social')",0.5359625,0.5326906,-0.0032719
15,0.08831537,0.17402694,"('boring', 'funny')",0.0883154,0.1740269,0.0857115
16,-0.86408955,-0.62262535,"('unpopular', 'popular')",-0.8640895,-0.6226254,0.2414641
17,0.16303158,0.06007465,"('nasty', 'nice')",0.1630316,0.0600746,-0.102957
18,-0.6378577,-0.47586676,"('disagreeable', 'welcoming')",-0.6378577,-0.4758668,0.1619909
19,-0.6557714,-0.5894401,"('inhospitable', 'hospitable')",-0.6557714,-0.5894401,0.0663313
20,0.6864474,0.60840034,"('rough', 'thoughtful')",0.6864474,0.6084003,-0.0780471
21,0.5469122,0.62894976,"('immoral', 'moral')",0.5469122,0.6289498,0.0820376
22,0.40953124,0.37448388,"('untrustworthy', 'trustworthy')",0.4095312,0.3744839,-0.0350473
23,6.3157244,6.3953767,"('insincere', 'sincere')",6.3157244,6.3953767,0.0796523
24,1.9457914,1.9764816,"('dishonest', 'honest')",1.9457914,1.9764816,0.0306902
25,-0.10236363,-0.018879198,"('egoistic', 'altruistic')",-0.1023636,-0.0188792,0.0834844
26,0.20251817,0.038188234,"('hardhearted', 'benevolent')",0.2025182,0.0381882,-0.16433
27,1.6832235,1.4745239,"('hardhearted', 'softhearted')",1.6832235,1.4745239,-0.2086996
28,0.9994448,0.88340724,"('disloyal', 'loyal')",0.9994448,0.8834072,-0.1160376
29,-0.26537043,-0.40651247,"('unfair', 'fair')",-0.2653704,-0.4065125,-0.1411421
30,1.2921039,1.114374,"('intolerant', 'tolerant')",1.2921039,1.114374,-0.1777299
31,-1.5898807,-1.4198011,"('evil', 'good')",-1.5898807,-1.4198011,0.1700796
32,1.2985606,1.1647937,"('unkind', 'kind')",1.2985606,1.1647937,-0.1337669
33,-1.2124556,-1.0450412,"('wrong', 'right')",-1.2124556,-1.0450412,0.1674144
34,4.078955,4.3381786,"('mean', 'honorable')",4.0789552,4.3381786,0.2592234
35,-1.3327732,-1.397524,"('corrupt', 'incorrupt')",-1.3327732,-1.397524,-0.0647508
36,-1.1297072,-1.21506,"('hostile', 'amicable')",-1.1297072,-1.21506,-0.0853528
37,0.8368,0.787694,"('fake', 'genuine')",0.8368,0.787694,-0.049106
38,-0.27220696,-0.24976118,"('untruthful', 'truthful')",-0.272207,-0.2497612,0.0224458
39,0.13865887,0.1679519,"('exploitative', 'cooperative')",0.1386589,0.1679519,0.029293
40,-0.85950094,-0.88406503,"('stingy', 'generous')",-0.8595009,-0.884065,-0.0245641
41,0.28875467,0.029266791,"('unforgiving', 'forgiving')",0.2887547,0.0292668,-0.2594879
42,-1.247907,-1.3908978,"('unreliable', 'reliable')",-1.247907,-1.3908978,-0.1429908
43,1.6947649,1.601642,"('irresponsible', 'responsible')",1.6947649,1.601642,-0.0931229
44,-1.1419121,-1.3073852,"('prejudiced', 'unprejudiced')",-1.1419121,-1.3073852,-0.1654731
45,0.90724385,0.7998429,"('incompetent', 'competent')",0.9072438,0.7998429,-0.1074009
46,0.14005502,0.00814255,"('uncompetitive', 'competitive')",0.140055,0.0081425,-0.1319125
47,5.54364,5.7236557,"('stupid', 'smart')",5.5436401,5.7236557,0.1800156
48,1.1080662,1.0696383,"('unintelligent', 'intelligent')",1.1080662,1.0696383,-0.0384279
49,-0.43932423,-0.1945787,"('unable', 'able')",-0.4393242,-0.1945787,0.2447455
50,-0.19768967,-0.17740709,"('clumsy', 'skillful')",-0.1976897,-0.1774071,0.0202826
51,0.7108834,0.69745106,"('uneducated', 'educated')",0.7108834,0.6974511,-0.0134323
52,-0.7614318,-0.7412535,"('irrational', 'rational')",-0.7614318,-0.7412535,0.0201783
53,0.10180742,0.13788775,"('uncreative', 'creative')",0.1018074,0.1378877,0.0360803
54,0.7325311,0.91262746,"('incapable', 'capable')",0.7325311,0.9126275,0.1800964
55,1.3218495,1.3460248,"('incompetent', 'clever')",1.3218495,1.3460248,0.0241753
56,0.9113496,0.9818298,"('impractical', 'practical')",0.9113496,0.9818298,0.0704802
57,-1.9457397,-2.1052642,"('unimaginative', 'imaginative')",-1.9457397,-2.1052642,-0.1595245
