,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,female-male
0,0.14515522,-0.018302575,"('unsociable', 'sociable')",0.15211415,0.01772334,0.1486347,-0.0002896,-0.1489243
1,2.020441,2.0238316,"('unfriendly', 'friendly')",1.8463345,1.7020248,1.9333878,1.8629282,-0.0704596
2,-0.11031476,-0.042567052,"('unlikable', 'likable')",0.51372457,0.6710998,0.2017049,0.3142664,0.1125615
3,-1.9549506,-1.9099065,"('repellent', 'pleasant')",-0.41365856,-0.3635056,-1.1843046,-1.1367061,0.0475985
4,0.39139315,0.3677795,"('disliked', 'liked')",-6.4382524,-6.5264983,-3.0234296,-3.0793595,-0.0559299
5,1.373949,1.3740084,"('distant', 'outgoing')",-0.24910219,-0.20018174,0.5624234,0.5869133,0.0244899
6,1.1316319,1.1808698,"('distant', 'open')",-0.036201935,0.025518924,0.5477149,0.6031944,0.0554795
7,-0.81856185,-0.7613171,"('insensitive', 'sensitive')",-0.3306624,-0.29128236,-0.5746121,-0.5262997,0.0483124
8,1.4533713,1.4724636,"('unaffectionate', 'affectionate')",0.8889822,0.735946,1.1711767,1.1042048,-0.0669719
9,1.904161,1.9343653,"('unaffectionate', 'caring')",1.2302663,1.181151,1.5672137,1.5577581,-0.0094556
10,-0.7334669,-0.7761342,"('unsympathetic', 'sympathetic')",-0.031000003,-0.20775636,-0.3822335,-0.4919453,-0.1097118
11,-0.7664896,-0.8283093,"('unhelpful', 'helpful')",1.834055,1.7815278,0.5337827,0.4766092,-0.0571735
12,1.3498207,1.4144082,"('unsupportive', 'supportive')",-1.3647549,-1.3794485,-0.0074671,0.0174798,0.0249469
13,-0.4060911,-0.46437594,"('impolite', 'polite')",-0.4203831,-0.4627288,-0.4132371,-0.4635524,-0.0503153
14,-0.72463363,-0.8582042,"('antisocial', 'social')",-0.6350321,-0.7343281,-0.6798329,-0.7962661,-0.1164332
15,1.172659,1.1154296,"('boring', 'funny')",0.6345468,0.6441776,0.903603,0.8798037,-0.0237993
16,-0.7745925,-0.63777083,"('unpopular', 'popular')",-0.3811969,-0.33230093,-0.5778947,-0.4850359,0.0928588
17,-0.39252684,-0.34826127,"('nasty', 'nice')",-0.49345943,-0.44955608,-0.4429931,-0.3989087,0.0440844
18,-0.24199507,-0.163023,"('disagreeable', 'welcoming')",-1.0701109,-1.0688791,-0.656053,-0.6159511,0.0401019
19,0.43004566,0.44546834,"('inhospitable', 'hospitable')",-0.07903773,-0.022383064,0.175504,0.2115426,0.0360386
20,0.6316496,0.7065035,"('rough', 'thoughtful')",0.5785561,0.63669086,0.6051029,0.6715972,0.0664943
21,-0.4019498,-0.40933207,"('immoral', 'moral')",-1.0238506,-0.9540457,-0.7129002,-0.6816889,0.0312113
22,-1.7052686,-1.8485355,"('untrustworthy', 'trustworthy')",-1.1938336,-1.210143,-1.4495511,-1.5293393,-0.0797882
23,0.036078736,0.074520364,"('insincere', 'sincere')",5.282408,5.290251,2.6592436,2.6823857,0.0231421
24,-0.74248296,-0.7729108,"('dishonest', 'honest')",0.4181116,0.43622884,-0.1621857,-0.168341,-0.0061553
25,1.9927797,2.0547893,"('egoistic', 'altruistic')",1.3078306,1.3570731,1.6503052,1.7059312,0.055626
26,3.0355704,2.9914486,"('hardhearted', 'benevolent')",2.288922,2.071292,2.6622462,2.5313702,-0.130876
27,0.6152561,0.69363165,"('hardhearted', 'softhearted')",0.94363415,0.9358037,0.7794451,0.8147177,0.0352726
28,-0.020290721,-0.16838495,"('disloyal', 'loyal')",0.82116103,0.65742034,0.4004351,0.2445177,-0.1559174
29,-0.43798152,-0.45083946,"('unfair', 'fair')",-0.6813332,-0.682687,-0.5596573,-0.5667632,-0.0071059
30,-0.6700534,-0.7608821,"('intolerant', 'tolerant')",-0.042337246,-0.020187587,-0.3561953,-0.3905348,-0.0343395
31,0.35731378,0.48893708,"('evil', 'good')",-0.85794723,-0.8126321,-0.2503167,-0.1618475,0.0884692
32,0.21340416,0.23123124,"('unkind', 'kind')",0.6512476,0.53939927,0.4323259,0.3853152,-0.0470107
33,1.5254625,1.4740756,"('wrong', 'right')",-0.24368504,-0.16374837,0.6408888,0.6551636,0.0142748
34,-0.22883785,-0.029065387,"('mean', 'honorable')",4.3823423,4.51755,2.0767522,2.2442422,0.16749
35,0.89844304,0.8464754,"('corrupt', 'incorrupt')",-0.4191699,-0.44438237,0.2396366,0.2010465,-0.0385901
36,0.6772137,0.7193159,"('hostile', 'amicable')",-0.25158367,-0.37761936,0.212815,0.1708483,-0.0419667
37,0.06973602,0.033714324,"('fake', 'genuine')",0.31351078,0.3845118,0.1916234,0.2091131,0.0174897
