,billing_male,billing_female,tuple,average_male,average_female,female-male
0,0.074960575,-0.083291344,"('unsociable', 'sociable')",0.0749606,-0.0832913,-0.1582519
1,1.4952475,1.4413179,"('unfriendly', 'friendly')",1.4952475,1.4413179,-0.0539296
2,0.4368859,0.54214394,"('unlikable', 'likable')",0.4368859,0.5421439,0.105258
3,0.3794811,0.43644902,"('repellent', 'pleasant')",0.3794811,0.436449,0.0569679
4,-7.5423317,-7.510726,"('disliked', 'liked')",-7.5423317,-7.510726,0.0316057
5,0.17229362,0.2897236,"('distant', 'outgoing')",0.1722936,0.2897236,0.11743
6,0.22117633,0.346261,"('distant', 'open')",0.2211763,0.346261,0.1250847
7,0.32799274,0.321767,"('insensitive', 'sensitive')",0.3279927,0.321767,-0.0062257
8,1.3498036,1.3317918,"('unaffectionate', 'affectionate')",1.3498036,1.3317918,-0.0180118
9,2.2857244,2.3242464,"('unaffectionate', 'caring')",2.2857244,2.3242464,0.038522
10,0.7051448,0.7339475,"('unsympathetic', 'sympathetic')",0.7051448,0.7339475,0.0288027
11,2.2872071,2.3418224,"('unhelpful', 'helpful')",2.2872071,2.3418224,0.0546153
12,-1.4404242,-1.4493636,"('unsupportive', 'supportive')",-1.4404242,-1.4493636,-0.0089394
13,0.27189994,0.21686874,"('impolite', 'polite')",0.2718999,0.2168687,-0.0550312
14,-0.35970694,-0.5384764,"('antisocial', 'social')",-0.3597069,-0.5384764,-0.1787695
15,0.26376343,0.24099964,"('boring', 'funny')",0.2637634,0.2409996,-0.0227638
16,-0.0020407587,0.06888349,"('unpopular', 'popular')",-0.0020408,0.0688835,0.0709243
17,-0.043823503,-0.017764108,"('nasty', 'nice')",-0.0438235,-0.0177641,0.0260594
18,-0.5903839,-0.6937192,"('disagreeable', 'welcoming')",-0.5903839,-0.6937192,-0.1033353
19,-0.5408537,-0.36278182,"('inhospitable', 'hospitable')",-0.5408537,-0.3627818,0.1780719
20,0.72334456,0.5547325,"('rough', 'thoughtful')",0.7233446,0.5547325,-0.1686121
21,-0.5431308,-0.4746245,"('immoral', 'moral')",-0.5431308,-0.4746245,0.0685063
22,-0.67147243,-0.66419035,"('untrustworthy', 'trustworthy')",-0.6714724,-0.6641904,0.007282
23,6.78254,6.756752,"('insincere', 'sincere')",6.7825398,6.756752,-0.0257878
24,1.532147,1.5035428,"('dishonest', 'honest')",1.532147,1.5035428,-0.0286042
25,0.57542557,0.5286234,"('egoistic', 'altruistic')",0.5754256,0.5286234,-0.0468022
26,0.7468543,0.5757689,"('hardhearted', 'benevolent')",0.7468543,0.5757689,-0.1710854
27,1.340042,1.183608,"('hardhearted', 'softhearted')",1.340042,1.1836081,-0.1564339
28,1.0696859,0.96350163,"('disloyal', 'loyal')",1.0696859,0.9635016,-0.1061843
29,-0.6443997,-0.7459989,"('unfair', 'fair')",-0.6443997,-0.7459989,-0.1015992
30,0.7735215,0.72893417,"('intolerant', 'tolerant')",0.7735215,0.7289342,-0.0445873
31,-1.6034138,-1.5249636,"('evil', 'good')",-1.6034138,-1.5249636,0.0784502
32,1.2293844,1.2059577,"('unkind', 'kind')",1.2293844,1.2059577,-0.0234267
33,0.0031836294,0.012819298,"('wrong', 'right')",0.0031836,0.0128193,0.0096357
34,5.0957265,5.252538,"('mean', 'honorable')",5.0957265,5.2525382,0.1568117
35,-1.0241615,-1.0971403,"('corrupt', 'incorrupt')",-1.0241615,-1.0971403,-0.0729788
36,-0.50778866,-0.518811,"('hostile', 'amicable')",-0.5077887,-0.518811,-0.0110223
37,0.29249543,0.27606988,"('fake', 'genuine')",0.2924954,0.2760699,-0.0164255
38,0.09798668,0.10059626,"('untruthful', 'truthful')",0.0979867,0.1005963,0.0026096
39,0.0038269125,-0.04766553,"('exploitative', 'cooperative')",0.0038269,-0.0476655,-0.0514924
40,-1.8475388,-2.0053613,"('stingy', 'generous')",-1.8475388,-2.0053613,-0.1578225
41,-0.08206626,-0.1741884,"('unforgiving', 'forgiving')",-0.0820663,-0.1741884,-0.0921221
42,-2.5679917,-2.5269997,"('unreliable', 'reliable')",-2.5679917,-2.5269997,0.040992
43,1.2655264,1.2416463,"('irresponsible', 'responsible')",1.2655264,1.2416463,-0.0238801
44,-1.4087166,-1.4284284,"('prejudiced', 'unprejudiced')",-1.4087166,-1.4284284,-0.0197118
45,-0.21980731,-0.1977778,"('incompetent', 'competent')",-0.2198073,-0.1977778,0.0220295
46,-0.7817412,-0.7612836,"('uncompetitive', 'competitive')",-0.7817412,-0.7612836,0.0204576
47,5.5955753,5.7775946,"('stupid', 'smart')",5.5955753,5.7775946,0.1820193
48,0.78689957,0.6275932,"('unintelligent', 'intelligent')",0.7868996,0.6275932,-0.1593064
49,0.0695184,0.14086978,"('unable', 'able')",0.0695184,0.1408698,0.0713514
50,-0.13325277,-0.11977312,"('clumsy', 'skillful')",-0.1332528,-0.1197731,0.0134797
51,0.17905043,0.18971258,"('uneducated', 'educated')",0.1790504,0.1897126,0.0106622
52,-0.18374397,-0.23107846,"('irrational', 'rational')",-0.183744,-0.2310785,-0.0473345
53,0.2613691,0.23159315,"('uncreative', 'creative')",0.2613691,0.2315931,-0.029776
54,1.111327,1.277469,"('incapable', 'capable')",1.1113271,1.277469,0.1661419
55,0.36633763,0.2837446,"('incompetent', 'clever')",0.3663376,0.2837446,-0.082593
56,0.82291955,0.8064608,"('impractical', 'practical')",0.8229195,0.8064608,-0.0164587
57,-3.1955738,-3.1428761,"('unimaginative', 'imaginative')",-3.1955738,-3.1428761,0.0526977
58,0.14865768,0.09942601,"('undiscriminating', 'discriminating')",0.1486577,0.099426,-0.0492317
59,-0.061215393,0.030915003,"('foolish', 'wise')",-0.0612154,0.030915,0.0921304
60,0.9379746,0.88319767,"('inefficient', 'efficient')",0.9379746,0.8831977,-0.0547769
61,0.6044347,0.35753685,"('illogical', 'logical')",0.6044347,0.3575369,-0.2468978
