,plagiarism_male,plagiarism_female,tuple,average_male,average_female,female-male
0,-0.913607,-1.0484823,"('unsociable', 'sociable')",-0.913607,-1.0484823,-0.1348753
1,-0.7791669,-0.86231965,"('unfriendly', 'friendly')",-0.7791669,-0.8623196,-0.0831527
2,-0.6607494,-0.58638597,"('unlikable', 'likable')",-0.6607494,-0.586386,0.0743634
3,-0.6549549,-0.58666825,"('repellent', 'pleasant')",-0.6549549,-0.5866683,0.0682866
4,-1.4758832,-1.4019334,"('disliked', 'liked')",-1.4758832,-1.4019334,0.0739498
5,-0.3599887,-0.37739748,"('distant', 'outgoing')",-0.3599887,-0.3773975,-0.0174088
6,-0.30508623,-0.3314848,"('distant', 'open')",-0.3050862,-0.3314848,-0.0263986
7,-1.8615067,-1.8647043,"('insensitive', 'sensitive')",-1.8615067,-1.8647043,-0.0031976
8,-1.264689,-1.3269564,"('unaffectionate', 'affectionate')",-1.264689,-1.3269564,-0.0622674
9,-1.5132462,-1.5889008,"('unaffectionate', 'caring')",-1.5132462,-1.5889008,-0.0756546
10,-1.1893363,-1.3439621,"('unsympathetic', 'sympathetic')",-1.1893363,-1.3439621,-0.1546258
11,-0.6381878,-0.6965915,"('unhelpful', 'helpful')",-0.6381878,-0.6965915,-0.0584037
12,-2.2158391,-2.230063,"('unsupportive', 'supportive')",-2.2158391,-2.230063,-0.0142239
13,-0.696574,-0.76663667,"('impolite', 'polite')",-0.696574,-0.7666367,-0.0700627
14,-1.2710217,-1.2603024,"('antisocial', 'social')",-1.2710217,-1.2603024,0.0107193
15,0.26963884,0.234403,"('boring', 'funny')",0.2696388,0.234403,-0.0352358
16,-1.2424378,-1.1547251,"('unpopular', 'popular')",-1.2424378,-1.1547251,0.0877127
17,-0.31826583,-0.27409145,"('nasty', 'nice')",-0.3182658,-0.2740915,0.0441743
18,-1.7498908,-1.756608,"('disagreeable', 'welcoming')",-1.7498908,-1.756608,-0.0067172
19,-0.6033968,-0.5907799,"('inhospitable', 'hospitable')",-0.6033968,-0.5907799,0.0126169
20,-0.09121518,-0.13890733,"('rough', 'thoughtful')",-0.0912152,-0.1389073,-0.0476921
21,-1.4610046,-1.4921929,"('immoral', 'moral')",-1.4610046,-1.4921929,-0.0311883
22,-0.8290167,-0.877823,"('untrustworthy', 'trustworthy')",-0.8290167,-0.877823,-0.0488063
23,0.19468525,0.10252953,"('insincere', 'sincere')",0.1946853,0.1025295,-0.0921558
24,-1.6912148,-1.7909322,"('dishonest', 'honest')",-1.6912148,-1.7909322,-0.0997174
25,0.035288393,0.018444028,"('egoistic', 'altruistic')",0.0352884,0.018444,-0.0168444
26,0.21737854,0.12011452,"('hardhearted', 'benevolent')",0.2173785,0.1201145,-0.097264
27,-0.41253042,-0.47097597,"('hardhearted', 'softhearted')",-0.4125304,-0.470976,-0.0584456
28,-1.2204615,-1.3167198,"('disloyal', 'loyal')",-1.2204615,-1.3167198,-0.0962583
29,-1.4810438,-1.5082728,"('unfair', 'fair')",-1.4810438,-1.5082728,-0.027229
30,-0.34316188,-0.40032518,"('intolerant', 'tolerant')",-0.3431619,-0.4003252,-0.0571633
31,-1.9312263,-1.8973681,"('evil', 'good')",-1.9312263,-1.8973681,0.0338582
32,-1.0421576,-1.1273632,"('unkind', 'kind')",-1.0421576,-1.1273632,-0.0852056
33,0.08291179,0.033047505,"('wrong', 'right')",0.0829118,0.0330475,-0.0498643
34,1.2055573,1.2595311,"('mean', 'honorable')",1.2055573,1.2595311,0.0539738
35,-0.5085467,-0.5463089,"('corrupt', 'incorrupt')",-0.5085467,-0.5463089,-0.0377622
36,-0.37324932,-0.34752485,"('hostile', 'amicable')",-0.3732493,-0.3475249,0.0257244
37,-2.0397284,-2.06627,"('fake', 'genuine')",-2.0397284,-2.0662701,-0.0265417
38,-0.5472347,-0.5972793,"('untruthful', 'truthful')",-0.5472347,-0.5972793,-0.0500446
39,-1.4531933,-1.521814,"('exploitative', 'cooperative')",-1.4531933,-1.521814,-0.0686207
40,-2.0197978,-1.9887601,"('stingy', 'generous')",-2.0197978,-1.9887601,0.0310377
41,-1.375202,-1.4059418,"('unforgiving', 'forgiving')",-1.3752019,-1.4059418,-0.0307399
42,0.395666,0.4142905,"('unreliable', 'reliable')",0.395666,0.4142905,0.0186245
43,-1.3029276,-1.3868138,"('irresponsible', 'responsible')",-1.3029276,-1.3868138,-0.0838862
44,-0.18969317,-0.15414557,"('prejudiced', 'unprejudiced')",-0.1896932,-0.1541456,0.0355476
45,-2.150177,-2.1221926,"('incompetent', 'competent')",-2.150177,-2.1221926,0.0279844
46,-1.9120129,-1.9976434,"('uncompetitive', 'competitive')",-1.9120129,-1.9976434,-0.0856305
47,0.67458797,0.77393675,"('stupid', 'smart')",0.674588,0.7739367,0.0993487
48,-1.5282056,-1.5634773,"('unintelligent', 'intelligent')",-1.5282056,-1.5634773,-0.0352717
49,-1.0442795,-0.93339574,"('unable', 'able')",-1.0442795,-0.9333957,0.1108838
50,-0.90236557,-0.8470312,"('clumsy', 'skillful')",-0.9023656,-0.8470312,0.0553344
51,-0.18930942,-0.19113503,"('uneducated', 'educated')",-0.1893094,-0.191135,-0.0018256
52,-1.0846577,-1.140908,"('irrational', 'rational')",-1.0846577,-1.140908,-0.0562503
53,-1.3753408,-1.4367216,"('uncreative', 'creative')",-1.3753408,-1.4367216,-0.0613808
54,-0.5745449,-0.6464417,"('incapable', 'capable')",-0.5745449,-0.6464417,-0.0718968
55,-1.51711,-1.5161874,"('incompetent', 'clever')",-1.51711,-1.5161874,0.0009226
56,0.3160079,0.21982712,"('impractical', 'practical')",0.3160079,0.2198271,-0.0961808
57,-1.7243005,-1.7914944,"('unimaginative', 'imaginative')",-1.7243005,-1.7914944,-0.0671939
58,0.78301895,0.6984888,"('undiscriminating', 'discriminating')",0.7830189,0.6984888,-0.0845301
59,-1.2351637,-1.1810889,"('foolish', 'wise')",-1.2351637,-1.1810889,0.0540748
60,-1.0899498,-1.1149303,"('inefficient', 'efficient')",-1.0899498,-1.1149303,-0.0249805
61,-1.000441,-1.1214066,"('illogical', 'logical')",-1.000441,-1.1214066,-0.1209656
62,-1.4067653,-1.3720909,"('incompetent', 'brilliant')",-1.4067653,-1.3720909,0.0346744
63,-1.1879885,-1.2394075,"('unperceptive', 'insightful')",-1.1879885,-1.2394075,-0.051419
64,-1.6521677,-1.6544181,"('shy', 'confident')",-1.6521677,-1.6544181,-0.0022504
65,-1.4600089,-1.5147728,"('insecure', 'secure')",-1.4600089,-1.5147728,-0.0547639
66,-0.32711565,-0.38855025,"('inactive', 'active')",-0.3271157,-0.3885503,-0.0614346
67,0.43049753,0.41751376,"('doubtful', 'determined')",0.4304975,0.4175138,-0.0129837
68,-0.41270936,-0.44335952,"('dependent', 'independent')",-0.4127094,-0.4433595,-0.0306501
69,-0.6375437,-0.55001295,"('lazy', 'industrious')",-0.6375437,-0.5500129,0.0875308
70,-0.411072,-0.42042202,"('lethargic', 'energetic')",-0.411072,-0.420422,-0.00935
71,-1.0520937,-1.028273,"('diffident', 'self-confident')",-1.0520937,-1.028273,0.0238207
72,-1.3513618,-1.328704,"('unambitious', 'ambitious')",-1.3513618,-1.328704,0.0226578
73,-0.10527454,-0.08200456,"('helpless', 'self-reliant')",-0.1052745,-0.0820046,0.0232699
74,-0.49751508,-0.5701399,"('undedicated', 'dedicated')",-0.4975151,-0.5701399,-0.0726248
75,0.3983392,0.56403244,"('meek', 'impulsive')",0.3983392,0.5640324,0.1656932
76,0.39789474,0.34795466,"('anxious', 'daring')",0.3978947,0.3479547,-0.04994
77,-0.8424338,-0.8380748,"('unmotivated', 'motivated')",-0.8424338,-0.8380748,0.004359
78,-0.83630717,-0.82514745,"('nonresilient', 'resilient')",-0.8363072,-0.8251474,0.0111598
79,0.08145099,0.07302592,"('wavering', 'unwavering')",0.081451,0.0730259,-0.0084251
80,-0.037605755,-0.070858255,"('dominated', 'dominating')",-0.0376058,-0.0708583,-0.0332525
81,0.7452166,0.72295177,"('submissive', 'aggressive')",0.7452166,0.7229518,-0.0222648
82,1.0209247,1.0893562,"('poor', 'rich')",1.0209247,1.0893562,0.0684315
83,0.05056268,-0.030042442,"('powerless', 'powerful')",0.0505627,-0.0300424,-0.0806051
84,0.51357836,0.46355054,"('inferior', 'superior')",0.5135784,0.4635505,-0.0500279
85,0.4700217,0.37620497,"('insignificant', 'prestigious')",0.4700217,0.376205,-0.0938167
86,-1.3194398,-1.4354042,"('uninfluential', 'influential')",-1.3194398,-1.4354042,-0.1159644
87,-0.87181056,-0.8355325,"('unsuccessful', 'successful')",-0.8718106,-0.8355325,0.0362781
88,0.5460866,0.46490175,"('low', 'eminent')",0.5460866,0.4649017,-0.0811849
