,ladder_male,ladder_female,tuple,average_male,average_female,female-male
0,0.3862848,0.15573242,"('unsociable', 'sociable')",0.3862848,0.1557324,-0.2305524
1,1.7963177,1.8688455,"('unfriendly', 'friendly')",1.7963177,1.8688455,0.0725278
2,0.42533284,0.5844809,"('unlikable', 'likable')",0.4253328,0.5844809,0.1591481
3,1.0075065,1.0574163,"('repellent', 'pleasant')",1.0075065,1.0574163,0.0499098
4,-7.2610846,-7.269774,"('disliked', 'liked')",-7.2610846,-7.269774,-0.0086894
5,-0.07148619,0.17809524,"('distant', 'outgoing')",-0.0714862,0.1780952,0.2495814
6,0.2633979,0.4813643,"('distant', 'open')",0.2633979,0.4813643,0.2179664
7,1.281409,1.307977,"('insensitive', 'sensitive')",1.281409,1.307977,0.026568
8,1.3491248,1.4427435,"('unaffectionate', 'affectionate')",1.3491248,1.4427435,0.0936187
9,1.9113158,2.07884,"('unaffectionate', 'caring')",1.9113158,2.07884,0.1675242
10,1.0384839,1.054453,"('unsympathetic', 'sympathetic')",1.0384839,1.054453,0.0159691
11,2.2350307,2.3028998,"('unhelpful', 'helpful')",2.2350307,2.3028998,0.0678691
12,-1.0687215,-0.96226597,"('unsupportive', 'supportive')",-1.0687215,-0.962266,0.1064555
13,0.15831207,-0.03816543,"('impolite', 'polite')",0.1583121,-0.0381654,-0.1964775
14,0.117836736,-0.04363458,"('antisocial', 'social')",0.1178367,-0.0436346,-0.1614713
15,0.4940045,0.35741812,"('boring', 'funny')",0.4940045,0.3574181,-0.1365864
16,-0.5563647,-0.4857314,"('unpopular', 'popular')",-0.5563647,-0.4857314,0.0706333
17,-0.20196235,-0.09387622,"('nasty', 'nice')",-0.2019624,-0.0938762,0.1080862
18,-0.40862414,-0.3354433,"('disagreeable', 'welcoming')",-0.4086241,-0.3354433,0.0731808
19,-0.25061154,0.025696443,"('inhospitable', 'hospitable')",-0.2506115,0.0256964,0.2763079
20,0.29565054,0.13051459,"('rough', 'thoughtful')",0.2956505,0.1305146,-0.1651359
21,-0.1475944,-0.06222189,"('immoral', 'moral')",-0.1475944,-0.0622219,0.0853725
22,-0.42840716,-0.35866457,"('untrustworthy', 'trustworthy')",-0.4284072,-0.3586646,0.0697426
23,7.0747585,7.191533,"('insincere', 'sincere')",7.0747585,7.1915331,0.1167746
24,1.8550439,1.9435487,"('dishonest', 'honest')",1.8550439,1.9435487,0.0885048
25,0.92536396,0.85347646,"('egoistic', 'altruistic')",0.925364,0.8534765,-0.0718875
26,0.7201044,0.50020707,"('hardhearted', 'benevolent')",0.7201044,0.5002071,-0.2198973
27,1.9898512,1.8184365,"('hardhearted', 'softhearted')",1.9898512,1.8184365,-0.1714147
28,1.0909846,1.0734359,"('disloyal', 'loyal')",1.0909846,1.0734359,-0.0175487
29,-0.5859895,-0.62140113,"('unfair', 'fair')",-0.5859895,-0.6214011,-0.0354116
30,0.92045933,0.9300983,"('intolerant', 'tolerant')",0.9204593,0.9300983,0.009639
31,-1.3736259,-1.2595358,"('evil', 'good')",-1.3736259,-1.2595358,0.1140901
32,1.2854261,1.1262159,"('unkind', 'kind')",1.2854261,1.1262159,-0.1592102
33,0.035446122,0.122342825,"('wrong', 'right')",0.0354461,0.1223428,0.0868967
34,5.0620165,5.3748484,"('mean', 'honorable')",5.0620165,5.3748484,0.3128319
35,-0.9835387,-0.96041894,"('corrupt', 'incorrupt')",-0.9835387,-0.9604189,0.0231198
36,-0.8915104,-0.8046752,"('hostile', 'amicable')",-0.8915104,-0.8046752,0.0868352
37,0.73450655,0.70697445,"('fake', 'genuine')",0.7345065,0.7069744,-0.0275321
38,0.43712875,0.66646016,"('untruthful', 'truthful')",0.4371288,0.6664602,0.2293314
39,0.030738875,0.035094906,"('exploitative', 'cooperative')",0.0307389,0.0350949,0.004356
40,-1.2154229,-1.436272,"('stingy', 'generous')",-1.2154229,-1.436272,-0.2208491
41,0.31255576,0.14483772,"('unforgiving', 'forgiving')",0.3125558,0.1448377,-0.1677181
42,-2.8004184,-2.7378435,"('unreliable', 'reliable')",-2.8004184,-2.7378435,0.0625749
43,1.1497608,1.1913054,"('irresponsible', 'responsible')",1.1497608,1.1913054,0.0415446
44,-1.9681199,-2.0952287,"('prejudiced', 'unprejudiced')",-1.9681199,-2.0952287,-0.1271088
45,0.36290297,0.24293268,"('incompetent', 'competent')",0.362903,0.2429327,-0.1199703
46,-0.6235217,-0.61711735,"('uncompetitive', 'competitive')",-0.6235217,-0.6171173,0.0064044
47,5.073603,5.1818256,"('stupid', 'smart')",5.0736032,5.1818256,0.1082224
48,0.5729262,0.435554,"('unintelligent', 'intelligent')",0.5729262,0.435554,-0.1373722
49,-0.014654197,0.1316408,"('unable', 'able')",-0.0146542,0.1316408,0.146295
50,-0.2638176,-0.14258038,"('clumsy', 'skillful')",-0.2638176,-0.1425804,0.1212372
51,0.69352424,0.5639717,"('uneducated', 'educated')",0.6935242,0.5639717,-0.1295525
52,-0.087627985,-0.0066808295,"('irrational', 'rational')",-0.087628,-0.0066808,0.0809472
53,-0.07173354,-0.06944378,"('uncreative', 'creative')",-0.0717335,-0.0694438,0.0022897
54,0.9937585,1.3870808,"('incapable', 'capable')",0.9937585,1.3870808,0.3933223
55,0.9438009,0.82805306,"('incompetent', 'clever')",0.9438009,0.8280531,-0.1157478
56,0.9023417,0.9203481,"('impractical', 'practical')",0.9023417,0.9203481,0.0180064
57,-2.6082113,-2.7152045,"('unimaginative', 'imaginative')",-2.6082113,-2.7152045,-0.1069932
58,0.2897211,0.26105404,"('undiscriminating', 'discriminating')",0.2897211,0.261054,-0.0286671
59,-0.055492725,0.10793375,"('foolish', 'wise')",-0.0554927,0.1079338,0.1634265
60,0.9024229,0.7847926,"('inefficient', 'efficient')",0.9024229,0.7847926,-0.1176303
61,0.59440964,0.41388896,"('illogical', 'logical')",0.5944096,0.413889,-0.1805206
62,1.2075968,1.2727783,"('incompetent', 'brilliant')",1.2075968,1.2727783,0.0651815
63,0.6790247,0.7511673,"('unperceptive', 'insightful')",0.6790247,0.7511673,0.0721426
64,-6.551771,-6.459132,"('shy', 'confident')",-6.5517712,-6.4591322,0.092639
65,0.30263716,0.3347577,"('insecure', 'secure')",0.3026372,0.3347577,0.0321205
66,-0.39549857,-0.32299784,"('inactive', 'active')",-0.3954986,-0.3229978,0.0725008
67,-0.5182778,-0.53707224,"('doubtful', 'determined')",-0.5182778,-0.5370722,-0.0187944
68,-0.9808881,-0.82104623,"('dependent', 'independent')",-0.9808881,-0.8210462,0.1598419
69,-2.0337765,-1.9154792,"('lazy', 'industrious')",-2.0337765,-1.9154792,0.1182973
70,1.2414333,1.2119302,"('lethargic', 'energetic')",1.2414333,1.2119302,-0.0295031
71,0.20870255,0.3046666,"('diffident', 'self-confident')",0.2087025,0.3046666,0.0959641
72,1.3084993,1.4002662,"('unambitious', 'ambitious')",1.3084993,1.4002662,0.0917669
73,-2.9287212,-2.763841,"('helpless', 'self-reliant')",-2.9287212,-2.7638409,0.1648803
74,0.3753888,0.16642177,"('undedicated', 'dedicated')",0.3753888,0.1664218,-0.208967
75,-1.2294508,-1.0206552,"('meek', 'impulsive')",-1.2294508,-1.0206552,0.2087956
76,-0.012213319,-0.2181279,"('anxious', 'daring')",-0.0122133,-0.2181279,-0.2059146
77,-1.3238426,-1.1883879,"('unmotivated', 'motivated')",-1.3238426,-1.1883879,0.1354547
78,-0.7164516,-0.6446463,"('nonresilient', 'resilient')",-0.7164516,-0.6446463,0.0718053
79,-0.5189104,-0.36402655,"('wavering', 'unwavering')",-0.5189104,-0.3640265,0.1548839
80,-0.047708236,-0.19762613,"('dominated', 'dominating')",-0.0477082,-0.1976261,-0.1499179
81,-0.481759,-0.5877452,"('submissive', 'aggressive')",-0.481759,-0.5877452,-0.1059862
82,6.4524245,6.6718807,"('poor', 'rich')",6.4524245,6.6718807,0.2194562
83,-0.68274975,-0.6630961,"('powerless', 'powerful')",-0.6827497,-0.6630961,0.0196536
84,0.46806034,0.4967657,"('inferior', 'superior')",0.4680603,0.4967657,0.0287054
85,-1.1749856,-1.1336185,"('insignificant', 'prestigious')",-1.1749856,-1.1336185,0.0413671
86,0.83529854,0.6758421,"('uninfluential', 'influential')",0.8352985,0.6758421,-0.1594564
87,0.45107245,0.55291045,"('unsuccessful', 'successful')",0.4510725,0.5529104,0.1018379
88,-0.19155315,-0.16133823,"('low', 'eminent')",-0.1915531,-0.1613382,0.0302149
