,quadrant_male,quadrant_female,tuple,average_male,average_female,female-male
0,0.006993724,-0.089733265,"('unsociable', 'sociable')",0.0069937,-0.0897333,-0.096727
1,1.5324973,1.3003948,"('unfriendly', 'friendly')",1.5324973,1.3003948,-0.2321025
2,-0.06613371,-0.011369305,"('unlikable', 'likable')",-0.0661337,-0.0113693,0.0547644
3,0.10259144,0.21245076,"('repellent', 'pleasant')",0.1025914,0.2124508,0.1098594
4,-7.531586,-7.6336527,"('disliked', 'liked')",-7.5315862,-7.6336527,-0.1020665
5,-1.0713135,-1.1056161,"('distant', 'outgoing')",-1.0713135,-1.1056161,-0.0343026
6,-0.5043971,-0.54968524,"('distant', 'open')",-0.5043971,-0.5496852,-0.0452881
7,1.0858114,1.138251,"('insensitive', 'sensitive')",1.0858114,1.1382509,0.0524395
8,1.4285399,1.297135,"('unaffectionate', 'affectionate')",1.4285399,1.297135,-0.1314049
9,2.189047,2.0305734,"('unaffectionate', 'caring')",2.1890471,2.0305734,-0.1584737
10,1.3969834,1.3419023,"('unsympathetic', 'sympathetic')",1.3969834,1.3419023,-0.0550811
11,1.975932,1.924996,"('unhelpful', 'helpful')",1.975932,1.924996,-0.050936
12,-1.2986424,-1.4197063,"('unsupportive', 'supportive')",-1.2986424,-1.4197063,-0.1210639
13,-0.33911687,-0.43866217,"('impolite', 'polite')",-0.3391169,-0.4386622,-0.0995453
14,-0.10108776,-0.048360415,"('antisocial', 'social')",-0.1010878,-0.0483604,0.0527274
15,0.11196644,0.0026988517,"('boring', 'funny')",0.1119664,0.0026989,-0.1092675
16,-0.97846115,-0.89548403,"('unpopular', 'popular')",-0.9784611,-0.895484,0.0829771
17,-0.97320265,-1.0048044,"('nasty', 'nice')",-0.9732026,-1.0048044,-0.0316018
18,-0.56656975,-0.576885,"('disagreeable', 'welcoming')",-0.5665697,-0.576885,-0.0103153
19,-0.40613025,-0.5387828,"('inhospitable', 'hospitable')",-0.4061303,-0.5387828,-0.1326525
20,1.4469217,1.3382813,"('rough', 'thoughtful')",1.4469217,1.3382813,-0.1086404
21,-0.33685383,-0.3116032,"('immoral', 'moral')",-0.3368538,-0.3116032,0.0252506
22,-1.0550169,-1.0530158,"('untrustworthy', 'trustworthy')",-1.0550169,-1.0530158,0.0020011
23,6.6515236,6.679777,"('insincere', 'sincere')",6.6515236,6.6797771,0.0282535
24,1.4753745,1.4426345,"('dishonest', 'honest')",1.4753745,1.4426345,-0.03274
25,1.0997282,1.0735347,"('egoistic', 'altruistic')",1.0997282,1.0735347,-0.0261935
26,1.5342317,1.3176088,"('hardhearted', 'benevolent')",1.5342317,1.3176088,-0.2166229
27,1.9874489,1.7222421,"('hardhearted', 'softhearted')",1.9874489,1.7222421,-0.2652068
28,1.255768,1.2103689,"('disloyal', 'loyal')",1.2557679,1.2103689,-0.045399
29,-1.614011,-1.619616,"('unfair', 'fair')",-1.614011,-1.619616,-0.005605
30,1.2624915,1.2539392,"('intolerant', 'tolerant')",1.2624915,1.2539392,-0.0085523
31,-1.7532371,-1.7817595,"('evil', 'good')",-1.7532371,-1.7817595,-0.0285224
32,1.1700455,0.9814719,"('unkind', 'kind')",1.1700455,0.9814719,-0.1885736
33,-0.49736348,-0.5819075,"('wrong', 'right')",-0.4973635,-0.5819075,-0.084544
34,4.7860994,4.89635,"('mean', 'honorable')",4.7860994,4.8963499,0.1102505
35,-0.85398763,-0.98776394,"('corrupt', 'incorrupt')",-0.8539876,-0.9877639,-0.1337763
36,-0.7291367,-0.91805303,"('hostile', 'amicable')",-0.7291367,-0.918053,-0.1889163
37,1.0836289,1.1228917,"('fake', 'genuine')",1.0836289,1.1228917,0.0392628
38,0.20171387,-0.006925851,"('untruthful', 'truthful')",0.2017139,-0.0069259,-0.2086398
39,1.0681338,0.9727905,"('exploitative', 'cooperative')",1.0681338,0.9727905,-0.0953433
40,-1.7827065,-1.8501457,"('stingy', 'generous')",-1.7827065,-1.8501457,-0.0674392
41,0.47627747,0.17795123,"('unforgiving', 'forgiving')",0.4762775,0.1779512,-0.2983263
42,-3.0935993,-2.8687496,"('unreliable', 'reliable')",-3.0935993,-2.8687496,0.2248497
