,perspecta_male,perspecta_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.6195736,-0.7149661,"('unsociable', 'sociable')",-0.17528832,-0.2866242,-0.397431,-0.5007951,-0.1033641
1,-1.5934907,-1.6716461,"('unfriendly', 'friendly')",1.783994,1.7042615,0.0952516,0.0163077,-0.0789439
2,0.56927794,0.6255054,"('unlikable', 'likable')",0.64325047,0.7550733,0.6062642,0.6902894,0.0840252
3,-0.97228837,-0.837704,"('repellent', 'pleasant')",0.42129767,0.51177764,-0.2754954,-0.1629632,0.1125322
4,0.11997415,0.09124664,"('disliked', 'liked')",-6.2745547,-6.4171453,-3.0772903,-3.1629493,-0.085659
5,-0.9193324,-0.8426287,"('distant', 'outgoing')",-0.05689469,-0.11111813,-0.4881135,-0.4768734,0.0112401
6,-1.1900983,-1.1045582,"('distant', 'open')",0.27190858,0.2658984,-0.4590949,-0.4193299,0.039765
7,-0.9325926,-0.8365792,"('insensitive', 'sensitive')",0.7353305,0.8223194,-0.098631,-0.0071299,0.0915011
8,-1.526708,-1.4741076,"('unaffectionate', 'affectionate')",0.9323057,0.820795,-0.2972012,-0.3266563,-0.0294551
9,-1.8799372,-1.8029228,"('unaffectionate', 'caring')",1.054568,1.0115149,-0.4126846,-0.395704,0.0169806
10,-1.6805193,-1.6396747,"('unsympathetic', 'sympathetic')",-0.361728,-0.35978374,-1.0211236,-0.9997292,0.0213944
11,-0.9249061,-0.80761707,"('unhelpful', 'helpful')",1.2271285,1.335071,0.1511112,0.2637269,0.1126157
12,-1.1567392,-0.8957273,"('unsupportive', 'supportive')",-1.6910732,-1.6973127,-1.4239062,-1.29652,0.1273862
13,-0.18439367,-0.16614336,"('impolite', 'polite')",-0.5975195,-0.5427987,-0.3909566,-0.354471,0.0364856
14,0.5508078,0.5806398,"('antisocial', 'social')",0.1027842,0.061276715,0.326796,0.3209583,-0.0058377
15,0.34292635,0.18829054,"('boring', 'funny')",0.680711,0.6166636,0.5118186,0.4024771,-0.1093415
16,-1.2780691,-1.2134771,"('unpopular', 'popular')",-0.08315597,0.0065198764,-0.6806126,-0.6034786,0.077134
17,-0.24467757,-0.13329801,"('nasty', 'nice')",-0.14585516,-0.13675913,-0.1952664,-0.1350286,0.0602378
18,-0.4062842,-0.23734534,"('disagreeable', 'welcoming')",-0.32485795,-0.27051035,-0.3655711,-0.2539278,0.1116433
19,-1.1043445,-1.07974,"('inhospitable', 'hospitable')",0.000724053,0.045705482,-0.5518102,-0.5170173,0.0347929
