,monument_male,monument_female,tuple,average_male,average_female,female-male
0,0.29332605,0.16449146,"('unsociable', 'sociable')",0.2933261,0.1644915,-0.1288346
1,0.9091031,1.0410417,"('unfriendly', 'friendly')",0.9091031,1.0410417,0.1319386
2,0.12296093,0.34020677,"('unlikable', 'likable')",0.1229609,0.3402068,0.2172459
3,0.66639847,0.77009857,"('repellent', 'pleasant')",0.6663985,0.7700986,0.1037001
4,-7.763736,-7.735447,"('disliked', 'liked')",-7.7637358,-7.7354469,0.0282889
5,-1.3709886,-1.2219249,"('distant', 'outgoing')",-1.3709886,-1.2219249,0.1490637
6,-0.7383776,-0.6818633,"('distant', 'open')",-0.7383776,-0.6818633,0.0565143
7,1.7782247,1.7377176,"('insensitive', 'sensitive')",1.7782247,1.7377176,-0.0405071
8,1.0844573,1.1154886,"('unaffectionate', 'affectionate')",1.0844573,1.1154886,0.0310313
9,1.4008268,1.4814193,"('unaffectionate', 'caring')",1.4008268,1.4814193,0.0805925
10,1.94817,1.7979327,"('unsympathetic', 'sympathetic')",1.9481699,1.7979327,-0.1502372
11,1.9135528,1.8771548,"('unhelpful', 'helpful')",1.9135528,1.8771548,-0.036398
12,-1.3516252,-1.2645721,"('unsupportive', 'supportive')",-1.3516252,-1.2645721,0.0870531
13,0.09766078,0.07956555,"('impolite', 'polite')",0.0976608,0.0795655,-0.0180953
14,0.5019077,0.5036943,"('antisocial', 'social')",0.5019077,0.5036943,0.0017866
15,0.4589401,0.4650724,"('boring', 'funny')",0.4589401,0.4650724,0.0061323
16,-1.0520564,-0.8711568,"('unpopular', 'popular')",-1.0520564,-0.8711568,0.1808996
17,-0.34641024,-0.29736033,"('nasty', 'nice')",-0.3464102,-0.2973603,0.0490499
18,-1.0500581,-0.82890767,"('disagreeable', 'welcoming')",-1.0500581,-0.8289077,0.2211504
19,-0.85433036,-0.8085328,"('inhospitable', 'hospitable')",-0.8543304,-0.8085328,0.0457976
20,0.8616067,0.79529965,"('rough', 'thoughtful')",0.8616067,0.7952996,-0.0663071
21,0.21755695,0.3709425,"('immoral', 'moral')",0.217557,0.3709425,0.1533855
22,0.12973182,0.19594033,"('untrustworthy', 'trustworthy')",0.1297318,0.1959403,0.0662085
23,6.5315275,6.571453,"('insincere', 'sincere')",6.5315275,6.5714531,0.0399256
24,1.7704003,1.7626474,"('dishonest', 'honest')",1.7704003,1.7626474,-0.0077529
25,0.15678206,0.29340744,"('egoistic', 'altruistic')",0.1567821,0.2934074,0.1366253
26,1.1166956,0.9433883,"('hardhearted', 'benevolent')",1.1166956,0.9433883,-0.1733073
27,1.4986268,1.4043677,"('hardhearted', 'softhearted')",1.4986268,1.4043677,-0.0942591
28,1.5967047,1.4386804,"('disloyal', 'loyal')",1.5967047,1.4386804,-0.1580243
29,-0.33289737,-0.47592524,"('unfair', 'fair')",-0.3328974,-0.4759252,-0.1430278
30,1.3636006,1.4444451,"('intolerant', 'tolerant')",1.3636006,1.4444451,0.0808445
31,-1.7007151,-1.5767863,"('evil', 'good')",-1.7007151,-1.5767863,0.1239288
32,1.6837894,1.517189,"('unkind', 'kind')",1.6837894,1.517189,-0.1666004
33,-0.9969591,-0.9429679,"('wrong', 'right')",-0.9969591,-0.9429679,0.0539912
34,4.328776,4.559527,"('mean', 'honorable')",4.3287759,4.5595269,0.230751
35,-1.170333,-1.4563115,"('corrupt', 'incorrupt')",-1.170333,-1.4563115,-0.2859785
36,-1.1195012,-1.2080998,"('hostile', 'amicable')",-1.1195012,-1.2080998,-0.0885986
37,0.8909801,0.9092325,"('fake', 'genuine')",0.8909801,0.9092325,0.0182524
38,-0.5468753,-0.49671558,"('untruthful', 'truthful')",-0.5468753,-0.4967156,0.0501597
39,0.2649881,0.29326624,"('exploitative', 'cooperative')",0.2649881,0.2932662,0.0282781
40,-1.2502123,-1.3724775,"('stingy', 'generous')",-1.2502123,-1.3724775,-0.1222652
41,0.32602087,0.21682167,"('unforgiving', 'forgiving')",0.3260209,0.2168217,-0.1091992
42,-1.6475563,-1.6213903,"('unreliable', 'reliable')",-1.6475563,-1.6213903,0.026166
