,decision-making_male,decision-making_female,tuple,average_male,average_female,female-male
0,-0.16490284,-0.34963295,"('unsociable', 'sociable')",-0.1649028,-0.3496329,-0.1847301
1,0.45660475,0.3789829,"('unfriendly', 'friendly')",0.4566047,0.3789829,-0.0776218
2,1.2743365,1.2893177,"('unlikable', 'likable')",1.2743365,1.2893177,0.0149812
3,0.14038394,0.23732032,"('repellent', 'pleasant')",0.1403839,0.2373203,0.0969364
4,0.04889082,0.1324,"('disliked', 'liked')",0.0488908,0.1324,0.0835092
5,1.074585,1.1769818,"('distant', 'outgoing')",1.074585,1.1769818,0.1023968
6,0.6386059,0.72683173,"('distant', 'open')",0.6386059,0.7268317,0.0882258
7,1.1546024,1.0867267,"('insensitive', 'sensitive')",1.1546024,1.0867267,-0.0678757
8,-0.8244187,-0.9200008,"('unaffectionate', 'affectionate')",-0.8244187,-0.9200008,-0.0955821
9,0.679734,0.55592966,"('unaffectionate', 'caring')",0.679734,0.5559297,-0.1238043
10,-0.25424257,-0.40001953,"('unsympathetic', 'sympathetic')",-0.2542426,-0.4000195,-0.1457769
11,1.743425,1.5998724,"('unhelpful', 'helpful')",1.743425,1.5998724,-0.1435526
12,0.6586949,0.63450086,"('unsupportive', 'supportive')",0.6586949,0.6345009,-0.024194
13,0.44706368,0.35095203,"('impolite', 'polite')",0.4470637,0.350952,-0.0961117
14,0.8125437,0.7020907,"('antisocial', 'social')",0.8125437,0.7020907,-0.110453
15,1.3575002,1.2428441,"('boring', 'funny')",1.3575002,1.2428441,-0.1146561
16,-1.5711579,-1.6217294,"('unpopular', 'popular')",-1.5711579,-1.6217294,-0.0505715
17,-0.7792971,-0.673516,"('nasty', 'nice')",-0.7792971,-0.673516,0.1057811
18,-1.5484625,-1.5550877,"('disagreeable', 'welcoming')",-1.5484625,-1.5550877,-0.0066252
19,0.09760192,0.10417603,"('inhospitable', 'hospitable')",0.0976019,0.104176,0.0065741
20,1.3002981,1.2319629,"('rough', 'thoughtful')",1.3002981,1.2319629,-0.0683352
21,2.6510854,2.587922,"('immoral', 'moral')",2.6510854,2.5879221,-0.0631633
22,0.9402035,0.8427395,"('untrustworthy', 'trustworthy')",0.9402035,0.8427395,-0.097464
23,1.6704266,1.537693,"('insincere', 'sincere')",1.6704266,1.537693,-0.1327336
24,0.7944041,0.7592493,"('dishonest', 'honest')",0.7944041,0.7592493,-0.0351548
25,0.20849788,0.14347401,"('egoistic', 'altruistic')",0.2084979,0.143474,-0.0650239
26,0.30751336,0.15198128,"('hardhearted', 'benevolent')",0.3075134,0.1519813,-0.1555321
27,-0.23133549,-0.2682257,"('hardhearted', 'softhearted')",-0.2313355,-0.2682257,-0.0368902
28,0.0696038,-0.12519747,"('disloyal', 'loyal')",0.0696038,-0.1251975,-0.1948013
29,1.0354977,1.0436146,"('unfair', 'fair')",1.0354977,1.0436146,0.0081169
30,0.9917023,0.92317474,"('intolerant', 'tolerant')",0.9917023,0.9231747,-0.0685276
31,-1.3324308,-1.2332114,"('evil', 'good')",-1.3324308,-1.2332114,0.0992194
32,0.08354586,-0.045856528,"('unkind', 'kind')",0.0835459,-0.0458565,-0.1294024
33,2.381209,2.3828375,"('wrong', 'right')",2.3812089,2.3828375,0.0016286
34,0.7321503,0.78208345,"('mean', 'honorable')",0.7321503,0.7820835,0.0499332
35,-1.0008168,-1.0494915,"('corrupt', 'incorrupt')",-1.0008168,-1.0494915,-0.0486747
36,-0.38834298,-0.41627014,"('hostile', 'amicable')",-0.388343,-0.4162701,-0.0279271
37,1.0759494,1.0104575,"('fake', 'genuine')",1.0759494,1.0104575,-0.0654919
38,1.8436515,1.8123151,"('untruthful', 'truthful')",1.8436515,1.8123151,-0.0313364
39,0.1977742,0.09091872,"('exploitative', 'cooperative')",0.1977742,0.0909187,-0.1068555
40,-1.0688136,-0.9790683,"('stingy', 'generous')",-1.0688136,-0.9790683,0.0897453
41,0.51508045,0.44335562,"('unforgiving', 'forgiving')",0.5150805,0.4433556,-0.0717249
42,1.2799026,1.2543473,"('unreliable', 'reliable')",1.2799026,1.2543473,-0.0255553
43,1.5377654,1.4451885,"('irresponsible', 'responsible')",1.5377654,1.4451885,-0.0925769
44,-0.9947062,-0.9480519,"('prejudiced', 'unprejudiced')",-0.9947062,-0.9480519,0.0466543
45,0.08126159,0.061439797,"('incompetent', 'competent')",0.0812616,0.0614398,-0.0198218
46,0.60315365,0.5154173,"('uncompetitive', 'competitive')",0.6031536,0.5154173,-0.0877363
47,0.8430135,0.8546028,"('stupid', 'smart')",0.8430135,0.8546028,0.0115893
48,-0.5399679,-0.623091,"('unintelligent', 'intelligent')",-0.5399679,-0.623091,-0.0831231
49,0.0144279525,-0.032227203,"('unable', 'able')",0.014428,-0.0322272,-0.0466552
50,-0.2723798,-0.31599766,"('clumsy', 'skillful')",-0.2723798,-0.3159977,-0.0436179
51,0.2697749,0.18747103,"('uneducated', 'educated')",0.2697749,0.187471,-0.0823039
52,0.21335948,0.098118864,"('irrational', 'rational')",0.2133595,0.0981189,-0.1152406
53,0.54052716,0.43528324,"('uncreative', 'creative')",0.5405272,0.4352832,-0.105244
54,0.62197,0.4980052,"('incapable', 'capable')",0.62197,0.4980052,-0.1239648
55,-0.37473607,-0.46792865,"('incompetent', 'clever')",-0.3747361,-0.4679286,-0.0931925
56,3.12442,3.0856903,"('impractical', 'practical')",3.1244199,3.0856903,-0.0387296
57,0.34139916,0.24445859,"('unimaginative', 'imaginative')",0.3413992,0.2444586,-0.0969406
58,1.4308567,1.3857725,"('undiscriminating', 'discriminating')",1.4308567,1.3857725,-0.0450842
59,0.9058321,0.90951186,"('foolish', 'wise')",0.9058321,0.9095119,0.0036798
60,1.0505602,1.057744,"('inefficient', 'efficient')",1.0505602,1.057744,0.0071838
61,2.421982,2.2507725,"('illogical', 'logical')",2.421982,2.2507725,-0.1712095
62,1.178979,1.1863282,"('incompetent', 'brilliant')",1.178979,1.1863282,0.0073492
63,2.104775,1.9701918,"('unperceptive', 'insightful')",2.104775,1.9701918,-0.1345832
64,1.2841086,1.3004216,"('shy', 'confident')",1.2841086,1.3004216,0.016313
65,0.094468445,-0.08523233,"('insecure', 'secure')",0.0944684,-0.0852323,-0.1797007
66,0.15946335,0.14421865,"('inactive', 'active')",0.1594633,0.1442187,-0.0152446
67,2.073782,2.0717995,"('doubtful', 'determined')",2.073782,2.0717995,-0.0019825
68,0.63011044,0.661015,"('dependent', 'independent')",0.6301104,0.661015,0.0309046
69,1.1643027,1.2146136,"('lazy', 'industrious')",1.1643027,1.2146136,0.0503109
70,0.95368904,0.8672697,"('lethargic', 'energetic')",0.953689,0.8672697,-0.0864193
71,0.68995106,0.71144766,"('diffident', 'self-confident')",0.6899511,0.7114477,0.0214966
72,0.42135197,0.44707507,"('unambitious', 'ambitious')",0.421352,0.4470751,0.0257231
73,0.7824522,0.9228984,"('helpless', 'self-reliant')",0.7824522,0.9228984,0.1404462
74,0.8699109,0.856806,"('undedicated', 'dedicated')",0.8699109,0.856806,-0.0131049
75,-0.13313174,0.038800385,"('meek', 'impulsive')",-0.1331317,0.0388004,0.1719321
76,-1.2423311,-1.3442641,"('anxious', 'daring')",-1.2423311,-1.3442641,-0.101933
77,1.3609431,1.3076813,"('unmotivated', 'motivated')",1.3609431,1.3076813,-0.0532618
78,0.43729016,0.3700084,"('nonresilient', 'resilient')",0.4372902,0.3700084,-0.0672818
79,-0.67512584,-0.6471606,"('wavering', 'unwavering')",-0.6751258,-0.6471606,0.0279652
80,0.6657132,0.57044697,"('dominated', 'dominating')",0.6657132,0.570447,-0.0952662
81,1.9928714,1.9370075,"('submissive', 'aggressive')",1.9928714,1.9370075,-0.0558639
82,-0.9260796,-0.9448182,"('poor', 'rich')",-0.9260796,-0.9448182,-0.0187386
83,1.2578617,1.2468961,"('powerless', 'powerful')",1.2578617,1.2468961,-0.0109656
84,1.241717,1.1626289,"('inferior', 'superior')",1.241717,1.1626289,-0.0790881
85,0.44672504,0.4170787,"('insignificant', 'prestigious')",0.446725,0.4170787,-0.0296463
86,0.86641616,0.7478124,"('uninfluential', 'influential')",0.8664162,0.7478124,-0.1186038
87,0.38834748,0.2639864,"('unsuccessful', 'successful')",0.3883475,0.2639864,-0.1243611
88,1.0874739,0.9575233,"('low', 'eminent')",1.0874739,0.9575233,-0.1299506
