,tummy_male,tummy_female,tuple,average_male,average_female,female-male
0,0.09290238,-0.10112247,"('unsociable', 'sociable')",0.0929024,-0.1011225,-0.1940249
1,0.030986127,-0.25360918,"('unfriendly', 'friendly')",0.0309861,-0.2536092,-0.2845953
2,-0.5277127,-0.50570977,"('unlikable', 'likable')",-0.5277127,-0.5057098,0.0220029
3,-1.4365301,-1.2934251,"('repellent', 'pleasant')",-1.4365301,-1.2934251,0.143105
4,-2.7768216,-2.6389334,"('disliked', 'liked')",-2.7768216,-2.6389334,0.1378882
5,-0.55679095,-0.7380605,"('distant', 'outgoing')",-0.5567909,-0.7380605,-0.1812696
6,-0.8177026,-0.99540895,"('distant', 'open')",-0.8177026,-0.995409,-0.1777064
7,-0.2973724,-0.15740927,"('insensitive', 'sensitive')",-0.2973724,-0.1574093,0.1399631
8,-0.26168638,-0.48090002,"('unaffectionate', 'affectionate')",-0.2616864,-0.4809,-0.2192136
9,-0.1831453,-0.35010815,"('unaffectionate', 'caring')",-0.1831453,-0.3501081,-0.1669628
10,-0.7559067,-0.74117416,"('unsympathetic', 'sympathetic')",-0.7559067,-0.7411742,0.0147325
11,0.9589632,0.96747756,"('unhelpful', 'helpful')",0.9589632,0.9674776,0.0085144
12,-1.0982444,-1.1254721,"('unsupportive', 'supportive')",-1.0982444,-1.1254721,-0.0272277
13,-0.037859872,-0.10272285,"('impolite', 'polite')",-0.0378599,-0.1027229,-0.064863
14,-0.51587975,-0.5607849,"('antisocial', 'social')",-0.5158798,-0.5607849,-0.0449051
15,1.0209974,0.86714506,"('boring', 'funny')",1.0209974,0.8671451,-0.1538523
16,-0.30531758,-0.32722217,"('unpopular', 'popular')",-0.3053176,-0.3272222,-0.0219046
17,-0.19650605,-0.27461445,"('nasty', 'nice')",-0.1965061,-0.2746145,-0.0781084
18,-0.8579355,-0.9833689,"('disagreeable', 'welcoming')",-0.8579355,-0.9833689,-0.1254334
19,-0.489126,-0.5363593,"('inhospitable', 'hospitable')",-0.489126,-0.5363593,-0.0472333
20,0.0018949043,-0.10604146,"('rough', 'thoughtful')",0.0018949,-0.1060415,-0.1079364
21,-0.1988697,-0.092174634,"('immoral', 'moral')",-0.1988697,-0.0921746,0.1066951
22,-0.3186856,-0.3044459,"('untrustworthy', 'trustworthy')",-0.3186856,-0.3044459,0.0142397
23,2.2642667,2.075548,"('insincere', 'sincere')",2.2642667,2.0755479,-0.1887188
24,0.06442048,-0.0005913526,"('dishonest', 'honest')",0.0644205,-0.0005914,-0.0650119
25,-0.84564817,-1.1269825,"('egoistic', 'altruistic')",-0.8456482,-1.1269825,-0.2813343
26,0.18308727,-0.0625428,"('hardhearted', 'benevolent')",0.1830873,-0.0625428,-0.2456301
27,0.39124325,0.105935626,"('hardhearted', 'softhearted')",0.3912432,0.1059356,-0.2853076
28,0.27026364,0.06675425,"('disloyal', 'loyal')",0.2702636,0.0667543,-0.2035093
29,-0.28403413,-0.29419103,"('unfair', 'fair')",-0.2840341,-0.294191,-0.0101569
30,0.40321442,0.32733113,"('intolerant', 'tolerant')",0.4032144,0.3273311,-0.0758833
31,-1.3139749,-1.3534452,"('evil', 'good')",-1.3139749,-1.3534452,-0.0394703
32,0.7483921,0.6328396,"('unkind', 'kind')",0.7483921,0.6328396,-0.1155525
33,0.111996554,0.060539186,"('wrong', 'right')",0.1119966,0.0605392,-0.0514574
34,2.278573,2.3459632,"('mean', 'honorable')",2.278573,2.3459632,0.0673902
35,0.14706858,-0.051861323,"('corrupt', 'incorrupt')",0.1470686,-0.0518613,-0.1989299
36,-1.1779877,-1.3078454,"('hostile', 'amicable')",-1.1779877,-1.3078454,-0.1298577
37,-0.19511858,-0.22026642,"('fake', 'genuine')",-0.1951186,-0.2202664,-0.0251478
38,0.46674505,0.49877995,"('untruthful', 'truthful')",0.466745,0.49878,0.032035
