,sentencing_male,sentencing_female,tuple,average_male,average_female,female-male
0,-0.24891202,-0.2292713,"('unsociable', 'sociable')",-0.248912,-0.2292713,0.0196407
1,1.4706353,1.4900504,"('unfriendly', 'friendly')",1.4706353,1.4900504,0.0194151
2,0.056201346,0.10554815,"('unlikable', 'likable')",0.0562013,0.1055482,0.0493469
3,0.094691075,0.11947388,"('repellent', 'pleasant')",0.0946911,0.1194739,0.0247828
4,-7.4568863,-7.558757,"('disliked', 'liked')",-7.4568863,-7.5587568,-0.1018705
5,-0.12525213,-0.14844349,"('distant', 'outgoing')",-0.1252521,-0.1484435,-0.0231914
6,0.40048927,0.36638755,"('distant', 'open')",0.4004893,0.3663875,-0.0341018
7,0.8778442,0.9268853,"('insensitive', 'sensitive')",0.8778442,0.9268853,0.0490411
8,1.4074777,1.3319309,"('unaffectionate', 'affectionate')",1.4074777,1.3319309,-0.0755468
9,1.9391438,1.9864054,"('unaffectionate', 'caring')",1.9391438,1.9864054,0.0472616
10,0.6739296,0.71712714,"('unsympathetic', 'sympathetic')",0.6739296,0.7171271,0.0431975
11,1.5138679,1.5767014,"('unhelpful', 'helpful')",1.5138679,1.5767014,0.0628335
12,-1.50838,-1.5189285,"('unsupportive', 'supportive')",-1.5083801,-1.5189285,-0.0105484
13,-0.31162894,-0.29723296,"('impolite', 'polite')",-0.3116289,-0.297233,0.0143959
14,-0.1595807,-0.20851411,"('antisocial', 'social')",-0.1595807,-0.2085141,-0.0489334
15,0.08780219,0.042376027,"('boring', 'funny')",0.0878022,0.042376,-0.0454262
16,-0.5756006,-0.55943435,"('unpopular', 'popular')",-0.5756006,-0.5594344,0.0161662
17,0.09421695,0.107515916,"('nasty', 'nice')",0.094217,0.1075159,0.0132989
18,-0.30099672,-0.37727767,"('disagreeable', 'welcoming')",-0.3009967,-0.3772777,-0.076281
19,-0.42363617,-0.37533826,"('inhospitable', 'hospitable')",-0.4236362,-0.3753383,0.0482979
20,0.9483244,0.87870866,"('rough', 'thoughtful')",0.9483244,0.8787087,-0.0696157
21,-0.5823176,-0.4983341,"('immoral', 'moral')",-0.5823176,-0.4983341,0.0839835
22,-0.8237416,-0.841593,"('untrustworthy', 'trustworthy')",-0.8237416,-0.841593,-0.0178514
23,6.8458166,6.968295,"('insincere', 'sincere')",6.8458166,6.9682951,0.1224785
24,1.6576252,1.5672373,"('dishonest', 'honest')",1.6576252,1.5672373,-0.0903879
25,0.95855457,0.8739178,"('egoistic', 'altruistic')",0.9585546,0.8739178,-0.0846368
26,0.99865,0.9793197,"('hardhearted', 'benevolent')",0.99865,0.9793197,-0.0193303
27,1.8606216,1.7004565,"('hardhearted', 'softhearted')",1.8606216,1.7004565,-0.1601651
28,1.5108831,1.5039349,"('disloyal', 'loyal')",1.5108831,1.5039349,-0.0069482
29,-0.46551266,-0.5728362,"('unfair', 'fair')",-0.4655127,-0.5728362,-0.1073235
30,1.1471405,1.2006447,"('intolerant', 'tolerant')",1.1471405,1.2006447,0.0535042
31,-1.1815914,-1.1948609,"('evil', 'good')",-1.1815914,-1.1948609,-0.0132695
32,1.2658372,1.244051,"('unkind', 'kind')",1.2658372,1.244051,-0.0217862
33,-0.08498622,-0.09643637,"('wrong', 'right')",-0.0849862,-0.0964364,-0.0114502
34,5.157474,5.2881536,"('mean', 'honorable')",5.157474,5.2881536,0.1306796
35,-0.4240797,-0.56376183,"('corrupt', 'incorrupt')",-0.4240797,-0.5637618,-0.1396821
