,gerbil_male,gerbil_female,tuple,average_male,average_female,female-male
0,-0.62925494,-0.70231557,"('unsociable', 'sociable')",-0.6292549,-0.7023156,-0.0730607
1,-0.21708225,-0.46811202,"('unfriendly', 'friendly')",-0.2170822,-0.468112,-0.2510298
2,0.38772473,0.3997361,"('unlikable', 'likable')",0.3877247,0.3997361,0.0120114
3,-0.8165983,-0.7547236,"('repellent', 'pleasant')",-0.8165983,-0.7547236,0.0618747
4,-0.93774575,-0.8943396,"('disliked', 'liked')",-0.9377457,-0.8943396,0.0434061
5,0.009272274,-0.06617063,"('distant', 'outgoing')",0.0092723,-0.0661706,-0.0754429
6,-0.5554567,-0.65849,"('distant', 'open')",-0.5554567,-0.65849,-0.1030333
7,-0.7254734,-0.7580141,"('insensitive', 'sensitive')",-0.7254734,-0.7580141,-0.0325407
8,-0.26561767,-0.44302526,"('unaffectionate', 'affectionate')",-0.2656177,-0.4430253,-0.1774076
9,-0.61967385,-0.79066736,"('unaffectionate', 'caring')",-0.6196738,-0.7906674,-0.1709936
10,-1.2146449,-1.2551808,"('unsympathetic', 'sympathetic')",-1.2146449,-1.2551808,-0.0405359
11,-0.62507313,-0.691934,"('unhelpful', 'helpful')",-0.6250731,-0.691934,-0.0668609
12,-1.2714967,-1.2641914,"('unsupportive', 'supportive')",-1.2714967,-1.2641914,0.0073053
13,-0.90971476,-0.8944188,"('impolite', 'polite')",-0.9097148,-0.8944188,0.015296
14,-0.23316136,-0.21098466,"('antisocial', 'social')",-0.2331614,-0.2109847,0.0221767
15,0.88669986,0.8411938,"('boring', 'funny')",0.8866999,0.8411938,-0.0455061
16,0.018348789,-0.0071610585,"('unpopular', 'popular')",0.0183488,-0.0071611,-0.0255099
17,0.20887093,0.2544019,"('nasty', 'nice')",0.2088709,0.2544019,0.045531
18,-0.55484706,-0.58551776,"('disagreeable', 'welcoming')",-0.5548471,-0.5855178,-0.0306707
19,-0.5605821,-0.579649,"('inhospitable', 'hospitable')",-0.5605821,-0.579649,-0.0190669
20,-0.14310384,-0.15220012,"('rough', 'thoughtful')",-0.1431038,-0.1522001,-0.0090963
21,-0.55026835,-0.47456655,"('immoral', 'moral')",-0.5502684,-0.4745665,0.0757019
22,-0.22998804,-0.2909397,"('untrustworthy', 'trustworthy')",-0.229988,-0.2909397,-0.0609517
23,0.33313444,0.1737162,"('insincere', 'sincere')",0.3331344,0.1737162,-0.1594182
24,-0.043229297,-0.15458581,"('dishonest', 'honest')",-0.0432293,-0.1545858,-0.1113565
25,0.78808856,0.69767356,"('egoistic', 'altruistic')",0.7880886,0.6976736,-0.090415
26,0.22747694,0.08298248,"('hardhearted', 'benevolent')",0.2274769,0.0829825,-0.1444944
27,0.55047804,0.40740037,"('hardhearted', 'softhearted')",0.550478,0.4074004,-0.1430776
28,-0.565251,-0.72009695,"('disloyal', 'loyal')",-0.565251,-0.7200969,-0.1548459
29,-0.35343558,-0.42336854,"('unfair', 'fair')",-0.3534356,-0.4233685,-0.0699329
30,0.30512065,0.28953734,"('intolerant', 'tolerant')",0.3051206,0.2895373,-0.0155833
31,-0.61185896,-0.55804867,"('evil', 'good')",-0.611859,-0.5580487,0.0538103
32,-0.08926387,-0.2006397,"('unkind', 'kind')",-0.0892639,-0.2006397,-0.1113758
33,0.7085646,0.62930065,"('wrong', 'right')",0.7085646,0.6293007,-0.0792639
34,0.32937646,0.40665534,"('mean', 'honorable')",0.3293765,0.4066553,0.0772788
35,0.9870756,0.87419915,"('corrupt', 'incorrupt')",0.9870756,0.8741992,-0.1128764
