,backdrop_male,backdrop_female,tuple,average_male,average_female,female-male
0,-0.15084593,-0.18152459,"('unsociable', 'sociable')",-0.1508459,-0.1815246,-0.0306787
1,0.78167903,0.7271987,"('unfriendly', 'friendly')",0.781679,0.7271987,-0.0544803
2,-0.16927564,-0.09228876,"('unlikable', 'likable')",-0.1692756,-0.0922888,0.0769868
3,0.7969232,0.8408043,"('repellent', 'pleasant')",0.7969232,0.8408043,0.0438811
4,-7.1948767,-7.3711348,"('disliked', 'liked')",-7.1948767,-7.3711348,-0.1762581
5,-0.95018023,-0.9782002,"('distant', 'outgoing')",-0.9501802,-0.9782002,-0.02802
6,-0.4470693,-0.564741,"('distant', 'open')",-0.4470693,-0.564741,-0.1176717
7,0.8577867,0.9297894,"('insensitive', 'sensitive')",0.8577867,0.9297894,0.0720027
8,0.6426674,0.5462879,"('unaffectionate', 'affectionate')",0.6426674,0.5462879,-0.0963795
9,0.8681947,0.88884133,"('unaffectionate', 'caring')",0.8681947,0.8888413,0.0206466
10,1.0717599,1.0844455,"('unsympathetic', 'sympathetic')",1.0717599,1.0844455,0.0126856
11,1.185658,1.2030718,"('unhelpful', 'helpful')",1.185658,1.2030718,0.0174138
12,-2.038586,-2.0487487,"('unsupportive', 'supportive')",-2.0385859,-2.0487487,-0.0101628
13,-0.22305912,-0.17366198,"('impolite', 'polite')",-0.2230591,-0.173662,0.0493971
14,0.3756053,0.33721274,"('antisocial', 'social')",0.3756053,0.3372127,-0.0383926
15,0.014959091,-0.05551323,"('boring', 'funny')",0.0149591,-0.0555132,-0.0704723
16,-0.56439984,-0.5628395,"('unpopular', 'popular')",-0.5643998,-0.5628395,0.0015603
17,-0.28641218,-0.23271254,"('nasty', 'nice')",-0.2864122,-0.2327125,0.0536997
18,-0.36620784,-0.47622517,"('disagreeable', 'welcoming')",-0.3662078,-0.4762252,-0.1100174
19,-1.0849677,-1.1602488,"('inhospitable', 'hospitable')",-1.0849677,-1.1602488,-0.0752811
20,0.9227843,0.8934708,"('rough', 'thoughtful')",0.9227843,0.8934708,-0.0293135
21,-0.2639293,-0.14203918,"('immoral', 'moral')",-0.2639293,-0.1420392,0.1218901
22,-0.15018441,-0.15005584,"('untrustworthy', 'trustworthy')",-0.1501844,-0.1500558,0.0001286
23,5.8192673,5.89032,"('insincere', 'sincere')",5.8192673,5.8903198,0.0710525
24,1.4369967,1.3610458,"('dishonest', 'honest')",1.4369967,1.3610458,-0.0759509
25,0.66472226,0.5683003,"('egoistic', 'altruistic')",0.6647223,0.5683003,-0.096422
26,0.72408783,0.6264231,"('hardhearted', 'benevolent')",0.7240878,0.6264231,-0.0976647
27,1.4824594,1.2912458,"('hardhearted', 'softhearted')",1.4824594,1.2912458,-0.1912136
28,0.76900905,0.69157016,"('disloyal', 'loyal')",0.7690091,0.6915702,-0.0774389
29,-0.64366996,-0.7498185,"('unfair', 'fair')",-0.64367,-0.7498185,-0.1061485
30,0.99959,0.98954463,"('intolerant', 'tolerant')",0.99959,0.9895446,-0.0100454
31,-1.2997961,-1.3532248,"('evil', 'good')",-1.2997961,-1.3532248,-0.0534287
32,0.867837,0.80076075,"('unkind', 'kind')",0.867837,0.8007607,-0.0670763
33,-0.5985124,-0.63516104,"('wrong', 'right')",-0.5985124,-0.635161,-0.0366486
34,4.1602564,4.269592,"('mean', 'honorable')",4.1602564,4.2695918,0.1093354
35,-0.7739218,-1.0356412,"('corrupt', 'incorrupt')",-0.7739218,-1.0356412,-0.2617194
36,-0.7899795,-0.9322963,"('hostile', 'amicable')",-0.7899795,-0.9322963,-0.1423168
37,0.70102495,0.66345096,"('fake', 'genuine')",0.7010249,0.663451,-0.0375739
38,-0.5857679,-0.55139565,"('untruthful', 'truthful')",-0.5857679,-0.5513957,0.0343722
39,0.6798832,0.66741747,"('exploitative', 'cooperative')",0.6798832,0.6674175,-0.0124657
40,-1.1803763,-1.3785948,"('stingy', 'generous')",-1.1803763,-1.3785948,-0.1982185
41,-0.09431563,-0.15568684,"('unforgiving', 'forgiving')",-0.0943156,-0.1556868,-0.0613712
42,-1.950446,-2.0676217,"('unreliable', 'reliable')",-1.950446,-2.0676217,-0.1171757
43,0.75945514,0.8062538,"('irresponsible', 'responsible')",0.7594551,0.8062538,0.0467987
44,-0.5654786,-0.56264806,"('prejudiced', 'unprejudiced')",-0.5654786,-0.5626481,0.0028305
45,-0.10426909,-0.11858868,"('incompetent', 'competent')",-0.1042691,-0.1185887,-0.0143196
46,-0.42330348,-0.45489225,"('uncompetitive', 'competitive')",-0.4233035,-0.4548922,-0.0315887
47,4.811859,4.9991117,"('stupid', 'smart')",4.8118591,4.9991117,0.1872526
48,0.04896979,0.08089936,"('unintelligent', 'intelligent')",0.0489698,0.0808994,0.0319296
49,-0.39257717,-0.34168577,"('unable', 'able')",-0.3925772,-0.3416858,0.0508914
50,-0.58985084,-0.65638596,"('clumsy', 'skillful')",-0.5898508,-0.656386,-0.0665352
51,0.4158622,0.30305934,"('uneducated', 'educated')",0.4158622,0.3030593,-0.1128029
52,-0.6576101,-0.79690015,"('irrational', 'rational')",-0.6576101,-0.7969002,-0.1392901
53,-0.37774262,-0.43528923,"('uncreative', 'creative')",-0.3777426,-0.4352892,-0.0575466
54,0.67860365,0.7429501,"('incapable', 'capable')",0.6786036,0.7429501,0.0643465
55,0.76444376,0.8252293,"('incompetent', 'clever')",0.7644438,0.8252293,0.0607855
56,0.3745047,0.37315267,"('impractical', 'practical')",0.3745047,0.3731527,-0.001352
57,-2.492821,-2.5236032,"('unimaginative', 'imaginative')",-2.492821,-2.5236032,-0.0307822
58,0.0056274906,-0.025447804,"('undiscriminating', 'discriminating')",0.0056275,-0.0254478,-0.0310753
59,-0.39618784,-0.44062406,"('foolish', 'wise')",-0.3961878,-0.4406241,-0.0444363
60,0.35683495,0.549899,"('inefficient', 'efficient')",0.3568349,0.549899,0.1930641
61,0.04800034,-0.08042413,"('illogical', 'logical')",0.0480003,-0.0804241,-0.1284244
62,0.28900293,0.43139407,"('incompetent', 'brilliant')",0.2890029,0.4313941,0.1423912
63,-0.35277578,-0.28899452,"('unperceptive', 'insightful')",-0.3527758,-0.2889945,0.0637813
64,-5.8251414,-5.7973466,"('shy', 'confident')",-5.8251414,-5.7973466,0.0277948
65,0.47457612,0.5290272,"('insecure', 'secure')",0.4745761,0.5290272,0.0544511
66,-0.05154836,-0.1851565,"('inactive', 'active')",-0.0515484,-0.1851565,-0.1336081
67,-0.5650733,-0.47973645,"('doubtful', 'determined')",-0.5650733,-0.4797364,0.0853369
68,-0.76960945,-0.81387776,"('dependent', 'independent')",-0.7696095,-0.8138778,-0.0442683
69,-2.0934339,-2.150601,"('lazy', 'industrious')",-2.0934339,-2.1506009,-0.057167
70,1.5786574,1.5319134,"('lethargic', 'energetic')",1.5786574,1.5319134,-0.046744
71,0.5851407,0.5709033,"('diffident', 'self-confident')",0.5851407,0.5709033,-0.0142374
72,0.74229926,0.9065603,"('unambitious', 'ambitious')",0.7422993,0.9065603,0.164261
73,-2.8823416,-2.8753169,"('helpless', 'self-reliant')",-2.8823416,-2.8753169,0.0070247
74,0.10364321,-0.03386614,"('undedicated', 'dedicated')",0.1036432,-0.0338661,-0.1375093
75,-0.6217967,-0.56590617,"('meek', 'impulsive')",-0.6217967,-0.5659062,0.0558905
76,0.9101136,0.9415713,"('anxious', 'daring')",0.9101136,0.9415713,0.0314577
77,-1.51268,-1.2875036,"('unmotivated', 'motivated')",-1.5126801,-1.2875036,0.2251765
78,-0.80442613,-0.77736086,"('nonresilient', 'resilient')",-0.8044261,-0.7773609,0.0270652
79,-0.40902466,-0.45408466,"('wavering', 'unwavering')",-0.4090247,-0.4540847,-0.04506
80,-0.0806489,-0.08906791,"('dominated', 'dominating')",-0.0806489,-0.0890679,-0.008419
81,0.2636621,0.33991995,"('submissive', 'aggressive')",0.2636621,0.33992,0.0762579
82,5.8156524,5.9025064,"('poor', 'rich')",5.8156524,5.9025064,0.086854
83,-0.2052144,-0.1836429,"('powerless', 'powerful')",-0.2052144,-0.1836429,0.0215715
84,0.20101202,0.15918966,"('inferior', 'superior')",0.201012,0.1591897,-0.0418223
85,-0.82018745,-0.9692606,"('insignificant', 'prestigious')",-0.8201874,-0.9692606,-0.1490732
86,0.24246603,0.20152837,"('uninfluential', 'influential')",0.242466,0.2015284,-0.0409376
87,-0.8684924,-0.7794094,"('unsuccessful', 'successful')",-0.8684924,-0.7794094,0.089083
88,0.17121178,0.122924626,"('low', 'eminent')",0.1712118,0.1229246,-0.0482872
