,thief_male,thief_female,tuple,average_male,average_female,female-male
0,0.0018728878,-0.017275624,"('unsociable', 'sociable')",0.0018729,-0.0172756,-0.0191485
1,1.2299505,1.0947577,"('unfriendly', 'friendly')",1.2299505,1.0947577,-0.1351928
2,0.5170141,0.6647344,"('unlikable', 'likable')",0.5170141,0.6647344,0.1477203
3,1.0397319,1.1275172,"('repellent', 'pleasant')",1.0397319,1.1275172,0.0877853
4,-7.1155515,-7.0590744,"('disliked', 'liked')",-7.1155515,-7.0590744,0.0564771
5,-0.2259342,-0.15548559,"('distant', 'outgoing')",-0.2259342,-0.1554856,0.0704486
6,0.08341099,0.12443273,"('distant', 'open')",0.083411,0.1244327,0.0410217
7,0.72831213,0.8705118,"('insensitive', 'sensitive')",0.7283121,0.8705118,0.1421997
8,1.0679592,1.0002877,"('unaffectionate', 'affectionate')",1.0679592,1.0002877,-0.0676715
9,1.5695417,1.6416115,"('unaffectionate', 'caring')",1.5695417,1.6416115,0.0720698
10,1.3166027,1.5126773,"('unsympathetic', 'sympathetic')",1.3166027,1.5126773,0.1960746
11,1.9573064,2.0814955,"('unhelpful', 'helpful')",1.9573064,2.0814955,0.1241891
12,-1.5630549,-1.4991653,"('unsupportive', 'supportive')",-1.5630549,-1.4991653,0.0638896
13,0.2608225,0.2954401,"('impolite', 'polite')",0.2608225,0.2954401,0.0346176
14,-0.3429067,-0.3676924,"('antisocial', 'social')",-0.3429067,-0.3676924,-0.0247857
15,0.31977922,0.21877708,"('boring', 'funny')",0.3197792,0.2187771,-0.1010021
16,-0.28341952,-0.22354956,"('unpopular', 'popular')",-0.2834195,-0.2235496,0.0598699
17,-0.13855231,-0.12322609,"('nasty', 'nice')",-0.1385523,-0.1232261,0.0153262
18,-0.6915372,-0.7783082,"('disagreeable', 'welcoming')",-0.6915372,-0.7783082,-0.086771
19,-0.50365305,-0.37319338,"('inhospitable', 'hospitable')",-0.503653,-0.3731934,0.1304596
20,0.6214484,0.49686146,"('rough', 'thoughtful')",0.6214484,0.4968615,-0.1245869
21,0.14420152,0.34957135,"('immoral', 'moral')",0.1442015,0.3495713,0.2053698
22,-0.41521594,-0.34610558,"('untrustworthy', 'trustworthy')",-0.4152159,-0.3461056,0.0691103
23,6.2347727,6.22592,"('insincere', 'sincere')",6.2347727,6.2259202,-0.0088525
24,1.6624207,1.7445493,"('dishonest', 'honest')",1.6624207,1.7445493,0.0821286
25,0.1460574,-0.007932454,"('egoistic', 'altruistic')",0.1460574,-0.0079325,-0.1539899
26,0.15061992,0.012711592,"('hardhearted', 'benevolent')",0.1506199,0.0127116,-0.1379083
27,1.6704792,1.5085201,"('hardhearted', 'softhearted')",1.6704792,1.5085201,-0.1619591
28,1.2013531,1.2351192,"('disloyal', 'loyal')",1.2013531,1.2351192,0.0337661
29,-0.5987253,-0.7106713,"('unfair', 'fair')",-0.5987253,-0.7106713,-0.111946
30,0.83644617,0.9079058,"('intolerant', 'tolerant')",0.8364462,0.9079058,0.0714596
31,-1.6735419,-1.7128493,"('evil', 'good')",-1.6735419,-1.7128493,-0.0393074
32,1.4380473,1.4017787,"('unkind', 'kind')",1.4380473,1.4017787,-0.0362686
33,-0.43154544,-0.38429797,"('wrong', 'right')",-0.4315454,-0.384298,0.0472474
34,4.547543,4.7217407,"('mean', 'honorable')",4.547543,4.7217407,0.1741977
35,-1.343607,-1.4942769,"('corrupt', 'incorrupt')",-1.3436069,-1.4942769,-0.15067
36,-0.99884456,-1.1313558,"('hostile', 'amicable')",-0.9988446,-1.1313558,-0.1325112
37,0.8647636,0.8939174,"('fake', 'genuine')",0.8647636,0.8939174,0.0291538
38,-0.1371554,-0.0036926195,"('untruthful', 'truthful')",-0.1371554,-0.0036926,0.1334628
39,-0.24011762,-0.20143934,"('exploitative', 'cooperative')",-0.2401176,-0.2014393,0.0386783
40,-1.7235192,-1.8736193,"('stingy', 'generous')",-1.7235192,-1.8736193,-0.1501001
