,opinion_male,opinion_female,tuple,average_male,average_female,female-male
0,-0.19593738,-0.17733657,"('unsociable', 'sociable')",-0.1959374,-0.1773366,0.0186008
1,1.0702335,1.0101421,"('unfriendly', 'friendly')",1.0702335,1.0101421,-0.0600914
2,-0.2082253,-0.15768898,"('unlikable', 'likable')",-0.2082253,-0.157689,0.0505363
3,0.72681737,0.77822715,"('repellent', 'pleasant')",0.7268174,0.7782272,0.0514098
4,-7.109994,-7.251977,"('disliked', 'liked')",-7.1099939,-7.251977,-0.1419831
5,-0.59841955,-0.6461259,"('distant', 'outgoing')",-0.5984195,-0.6461259,-0.0477064
6,-0.12319638,-0.21777284,"('distant', 'open')",-0.1231964,-0.2177728,-0.0945764
7,0.8155142,0.94632006,"('insensitive', 'sensitive')",0.8155142,0.9463201,0.1308059
8,0.83107555,0.75443757,"('unaffectionate', 'affectionate')",0.8310755,0.7544376,-0.0766379
9,1.3252513,1.36999,"('unaffectionate', 'caring')",1.3252513,1.36999,0.0447387
10,1.3088335,1.4221622,"('unsympathetic', 'sympathetic')",1.3088335,1.4221622,0.1133287
11,1.7653975,1.8515728,"('unhelpful', 'helpful')",1.7653975,1.8515728,0.0861753
12,-1.6346219,-1.590291,"('unsupportive', 'supportive')",-1.6346219,-1.590291,0.0443309
13,-0.22974995,-0.1726734,"('impolite', 'polite')",-0.2297499,-0.1726734,0.0570765
14,0.20558819,0.22912453,"('antisocial', 'social')",0.2055882,0.2291245,0.0235363
15,-0.009212209,-0.11222936,"('boring', 'funny')",-0.0092122,-0.1122294,-0.1030172
16,-0.74195457,-0.7081487,"('unpopular', 'popular')",-0.7419546,-0.7081487,0.0338059
17,-0.5729841,-0.49802375,"('nasty', 'nice')",-0.5729841,-0.4980237,0.0749604
18,-0.45158184,-0.50545615,"('disagreeable', 'welcoming')",-0.4515818,-0.5054561,-0.0538743
19,-0.7535826,-0.79904914,"('inhospitable', 'hospitable')",-0.7535826,-0.7990491,-0.0454665
20,1.147531,1.1286675,"('rough', 'thoughtful')",1.147531,1.1286675,-0.0188635
21,-0.027258746,0.09097935,"('immoral', 'moral')",-0.0272587,0.0909794,0.1182381
22,-0.5509321,-0.54732764,"('untrustworthy', 'trustworthy')",-0.5509321,-0.5473276,0.0036045
23,6.4174237,6.5116625,"('insincere', 'sincere')",6.4174237,6.5116625,0.0942388
24,1.7848183,1.7022847,"('dishonest', 'honest')",1.7848183,1.7022847,-0.0825336
25,0.5409595,0.4578603,"('egoistic', 'altruistic')",0.5409595,0.4578603,-0.0830992
26,0.71574104,0.69616866,"('hardhearted', 'benevolent')",0.715741,0.6961687,-0.0195723
27,1.6718178,1.5702317,"('hardhearted', 'softhearted')",1.6718178,1.5702317,-0.1015861
28,1.2322961,1.2263404,"('disloyal', 'loyal')",1.2322961,1.2263404,-0.0059557
29,-0.89381456,-1.0204794,"('unfair', 'fair')",-0.8938146,-1.0204794,-0.1266648
30,1.056902,1.0858783,"('intolerant', 'tolerant')",1.0569021,1.0858783,0.0289762
31,-1.6919222,-1.7349868,"('evil', 'good')",-1.6919222,-1.7349868,-0.0430646
32,1.1160024,1.11298,"('unkind', 'kind')",1.1160024,1.11298,-0.0030224
33,-0.69877774,-0.75534505,"('wrong', 'right')",-0.6987777,-0.755345,-0.0565673
34,4.6902833,4.861567,"('mean', 'honorable')",4.6902833,4.861567,0.1712837
35,-0.93175423,-1.1886959,"('corrupt', 'incorrupt')",-0.9317542,-1.1886959,-0.2569417
36,-0.9903286,-1.0915937,"('hostile', 'amicable')",-0.9903286,-1.0915937,-0.1012651
37,0.9103769,0.9145018,"('fake', 'genuine')",0.9103769,0.9145018,0.0041249
38,-0.34214944,-0.30652428,"('untruthful', 'truthful')",-0.3421494,-0.3065243,0.0356251
39,0.43309617,0.4068836,"('exploitative', 'cooperative')",0.4330962,0.4068836,-0.0262126
40,-1.4440775,-1.5727185,"('stingy', 'generous')",-1.4440775,-1.5727185,-0.128641
41,-0.23776263,-0.19153512,"('unforgiving', 'forgiving')",-0.2377626,-0.1915351,0.0462275
42,-2.141868,-2.212496,"('unreliable', 'reliable')",-2.1418681,-2.212496,-0.0706279
43,0.9520617,1.0094087,"('irresponsible', 'responsible')",0.9520617,1.0094087,0.057347
44,-1.0238528,-1.0336608,"('prejudiced', 'unprejudiced')",-1.0238528,-1.0336608,-0.009808
45,-0.11532904,-0.07519154,"('incompetent', 'competent')",-0.115329,-0.0751915,0.0401375
46,-0.6108049,-0.58831316,"('uncompetitive', 'competitive')",-0.6108049,-0.5883132,0.0224917
47,5.0801554,5.2694087,"('stupid', 'smart')",5.0801554,5.2694087,0.1892533
48,0.6077578,0.60336137,"('unintelligent', 'intelligent')",0.6077578,0.6033614,-0.0043964
49,0.5034389,0.5376292,"('unable', 'able')",0.5034389,0.5376292,0.0341903
50,-0.4218374,-0.46209073,"('clumsy', 'skillful')",-0.4218374,-0.4620907,-0.0402533
51,0.90378773,0.8614086,"('uneducated', 'educated')",0.9037877,0.8614086,-0.0423791
52,-0.872721,-0.9967602,"('irrational', 'rational')",-0.872721,-0.9967602,-0.1240392
53,-0.10760518,-0.17791279,"('uncreative', 'creative')",-0.1076052,-0.1779128,-0.0703076
54,1.1847751,1.2236415,"('incapable', 'capable')",1.1847751,1.2236415,0.0388664
55,0.96684563,1.0358737,"('incompetent', 'clever')",0.9668456,1.0358737,0.0690281
56,0.7669438,0.7900667,"('impractical', 'practical')",0.7669438,0.7900667,0.0231229
57,-2.552013,-2.5003197,"('unimaginative', 'imaginative')",-2.5520129,-2.5003197,0.0516932
58,0.23892523,0.21693279,"('undiscriminating', 'discriminating')",0.2389252,0.2169328,-0.0219924
59,-0.28631562,-0.34870368,"('foolish', 'wise')",-0.2863156,-0.3487037,-0.0623881
60,0.7033305,0.8623356,"('inefficient', 'efficient')",0.7033305,0.8623356,0.1590051
61,0.1900854,0.06403438,"('illogical', 'logical')",0.1900854,0.0640344,-0.126051
62,0.5347846,0.66487956,"('incompetent', 'brilliant')",0.5347846,0.6648796,0.130095
63,0.1933324,0.2501306,"('unperceptive', 'insightful')",0.1933324,0.2501306,0.0567982
64,-6.197037,-6.21283,"('shy', 'confident')",-6.1970372,-6.2128301,-0.0157929
65,0.2175389,0.27688086,"('insecure', 'secure')",0.2175389,0.2768809,0.059342
