,tattler_male,tattler_female,tuple,average_male,average_female,female-male
0,-0.060117863,-0.19542225,"('unsociable', 'sociable')",-0.0601179,-0.1954222,-0.1353043
1,-0.54160565,-0.60830534,"('unfriendly', 'friendly')",-0.5416057,-0.6083053,-0.0666996
2,-0.2624349,-0.2907877,"('unlikable', 'likable')",-0.2624349,-0.2907877,-0.0283528
3,-0.87418,-0.835434,"('repellent', 'pleasant')",-0.87418,-0.835434,0.038746
4,-2.228677,-2.2654355,"('disliked', 'liked')",-2.228677,-2.2654355,-0.0367585
5,-0.49430302,-0.44835114,"('distant', 'outgoing')",-0.494303,-0.4483511,0.0459519
6,-0.7302309,-0.7040272,"('distant', 'open')",-0.7302309,-0.7040272,0.0262037
7,-0.09506361,-0.12648308,"('insensitive', 'sensitive')",-0.0950636,-0.1264831,-0.0314195
8,-0.51769024,-0.5115882,"('unaffectionate', 'affectionate')",-0.5176902,-0.5115882,0.006102
9,-0.5735562,-0.57582575,"('unaffectionate', 'caring')",-0.5735562,-0.5758258,-0.0022696
10,-0.4622385,-0.5595618,"('unsympathetic', 'sympathetic')",-0.4622385,-0.5595618,-0.0973233
11,0.50205255,0.5339123,"('unhelpful', 'helpful')",0.5020525,0.5339123,0.0318598
12,-0.9827099,-0.96931535,"('unsupportive', 'supportive')",-0.9827099,-0.9693154,0.0133945
13,-0.14709581,-0.24139681,"('impolite', 'polite')",-0.1470958,-0.2413968,-0.094301
14,0.35777092,0.1877789,"('antisocial', 'social')",0.3577709,0.1877789,-0.169992
15,0.48050898,0.4128291,"('boring', 'funny')",0.480509,0.4128291,-0.0676799
16,-0.782122,-0.7300357,"('unpopular', 'popular')",-0.782122,-0.7300357,0.0520863
17,-0.39333615,-0.3353838,"('nasty', 'nice')",-0.3933361,-0.3353838,0.0579523
18,-1.427934,-1.3791361,"('disagreeable', 'welcoming')",-1.4279341,-1.3791361,0.048798
19,-0.9244162,-0.81596905,"('inhospitable', 'hospitable')",-0.9244162,-0.815969,0.1084472
20,0.10760538,0.05190115,"('rough', 'thoughtful')",0.1076054,0.0519012,-0.0557042
21,-0.4514539,-0.42850944,"('immoral', 'moral')",-0.4514539,-0.4285094,0.0229445
22,-0.12772861,-0.28182274,"('untrustworthy', 'trustworthy')",-0.1277286,-0.2818227,-0.1540941
23,1.4740063,1.412859,"('insincere', 'sincere')",1.4740063,1.412859,-0.0611473
24,-0.27067244,-0.37832013,"('dishonest', 'honest')",-0.2706724,-0.3783201,-0.1076477
25,-0.38384402,-0.36078173,"('egoistic', 'altruistic')",-0.383844,-0.3607817,0.0230623
26,0.32551977,0.19155775,"('hardhearted', 'benevolent')",0.3255198,0.1915578,-0.133962
27,0.73916525,0.62239426,"('hardhearted', 'softhearted')",0.7391652,0.6223943,-0.1167709
