,synopsys_male,synopsys_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.073858745,0.01100604,"('unsociable', 'sociable')",-0.5305433,-0.6329766,-0.2283423,-0.3109853,-0.082643
1,-0.37468356,-0.8149008,"('unfriendly', 'friendly')",1.9987208,1.8345524,0.8120186,0.5098258,-0.3021928
2,0.1172667,0.0869266,"('unlikable', 'likable')",0.6549933,0.77077746,0.38613,0.428852,0.042722
3,-0.1642849,-0.093838446,"('repellent', 'pleasant')",0.0064569637,0.051455222,-0.078914,-0.0211916,0.0577224
4,-0.30637434,-0.42291906,"('disliked', 'liked')",-6.0150733,-6.199864,-3.1607239,-3.3113916,-0.1506677
5,-0.4732334,-0.6666088,"('distant', 'outgoing')",0.13668388,0.09164299,-0.1682748,-0.2874829,-0.1192081
6,-0.29203296,-0.5728758,"('distant', 'open')",0.84850144,0.78094125,0.2782342,0.1040327,-0.1742015
7,-0.38596362,-0.3543636,"('insensitive', 'sensitive')",0.17188649,0.24723472,-0.1070386,-0.0535644,0.0534742
8,-0.58463913,-0.83151793,"('unaffectionate', 'affectionate')",1.1175764,1.0104852,0.2664686,0.0894836,-0.176985
9,-0.7850666,-1.0578614,"('unaffectionate', 'caring')",1.3721477,1.309382,0.2935405,0.1257603,-0.1677802
10,-1.2348127,-1.2157809,"('unsympathetic', 'sympathetic')",-0.84234893,-0.7888861,-1.0385809,-1.0023334,0.0362475
11,0.035128113,0.059817664,"('unhelpful', 'helpful')",1.0256476,1.1393286,0.5303879,0.5995731,0.0691852
12,-0.3810103,-0.40746933,"('unsupportive', 'supportive')",-1.9798093,-1.9565587,-1.1804098,-1.182014,-0.0016042
13,-0.69587433,-0.60845387,"('impolite', 'polite')",-0.93326116,-0.87262875,-0.8145677,-0.7405413,0.0740264
14,0.5866689,0.6977598,"('antisocial', 'social')",-0.99104816,-1.0397766,-0.2021896,-0.1710084,0.0311812
15,0.35324478,0.29355237,"('boring', 'funny')",0.6154829,0.5034935,0.4843639,0.3985229,-0.085841
16,-0.7383251,-0.8347441,"('unpopular', 'popular')",0.7463479,0.7490506,0.0040114,-0.0428467,-0.0468581
17,-0.13469157,-0.124692865,"('nasty', 'nice')",-0.5075114,-0.48881003,-0.3211015,-0.3067515,0.01435
18,0.10500282,0.022899136,"('disagreeable', 'welcoming')",-0.3599288,-0.4043057,-0.127463,-0.1907033,-0.0632403
19,-1.5971105,-1.6881679,"('inhospitable', 'hospitable')",-0.021618329,0.068998255,-0.8093644,-0.8095849,-0.0002205
20,0.7680448,0.70641094,"('rough', 'thoughtful')",1.4137995,1.3618364,1.0909221,1.0341237,-0.0567984
21,0.54581517,0.56928,"('immoral', 'moral')",-1.0857819,-1.0044355,-0.2699834,-0.2175778,0.0524056
22,0.71020246,0.5973721,"('untrustworthy', 'trustworthy')",-0.9570259,-1.0649366,-0.1234117,-0.2337823,-0.1103706
23,-0.19917108,-0.30747283,"('insincere', 'sincere')",5.148007,5.1314063,2.4744179,2.4119668,-0.0624511
24,-0.99717194,-1.0532228,"('dishonest', 'honest')",0.74758655,0.6785777,-0.1247927,-0.1873225,-0.0625298
25,0.13599204,0.014579574,"('egoistic', 'altruistic')",1.813508,1.6987883,0.97475,0.8566839,-0.1180661
26,0.2923077,0.008723635,"('hardhearted', 'benevolent')",2.0317972,1.8875896,1.1620524,0.9481566,-0.2138958
27,0.14780053,0.14255236,"('hardhearted', 'softhearted')",1.5541643,1.470517,0.8509824,0.8065347,-0.0444477
28,-0.8366998,-1.0308219,"('disloyal', 'loyal')",0.72091615,0.6370445,-0.0578918,-0.1968887,-0.1389969
29,0.48103717,0.40698048,"('unfair', 'fair')",-0.16753723,-0.33880168,0.15675,0.0340894,-0.1226606
30,0.39795232,0.40494248,"('intolerant', 'tolerant')",0.8453858,0.8458925,0.6216691,0.6254175,0.0037484
31,-0.49827942,-0.6959344,"('evil', 'good')",-0.3427615,-0.5119683,-0.4205205,-0.6039513,-0.1834308
32,-0.20990838,-0.19711858,"('unkind', 'kind')",0.6205844,0.5180514,0.205338,0.1604664,-0.0448716
33,-0.0030301856,-0.17011857,"('wrong', 'right')",-0.16930944,-0.29190856,-0.0861698,-0.2310136,-0.1448438
34,-0.27536404,-0.18358637,"('mean', 'honorable')",5.7788444,6.008183,2.7517402,2.9122982,0.160558
35,-0.21672031,-0.38944882,"('corrupt', 'incorrupt')",0.35677108,0.16127332,0.0700254,-0.1140878,-0.1841132
