,sepal_male,sepal_female,tuple,average_male,average_female,female-male
0,-0.1795597,-0.52230924,"('unsociable', 'sociable')",-0.1795597,-0.5223092,-0.3427495
1,-0.3957082,-0.55391914,"('unfriendly', 'friendly')",-0.3957082,-0.5539191,-0.1582109
2,0.02598936,-0.019086951,"('unlikable', 'likable')",0.0259894,-0.019087,-0.0450764
3,-0.06529053,-0.043993883,"('repellent', 'pleasant')",-0.0652905,-0.0439939,0.0212966
4,-3.4224892,-3.3088703,"('disliked', 'liked')",-3.4224892,-3.3088703,0.1136189
5,-1.5535856,-1.3796186,"('distant', 'outgoing')",-1.5535856,-1.3796186,0.173967
6,-1.7866488,-1.6035429,"('distant', 'open')",-1.7866488,-1.6035429,0.1831059
7,0.46662012,0.31470853,"('insensitive', 'sensitive')",0.4666201,0.3147085,-0.1519116
8,-0.2760892,-0.22015513,"('unaffectionate', 'affectionate')",-0.2760892,-0.2201551,0.0559341
9,-0.46202826,-0.5425853,"('unaffectionate', 'caring')",-0.4620283,-0.5425853,-0.080557
10,0.007207265,-0.12877895,"('unsympathetic', 'sympathetic')",0.0072073,-0.1287789,-0.1359862
11,1.3639048,1.1028392,"('unhelpful', 'helpful')",1.3639048,1.1028392,-0.2610656
12,-1.2001287,-1.1847851,"('unsupportive', 'supportive')",-1.2001287,-1.1847851,0.0153436
13,-0.18903309,-0.39287487,"('impolite', 'polite')",-0.1890331,-0.3928749,-0.2038418
14,0.104238346,-0.121025465,"('antisocial', 'social')",0.1042383,-0.1210255,-0.2252638
15,0.23237546,0.13156797,"('boring', 'funny')",0.2323755,0.131568,-0.1008075
16,0.0039435476,-0.04402828,"('unpopular', 'popular')",0.0039435,-0.0440283,-0.0479718
17,-0.42027384,-0.42945814,"('nasty', 'nice')",-0.4202738,-0.4294581,-0.0091843
18,-0.47289094,-0.46916404,"('disagreeable', 'welcoming')",-0.4728909,-0.469164,0.0037269
19,-1.3619969,-1.2429307,"('inhospitable', 'hospitable')",-1.3619969,-1.2429307,0.1190662
20,0.39923623,0.31584343,"('rough', 'thoughtful')",0.3992362,0.3158434,-0.0833928
21,0.35120595,0.18987568,"('immoral', 'moral')",0.3512059,0.1898757,-0.1613302
22,-0.07823324,-0.27679634,"('untrustworthy', 'trustworthy')",-0.0782332,-0.2767963,-0.1985631
23,2.9587986,2.6835654,"('insincere', 'sincere')",2.9587986,2.6835654,-0.2752332
24,0.13893388,-0.07295457,"('dishonest', 'honest')",0.1389339,-0.0729546,-0.2118885
25,-0.1006107,-0.2032161,"('egoistic', 'altruistic')",-0.1006107,-0.2032161,-0.1026054
26,0.18314941,-0.07053861,"('hardhearted', 'benevolent')",0.1831494,-0.0705386,-0.253688
27,-0.18947959,-0.18248376,"('hardhearted', 'softhearted')",-0.1894796,-0.1824838,0.0069958
28,0.82063085,0.60149574,"('disloyal', 'loyal')",0.8206308,0.6014957,-0.2191351
29,-0.9342303,-1.089857,"('unfair', 'fair')",-0.9342303,-1.089857,-0.1556267
30,0.70857036,0.46553782,"('intolerant', 'tolerant')",0.7085704,0.4655378,-0.2430326
31,-2.0693982,-1.9366316,"('evil', 'good')",-2.0693982,-1.9366316,0.1327666
32,1.3960418,1.0928714,"('unkind', 'kind')",1.3960418,1.0928714,-0.3031704
33,-0.19403636,-0.295993,"('wrong', 'right')",-0.1940364,-0.295993,-0.1019566
34,2.209202,2.2403188,"('mean', 'honorable')",2.2092021,2.2403188,0.0311167
35,-0.9126643,-0.86699766,"('corrupt', 'incorrupt')",-0.9126643,-0.8669977,0.0456666
36,-1.2267647,-1.216686,"('hostile', 'amicable')",-1.2267647,-1.216686,0.0100787
37,-0.05926038,-0.096851364,"('fake', 'genuine')",-0.0592604,-0.0968514,-0.037591
38,0.032470033,-0.12329714,"('untruthful', 'truthful')",0.03247,-0.1232971,-0.1557671
39,0.9779967,0.92985886,"('exploitative', 'cooperative')",0.9779967,0.9298589,-0.0481378
40,-1.3465604,-1.4648143,"('stingy', 'generous')",-1.3465604,-1.4648143,-0.1182539
41,0.80228305,0.71935534,"('unforgiving', 'forgiving')",0.802283,0.7193553,-0.0829277
42,-0.69020164,-0.7083009,"('unreliable', 'reliable')",-0.6902016,-0.7083009,-0.0180993
43,0.049584553,-0.03693653,"('irresponsible', 'responsible')",0.0495846,-0.0369365,-0.0865211
44,-1.0126158,-0.8900979,"('prejudiced', 'unprejudiced')",-1.0126158,-0.8900979,0.1225179
45,0.009933468,-0.12821822,"('incompetent', 'competent')",0.0099335,-0.1282182,-0.1381517
46,0.046479166,-0.0591363,"('uncompetitive', 'competitive')",0.0464792,-0.0591363,-0.1056155
47,2.1434517,2.0386505,"('stupid', 'smart')",2.1434517,2.0386505,-0.1048012
48,0.11754322,0.04985778,"('unintelligent', 'intelligent')",0.1175432,0.0498578,-0.0676854
49,-0.20169333,0.026151989,"('unable', 'able')",-0.2016933,0.026152,0.2278453
50,0.6893455,0.6673181,"('clumsy', 'skillful')",0.6893455,0.6673181,-0.0220274
51,0.3081705,0.06715097,"('uneducated', 'educated')",0.3081705,0.067151,-0.2410195
52,-0.7867538,-0.9276953,"('irrational', 'rational')",-0.7867538,-0.9276953,-0.1409415
53,-1.2780998,-1.3328478,"('uncreative', 'creative')",-1.2780998,-1.3328478,-0.054748
54,-0.016686799,-0.010434616,"('incapable', 'capable')",-0.0166868,-0.0104346,0.0062522
55,0.5838812,0.4649114,"('incompetent', 'clever')",0.5838812,0.4649114,-0.1189698
56,1.1413587,0.8915319,"('impractical', 'practical')",1.1413587,0.8915319,-0.2498268
57,-1.6854931,-1.7590011,"('unimaginative', 'imaginative')",-1.6854931,-1.7590011,-0.073508
58,0.14641383,0.06348986,"('undiscriminating', 'discriminating')",0.1464138,0.0634899,-0.0829239
59,-0.12951218,-0.11051645,"('foolish', 'wise')",-0.1295122,-0.1105165,0.0189957
60,0.99854493,0.89024335,"('inefficient', 'efficient')",0.9985449,0.8902434,-0.1083015
61,0.040385492,-0.19165553,"('illogical', 'logical')",0.0403855,-0.1916555,-0.232041
62,0.4826258,0.44619077,"('incompetent', 'brilliant')",0.4826258,0.4461908,-0.036435
63,0.4048951,0.31275582,"('unperceptive', 'insightful')",0.4048951,0.3127558,-0.0921393
64,-3.3353593,-3.3626199,"('shy', 'confident')",-3.3353593,-3.3626199,-0.0272606
65,0.43779835,0.23661256,"('insecure', 'secure')",0.4377984,0.2366126,-0.2011858
66,-1.4465712,-1.4882909,"('inactive', 'active')",-1.4465712,-1.4882909,-0.0417197
67,0.291516,0.18393353,"('doubtful', 'determined')",0.291516,0.1839335,-0.1075825
68,-0.6001727,-0.6142546,"('dependent', 'independent')",-0.6001727,-0.6142546,-0.0140819
69,-0.7494796,-0.6435105,"('lazy', 'industrious')",-0.7494796,-0.6435105,0.1059691
70,0.3790065,0.2422687,"('lethargic', 'energetic')",0.3790065,0.2422687,-0.1367378
71,0.10154456,0.0057542324,"('diffident', 'self-confident')",0.1015446,0.0057542,-0.0957904
72,0.09768382,0.105765946,"('unambitious', 'ambitious')",0.0976838,0.1057659,0.0080821
73,-1.4469087,-1.3934753,"('helpless', 'self-reliant')",-1.4469087,-1.3934753,0.0534334
74,0.050016724,-0.07782916,"('undedicated', 'dedicated')",0.0500167,-0.0778292,-0.1278459
75,-0.9143022,-0.7467834,"('meek', 'impulsive')",-0.9143022,-0.7467834,0.1675188
76,0.37580144,0.3959707,"('anxious', 'daring')",0.3758014,0.3959707,0.0201693
