,furnace_male,furnace_female,tuple,average_male,average_female,female-male
0,0.4162454,0.068459086,"('unsociable', 'sociable')",0.4162454,0.0684591,-0.3477863
1,1.5945042,1.5251169,"('unfriendly', 'friendly')",1.5945042,1.5251169,-0.0693873
2,0.5816551,0.66403115,"('unlikable', 'likable')",0.5816551,0.6640311,0.082376
3,-0.35211468,-0.105822824,"('repellent', 'pleasant')",-0.3521147,-0.1058228,0.2462919
4,-6.982845,-7.366511,"('disliked', 'liked')",-6.9828448,-7.3665109,-0.3836661
5,-0.40764487,-0.2884741,"('distant', 'outgoing')",-0.4076449,-0.2884741,0.1191708
6,-0.15284157,0.038795624,"('distant', 'open')",-0.1528416,0.0387956,0.1916372
7,0.5492467,0.6073208,"('insensitive', 'sensitive')",0.5492467,0.6073208,0.0580741
8,1.1502432,1.1050342,"('unaffectionate', 'affectionate')",1.1502432,1.1050342,-0.045209
9,1.5070832,1.607367,"('unaffectionate', 'caring')",1.5070832,1.607367,0.1002838
10,-0.045452684,0.082205914,"('unsympathetic', 'sympathetic')",-0.0454527,0.0822059,0.1276586
11,1.6757042,1.7619462,"('unhelpful', 'helpful')",1.6757042,1.7619462,0.086242
12,-1.6098076,-1.7254046,"('unsupportive', 'supportive')",-1.6098076,-1.7254046,-0.115597
13,-0.16424821,-0.15562992,"('impolite', 'polite')",-0.1642482,-0.1556299,0.0086183
14,0.10423507,-0.10411146,"('antisocial', 'social')",0.1042351,-0.1041115,-0.2083466
15,0.60843784,0.48795664,"('boring', 'funny')",0.6084378,0.4879566,-0.1204812
16,0.56488687,0.32374182,"('unpopular', 'popular')",0.5648869,0.3237418,-0.2411451
17,-0.2870842,-0.249325,"('nasty', 'nice')",-0.2870842,-0.249325,0.0377592
18,-0.563254,-0.61911035,"('disagreeable', 'welcoming')",-0.563254,-0.6191103,-0.0558563
19,-0.7921008,-0.60166425,"('inhospitable', 'hospitable')",-0.7921008,-0.6016642,0.1904366
20,0.24416788,0.26961848,"('rough', 'thoughtful')",0.2441679,0.2696185,0.0254506
21,-0.4796387,-0.3777809,"('immoral', 'moral')",-0.4796387,-0.3777809,0.1018578
22,-1.061353,-1.0209363,"('untrustworthy', 'trustworthy')",-1.061353,-1.0209363,0.0404167
23,6.334215,6.6135516,"('insincere', 'sincere')",6.3342152,6.6135516,0.2793364
24,1.2883327,1.4529512,"('dishonest', 'honest')",1.2883327,1.4529512,0.1646185
25,1.1846938,1.0878499,"('egoistic', 'altruistic')",1.1846938,1.0878499,-0.0968439
26,1.6816663,1.3226006,"('hardhearted', 'benevolent')",1.6816663,1.3226006,-0.3590657
27,0.61940205,0.7983563,"('hardhearted', 'softhearted')",0.6194021,0.7983563,0.1789542
28,1.0022357,0.98012006,"('disloyal', 'loyal')",1.0022357,0.9801201,-0.0221156
29,-0.91562486,-0.94856596,"('unfair', 'fair')",-0.9156249,-0.948566,-0.0329411
30,1.3029265,1.220616,"('intolerant', 'tolerant')",1.3029265,1.220616,-0.0823105
31,-1.0013852,-1.0896604,"('evil', 'good')",-1.0013852,-1.0896604,-0.0882752
32,1.1245359,1.0934402,"('unkind', 'kind')",1.1245359,1.0934402,-0.0310957
33,0.26792386,0.13063845,"('wrong', 'right')",0.2679239,0.1306385,-0.1372854
34,4.80477,5.0717854,"('mean', 'honorable')",4.80477,5.0717854,0.2670154
35,-0.7135876,-0.8784369,"('corrupt', 'incorrupt')",-0.7135876,-0.8784369,-0.1648493
36,-0.8898039,-1.0028872,"('hostile', 'amicable')",-0.8898039,-1.0028872,-0.1130833
37,0.22457063,0.36371934,"('fake', 'genuine')",0.2245706,0.3637193,0.1391487
38,0.31097758,0.28023672,"('untruthful', 'truthful')",0.3109776,0.2802367,-0.0307409
39,0.020058163,0.16621476,"('exploitative', 'cooperative')",0.0200582,0.1662148,0.1461566
40,-2.0355787,-2.255417,"('stingy', 'generous')",-2.0355787,-2.2554171,-0.2198384
41,-0.1478505,-0.29511148,"('unforgiving', 'forgiving')",-0.1478505,-0.2951115,-0.147261
42,-3.09185,-2.9682097,"('unreliable', 'reliable')",-3.09185,-2.9682097,0.1236403
43,1.052344,1.1768416,"('irresponsible', 'responsible')",1.052344,1.1768416,0.1244976
44,-1.9071385,-1.7229456,"('prejudiced', 'unprejudiced')",-1.9071385,-1.7229456,0.1841929
45,0.12600917,0.083762825,"('incompetent', 'competent')",0.1260092,0.0837628,-0.0422464
46,-0.8145758,-0.93093425,"('uncompetitive', 'competitive')",-0.8145758,-0.9309343,-0.1163585
47,5.4062943,5.7407436,"('stupid', 'smart')",5.4062943,5.7407436,0.3344493
48,0.62683856,0.4868547,"('unintelligent', 'intelligent')",0.6268386,0.4868547,-0.1399839
49,-0.49892443,-0.26490253,"('unable', 'able')",-0.4989244,-0.2649025,0.2340219
50,-0.53299725,-0.47090036,"('clumsy', 'skillful')",-0.5329973,-0.4709004,0.0620969
51,-0.10370653,-0.18901467,"('uneducated', 'educated')",-0.1037065,-0.1890147,-0.0853082
52,0.037082214,-0.101927295,"('irrational', 'rational')",0.0370822,-0.1019273,-0.1390095
