,drake_male,drake_female,tuple,average_male,average_female,female-male
0,-0.23235619,-0.28118488,"('unsociable', 'sociable')",-0.2323562,-0.2811849,-0.0488287
1,1.1247499,1.0255874,"('unfriendly', 'friendly')",1.1247499,1.0255874,-0.0991625
2,0.31929803,0.4461677,"('unlikable', 'likable')",0.319298,0.4461677,0.1268697
3,0.75172204,0.78723395,"('repellent', 'pleasant')",0.751722,0.7872339,0.0355119
4,-7.1885843,-7.338173,"('disliked', 'liked')",-7.1885843,-7.3381729,-0.1495886
5,-0.34505495,-0.3323419,"('distant', 'outgoing')",-0.345055,-0.3323419,0.0127131
6,0.2163434,0.15790041,"('distant', 'open')",0.2163434,0.1579004,-0.058443
7,0.6943855,0.71909,"('insensitive', 'sensitive')",0.6943855,0.71909,0.0247045
8,1.0236065,0.92211807,"('unaffectionate', 'affectionate')",1.0236065,0.9221181,-0.1014884
9,1.3313272,1.3796314,"('unaffectionate', 'caring')",1.3313272,1.3796314,0.0483042
10,0.7137234,0.7842297,"('unsympathetic', 'sympathetic')",0.7137234,0.7842297,0.0705063
11,1.3359963,1.4152758,"('unhelpful', 'helpful')",1.3359963,1.4152758,0.0792795
12,-1.7882813,-1.8010583,"('unsupportive', 'supportive')",-1.7882813,-1.8010583,-0.012777
13,-0.15623438,-0.08257873,"('impolite', 'polite')",-0.1562344,-0.0825787,0.0736557
14,-0.27310917,-0.37130755,"('antisocial', 'social')",-0.2731092,-0.3713076,-0.0981984
15,0.08347709,0.031882107,"('boring', 'funny')",0.0834771,0.0318821,-0.051595
16,-0.3557293,-0.3589046,"('unpopular', 'popular')",-0.3557293,-0.3589046,-0.0031753
17,-0.08040446,-0.081189625,"('nasty', 'nice')",-0.0804045,-0.0811896,-0.0007851
18,-0.2761707,-0.34886837,"('disagreeable', 'welcoming')",-0.2761707,-0.3488684,-0.0726977
19,-0.7768707,-0.7489936,"('inhospitable', 'hospitable')",-0.7768707,-0.7489936,0.0278771
20,0.96152276,0.8528881,"('rough', 'thoughtful')",0.9615228,0.8528881,-0.1086347
21,-0.3481759,-0.17274559,"('immoral', 'moral')",-0.3481759,-0.1727456,0.1754303
22,-0.306239,-0.31341845,"('untrustworthy', 'trustworthy')",-0.306239,-0.3134184,-0.0071794
23,5.6347566,5.7520823,"('insincere', 'sincere')",5.6347566,5.7520823,0.1173257
24,1.280833,1.2794253,"('dishonest', 'honest')",1.280833,1.2794253,-0.0014077
25,0.6720649,0.60258126,"('egoistic', 'altruistic')",0.6720649,0.6025813,-0.0694836
26,0.6406159,0.45156935,"('hardhearted', 'benevolent')",0.6406159,0.4515693,-0.1890466
27,1.6236501,1.4126295,"('hardhearted', 'softhearted')",1.6236501,1.4126295,-0.2110206
28,0.9621066,0.9501809,"('disloyal', 'loyal')",0.9621066,0.9501809,-0.0119257
29,-0.44696137,-0.5587628,"('unfair', 'fair')",-0.4469614,-0.5587628,-0.1118014
30,0.5587887,0.5870936,"('intolerant', 'tolerant')",0.5587887,0.5870936,0.0283049
31,-1.0988319,-1.2039573,"('evil', 'good')",-1.0988319,-1.2039573,-0.1051254
32,0.8920882,0.8552265,"('unkind', 'kind')",0.8920882,0.8552265,-0.0368617
33,-0.15995218,-0.16759107,"('wrong', 'right')",-0.1599522,-0.1675911,-0.0076389
34,4.225726,4.4284115,"('mean', 'honorable')",4.2257261,4.4284115,0.2026854
35,-0.7246289,-0.95849454,"('corrupt', 'incorrupt')",-0.7246289,-0.9584945,-0.2338656
36,-0.35131347,-0.47657266,"('hostile', 'amicable')",-0.3513135,-0.4765727,-0.1252592
37,0.71534395,0.7235726,"('fake', 'genuine')",0.715344,0.7235726,0.0082286
38,-0.4539305,-0.33667096,"('untruthful', 'truthful')",-0.4539305,-0.336671,0.1172595
39,-0.020635776,0.038815618,"('exploitative', 'cooperative')",-0.0206358,0.0388156,0.0594514
40,-1.2931716,-1.5558307,"('stingy', 'generous')",-1.2931716,-1.5558307,-0.2626591
41,0.22961347,0.19769534,"('unforgiving', 'forgiving')",0.2296135,0.1976953,-0.0319182
42,-1.857071,-1.9030483,"('unreliable', 'reliable')",-1.857071,-1.9030483,-0.0459773
43,0.824512,0.9098304,"('irresponsible', 'responsible')",0.824512,0.9098304,0.0853184
44,-0.7316884,-0.75394773,"('prejudiced', 'unprejudiced')",-0.7316884,-0.7539477,-0.0222593
45,-0.035135724,-0.1093144,"('incompetent', 'competent')",-0.0351357,-0.1093144,-0.0741787
46,-0.6194404,-0.6009003,"('uncompetitive', 'competitive')",-0.6194404,-0.6009003,0.0185401
