,taro_male,taro_female,tuple,average_male,average_female,female-male
0,-0.07258291,-0.3148112,"('unsociable', 'sociable')",-0.0725829,-0.3148112,-0.2422283
1,0.335877,0.38395765,"('unfriendly', 'friendly')",0.335877,0.3839577,0.0480807
2,0.9032315,0.9143667,"('unlikable', 'likable')",0.9032315,0.9143667,0.0111352
3,0.1610419,0.13356665,"('repellent', 'pleasant')",0.1610419,0.1335666,-0.0274753
4,-1.7802253,-1.7179385,"('disliked', 'liked')",-1.7802253,-1.7179385,0.0622868
5,-0.5441295,-0.37353233,"('distant', 'outgoing')",-0.5441295,-0.3735323,0.1705972
6,-0.48287973,-0.27383813,"('distant', 'open')",-0.4828797,-0.2738381,0.2090416
7,0.2615587,0.14012447,"('insensitive', 'sensitive')",0.2615587,0.1401245,-0.1214342
8,0.52264374,0.5658488,"('unaffectionate', 'affectionate')",0.5226437,0.5658488,0.0432051
9,0.298758,0.3041917,"('unaffectionate', 'caring')",0.298758,0.3041917,0.0054337
10,0.25768024,0.20017935,"('unsympathetic', 'sympathetic')",0.2576802,0.2001794,-0.0575008
11,0.75456244,0.76239467,"('unhelpful', 'helpful')",0.7545624,0.7623947,0.0078323
12,-0.6638614,-0.6977333,"('unsupportive', 'supportive')",-0.6638614,-0.6977333,-0.0338719
13,0.054748736,-0.057458214,"('impolite', 'polite')",0.0547487,-0.0574582,-0.1122069
14,-0.087904595,-0.40686092,"('antisocial', 'social')",-0.0879046,-0.4068609,-0.3189563
15,0.8514573,0.83577627,"('boring', 'funny')",0.8514573,0.8357763,-0.015681
16,0.21867086,0.2580567,"('unpopular', 'popular')",0.2186709,0.2580567,0.0393858
17,-0.4681451,-0.37107038,"('nasty', 'nice')",-0.4681451,-0.3710704,0.0970747
18,-0.5831282,-0.73147255,"('disagreeable', 'welcoming')",-0.5831282,-0.7314726,-0.1483444
19,-0.6365285,-0.3964541,"('inhospitable', 'hospitable')",-0.6365285,-0.3964541,0.2400744
20,0.08243848,-0.04272354,"('rough', 'thoughtful')",0.0824385,-0.0427235,-0.125162
21,0.8774911,0.7576178,"('immoral', 'moral')",0.8774911,0.7576178,-0.1198733
22,0.10005787,-0.012714319,"('untrustworthy', 'trustworthy')",0.1000579,-0.0127143,-0.1127722
23,1.726653,1.6757066,"('insincere', 'sincere')",1.726653,1.6757066,-0.0509464
24,0.2509965,0.15451853,"('dishonest', 'honest')",0.2509965,0.1545185,-0.096478
25,0.2255173,0.14327633,"('egoistic', 'altruistic')",0.2255173,0.1432763,-0.082241
26,0.6363123,0.52638775,"('hardhearted', 'benevolent')",0.6363123,0.5263878,-0.1099245
27,0.14245123,0.07985317,"('hardhearted', 'softhearted')",0.1424512,0.0798532,-0.062598
28,0.6059262,0.5539124,"('disloyal', 'loyal')",0.6059262,0.5539124,-0.0520138
29,-0.88980174,-0.8458325,"('unfair', 'fair')",-0.8898017,-0.8458325,0.0439692
30,0.2018608,0.070940346,"('intolerant', 'tolerant')",0.2018608,0.0709403,-0.1309205
31,-1.4956176,-1.2783892,"('evil', 'good')",-1.4956176,-1.2783892,0.2172284
32,0.5948731,0.4392228,"('unkind', 'kind')",0.5948731,0.4392228,-0.1556503
33,-0.28892896,-0.24548206,"('wrong', 'right')",-0.288929,-0.2454821,0.0434469
34,1.5923456,1.7623934,"('mean', 'honorable')",1.5923456,1.7623934,0.1700478
35,-0.4089064,-0.32573244,"('corrupt', 'incorrupt')",-0.4089064,-0.3257324,0.083174
36,-0.28977063,-0.13672446,"('hostile', 'amicable')",-0.2897706,-0.1367245,0.1530461
37,0.16908574,0.17590332,"('fake', 'genuine')",0.1690857,0.1759033,0.0068176
38,0.01936287,0.15506855,"('untruthful', 'truthful')",0.0193629,0.1550685,0.1357056
39,-0.08497527,-0.20069848,"('exploitative', 'cooperative')",-0.0849753,-0.2006985,-0.1157232
40,-1.2542791,-1.2945863,"('stingy', 'generous')",-1.2542791,-1.2945863,-0.0403072
41,0.64142966,0.61251485,"('unforgiving', 'forgiving')",0.6414297,0.6125149,-0.0289148
42,-0.94671196,-0.9255364,"('unreliable', 'reliable')",-0.946712,-0.9255364,0.0211756
43,-0.32712293,-0.34375754,"('irresponsible', 'responsible')",-0.3271229,-0.3437575,-0.0166346
44,-1.2010382,-1.2597666,"('prejudiced', 'unprejudiced')",-1.2010382,-1.2597666,-0.0587284
45,0.16320913,0.20223482,"('incompetent', 'competent')",0.1632091,0.2022348,0.0390257
46,0.5687303,0.42785662,"('uncompetitive', 'competitive')",0.5687303,0.4278566,-0.1408737
47,1.339873,1.3788135,"('stupid', 'smart')",1.339873,1.3788135,0.0389405
48,0.43405294,0.2609061,"('unintelligent', 'intelligent')",0.4340529,0.2609061,-0.1731468
49,-0.3068672,-0.22371641,"('unable', 'able')",-0.3068672,-0.2237164,0.0831508
50,0.33809635,0.43145582,"('clumsy', 'skillful')",0.3380964,0.4314558,0.0933594
51,-0.023191642,-0.051978365,"('uneducated', 'educated')",-0.0231916,-0.0519784,-0.0287868
52,-0.19628875,-0.13956524,"('irrational', 'rational')",-0.1962887,-0.1395652,0.0567235
53,-0.3759773,-0.35841918,"('uncreative', 'creative')",-0.3759773,-0.3584192,0.0175581
54,0.071116626,0.1874982,"('incapable', 'capable')",0.0711166,0.1874982,0.1163816
55,0.5329041,0.313064,"('incompetent', 'clever')",0.5329041,0.313064,-0.2198401
56,0.34736285,0.33127826,"('impractical', 'practical')",0.3473628,0.3312783,-0.0160845
57,-1.2646255,-1.2782235,"('unimaginative', 'imaginative')",-1.2646255,-1.2782235,-0.013598
58,0.25655025,0.28179258,"('undiscriminating', 'discriminating')",0.2565503,0.2817926,0.0252423
