,anybody_male,anybody_female,tuple,average_male,average_female,female-male
0,-0.0036578178,-0.0966309,"('unsociable', 'sociable')",-0.0036578,-0.0966309,-0.0929731
1,1.0078458,0.90405935,"('unfriendly', 'friendly')",1.0078458,0.9040594,-0.1037864
2,0.08933358,0.2637094,"('unlikable', 'likable')",0.0893336,0.2637094,0.1743758
3,0.72363615,0.7556279,"('repellent', 'pleasant')",0.7236362,0.7556279,0.0319917
4,-7.052609,-7.196995,"('disliked', 'liked')",-7.052609,-7.1969948,-0.1443858
5,-0.38955858,-0.3309463,"('distant', 'outgoing')",-0.3895586,-0.3309463,0.0586123
6,0.07922904,0.06381902,"('distant', 'open')",0.079229,0.063819,-0.01541
7,0.7677966,0.7242669,"('insensitive', 'sensitive')",0.7677966,0.7242669,-0.0435297
8,1.0159386,0.8888464,"('unaffectionate', 'affectionate')",1.0159386,0.8888464,-0.1270922
9,1.4046911,1.3903986,"('unaffectionate', 'caring')",1.4046911,1.3903986,-0.0142925
10,0.8763364,0.8374745,"('unsympathetic', 'sympathetic')",0.8763364,0.8374745,-0.0388619
11,1.777305,1.7653656,"('unhelpful', 'helpful')",1.777305,1.7653656,-0.0119394
12,-1.8360848,-1.8409232,"('unsupportive', 'supportive')",-1.8360848,-1.8409232,-0.0048384
13,-0.0068286806,-0.008198053,"('impolite', 'polite')",-0.0068287,-0.0081981,-0.0013694
14,0.07093664,-0.01732655,"('antisocial', 'social')",0.0709366,-0.0173266,-0.0882632
15,0.24803062,0.13086392,"('boring', 'funny')",0.2480306,0.1308639,-0.1171667
16,-0.23120187,-0.23038045,"('unpopular', 'popular')",-0.2312019,-0.2303804,0.0008215
17,-0.08769773,-0.037876297,"('nasty', 'nice')",-0.0876977,-0.0378763,0.0498214
18,-0.57296634,-0.5457234,"('disagreeable', 'welcoming')",-0.5729663,-0.5457234,0.0272429
19,-0.8941633,-0.8651576,"('inhospitable', 'hospitable')",-0.8941633,-0.8651576,0.0290057
20,0.8720336,0.793584,"('rough', 'thoughtful')",0.8720336,0.793584,-0.0784496
21,-0.22821869,-0.12771259,"('immoral', 'moral')",-0.2282187,-0.1277126,0.1005061
22,-0.13142301,-0.1651997,"('untrustworthy', 'trustworthy')",-0.131423,-0.1651997,-0.0337767
23,5.922601,5.923974,"('insincere', 'sincere')",5.9226012,5.923974,0.0013728
24,1.4143124,1.348036,"('dishonest', 'honest')",1.4143124,1.3480361,-0.0662763
25,0.3833204,0.3447122,"('egoistic', 'altruistic')",0.3833204,0.3447122,-0.0386082
26,1.0106155,0.8353442,"('hardhearted', 'benevolent')",1.0106155,0.8353442,-0.1752713
27,1.5273147,1.3632241,"('hardhearted', 'softhearted')",1.5273147,1.3632241,-0.1640906
28,1.027967,0.9390785,"('disloyal', 'loyal')",1.027967,0.9390785,-0.0888885
29,-0.42317635,-0.53091025,"('unfair', 'fair')",-0.4231763,-0.5309103,-0.107734
30,0.71013004,0.7224586,"('intolerant', 'tolerant')",0.71013,0.7224586,0.0123286
31,-1.3466759,-1.3734462,"('evil', 'good')",-1.3466759,-1.3734462,-0.0267703
32,1.1905394,1.0740005,"('unkind', 'kind')",1.1905394,1.0740005,-0.1165389
33,-0.43357655,-0.36436224,"('wrong', 'right')",-0.4335766,-0.3643622,0.0692144
