,bank_male,bank_female,tuple,average_male,average_female,female-male
0,0.34026974,0.25887898,"('unsociable', 'sociable')",0.3402697,0.258879,-0.0813907
1,2.5230384,2.4025064,"('unfriendly', 'friendly')",2.5230384,2.4025064,-0.120532
2,1.0324773,1.1090968,"('unlikable', 'likable')",1.0324773,1.1090968,0.0766195
3,0.105732866,0.26593593,"('repellent', 'pleasant')",0.1057329,0.2659359,0.160203
4,-6.869439,-7.002369,"('disliked', 'liked')",-6.8694391,-7.0023689,-0.1329298
5,0.007695622,-0.018200288,"('distant', 'outgoing')",0.0076956,-0.0182003,-0.0258959
6,0.6520455,0.57717574,"('distant', 'open')",0.6520455,0.5771757,-0.0748698
7,0.99435353,1.0976747,"('insensitive', 'sensitive')",0.9943535,1.0976747,0.1033212
8,1.8991984,1.6307988,"('unaffectionate', 'affectionate')",1.8991984,1.6307988,-0.2683996
9,2.4053082,2.2834492,"('unaffectionate', 'caring')",2.4053082,2.2834492,-0.121859
10,0.060850564,0.15290728,"('unsympathetic', 'sympathetic')",0.0608506,0.1529073,0.0920567
11,1.8313866,2.0318,"('unhelpful', 'helpful')",1.8313866,2.0318,0.2004134
12,-1.191567,-1.2045147,"('unsupportive', 'supportive')",-1.1915669,-1.2045147,-0.0129478
13,-0.26616478,-0.13352452,"('impolite', 'polite')",-0.2661648,-0.1335245,0.1326403
14,0.144827,0.19869234,"('antisocial', 'social')",0.144827,0.1986923,0.0538653
15,0.38822284,0.31497017,"('boring', 'funny')",0.3882228,0.3149702,-0.0732526
16,0.5534101,0.49063188,"('unpopular', 'popular')",0.5534101,0.4906319,-0.0627782
17,-0.13240123,-0.09921198,"('nasty', 'nice')",-0.1324012,-0.099212,0.0331892
18,-0.58766866,-0.61483896,"('disagreeable', 'welcoming')",-0.5876687,-0.614839,-0.0271703
19,0.2205903,0.23056012,"('inhospitable', 'hospitable')",0.2205903,0.2305601,0.0099698
20,0.60684615,0.6495768,"('rough', 'thoughtful')",0.6068462,0.6495768,0.0427306
21,-0.40229118,-0.15800896,"('immoral', 'moral')",-0.4022912,-0.158009,0.2442822
22,-0.7117612,-0.6671631,"('untrustworthy', 'trustworthy')",-0.7117612,-0.6671631,0.0445981
23,6.7539077,6.9736023,"('insincere', 'sincere')",6.7539077,6.9736023,0.2196946
24,1.449198,1.4323366,"('dishonest', 'honest')",1.449198,1.4323366,-0.0168614
25,1.1604402,1.0377674,"('egoistic', 'altruistic')",1.1604402,1.0377674,-0.1226728
26,2.1033509,2.0295315,"('hardhearted', 'benevolent')",2.1033509,2.0295315,-0.0738194
27,1.4285477,1.2038316,"('hardhearted', 'softhearted')",1.4285477,1.2038316,-0.2247161
28,1.3720474,1.3707824,"('disloyal', 'loyal')",1.3720474,1.3707824,-0.001265
29,-0.23162085,-0.39995047,"('unfair', 'fair')",-0.2316208,-0.3999505,-0.1683297
30,0.75759256,0.94804317,"('intolerant', 'tolerant')",0.7575926,0.9480432,0.1904506
31,-0.7472078,-0.8976725,"('evil', 'good')",-0.7472078,-0.8976725,-0.1504647
32,1.5229721,1.4749547,"('unkind', 'kind')",1.5229721,1.4749547,-0.0480174
33,0.44708169,0.33632714,"('wrong', 'right')",0.4470817,0.3363271,-0.1107546
34,5.861798,6.183656,"('mean', 'honorable')",5.8617978,6.1836562,0.3218584
35,-0.35814,-0.679232,"('corrupt', 'incorrupt')",-0.35814,-0.679232,-0.321092
36,0.50184715,0.21953756,"('hostile', 'amicable')",0.5018471,0.2195376,-0.2823095
37,0.14549226,0.15574645,"('fake', 'genuine')",0.1454923,0.1557464,0.0102541
38,0.80783725,0.9297273,"('untruthful', 'truthful')",0.8078372,0.9297273,0.1218901
39,0.3150963,0.4073512,"('exploitative', 'cooperative')",0.3150963,0.4073512,0.0922549
40,-1.654373,-1.8065258,"('stingy', 'generous')",-1.654373,-1.8065258,-0.1521528
41,0.72852635,0.71411127,"('unforgiving', 'forgiving')",0.7285264,0.7141113,-0.0144151
42,-2.9484272,-2.881212,"('unreliable', 'reliable')",-2.9484272,-2.881212,0.0672152
43,1.335184,1.4655433,"('irresponsible', 'responsible')",1.335184,1.4655433,0.1303593
