,housing_male,housing_female,tuple,average_male,average_female,female-male
0,-0.065492205,-0.11943936,"('unsociable', 'sociable')",-0.0654922,-0.1194394,-0.0539472
1,2.0634255,1.9158031,"('unfriendly', 'friendly')",2.0634255,1.9158031,-0.1476224
2,0.3442131,0.4646312,"('unlikable', 'likable')",0.3442131,0.4646312,0.1204181
3,0.1950289,0.29642785,"('repellent', 'pleasant')",0.1950289,0.2964278,0.1013989
4,-6.658727,-6.742353,"('disliked', 'liked')",-6.6587272,-6.742353,-0.0836258
5,0.5716267,0.5423543,"('distant', 'outgoing')",0.5716267,0.5423543,-0.0292724
6,1.0827821,1.0050312,"('distant', 'open')",1.0827821,1.0050312,-0.0777509
7,0.6227601,0.64463294,"('insensitive', 'sensitive')",0.6227601,0.6446329,0.0218728
8,2.0495334,1.8218706,"('unaffectionate', 'affectionate')",2.0495334,1.8218706,-0.2276628
9,2.4754999,2.344818,"('unaffectionate', 'caring')",2.4754999,2.3448181,-0.1306818
10,-0.18091938,-0.08239459,"('unsympathetic', 'sympathetic')",-0.1809194,-0.0823946,0.0985248
11,1.5102725,1.5909104,"('unhelpful', 'helpful')",1.5102725,1.5909104,0.0806379
12,-1.2251003,-1.2168831,"('unsupportive', 'supportive')",-1.2251003,-1.2168831,0.0082172
13,-0.76696074,-0.6775376,"('impolite', 'polite')",-0.7669607,-0.6775376,0.0894231
14,-0.30134118,-0.1987427,"('antisocial', 'social')",-0.3013412,-0.1987427,0.1025985
15,0.20248954,0.15773007,"('boring', 'funny')",0.2024895,0.1577301,-0.0447594
16,0.63106126,0.57879716,"('unpopular', 'popular')",0.6310613,0.5787972,-0.0522641
17,0.44418025,0.4734138,"('nasty', 'nice')",0.4441803,0.4734138,0.0292335
18,-0.15330142,-0.19785315,"('disagreeable', 'welcoming')",-0.1533014,-0.1978531,-0.0445517
19,0.0732552,0.030743733,"('inhospitable', 'hospitable')",0.0732552,0.0307437,-0.0425115
20,0.55422056,0.47761664,"('rough', 'thoughtful')",0.5542206,0.4776166,-0.076604
21,-1.1628077,-0.91900784,"('immoral', 'moral')",-1.1628077,-0.9190078,0.2437999
22,-1.3389776,-1.2546647,"('untrustworthy', 'trustworthy')",-1.3389776,-1.2546647,0.0843129
23,6.1339436,6.163753,"('insincere', 'sincere')",6.1339436,6.163753,0.0298094
24,1.1559107,1.06292,"('dishonest', 'honest')",1.1559107,1.06292,-0.0929907
25,1.2732131,1.149088,"('egoistic', 'altruistic')",1.2732131,1.149088,-0.1241251
26,1.7745504,1.6523144,"('hardhearted', 'benevolent')",1.7745504,1.6523144,-0.122236
27,1.7762043,1.5422924,"('hardhearted', 'softhearted')",1.7762043,1.5422924,-0.2339119
28,1.2251529,1.149326,"('disloyal', 'loyal')",1.2251529,1.149326,-0.0758269
29,-0.17441386,-0.34461766,"('unfair', 'fair')",-0.1744139,-0.3446177,-0.1702038
30,0.531901,0.6481823,"('intolerant', 'tolerant')",0.531901,0.6481823,0.1162813
31,0.016008375,-0.054248404,"('evil', 'good')",0.0160084,-0.0542484,-0.0702568
32,1.223606,1.1090865,"('unkind', 'kind')",1.223606,1.1090865,-0.1145195
33,0.41920987,0.2983488,"('wrong', 'right')",0.4192099,0.2983488,-0.1208611
34,4.978811,5.121526,"('mean', 'honorable')",4.9788108,5.1215258,0.142715
35,-0.021051995,-0.29841414,"('corrupt', 'incorrupt')",-0.021052,-0.2984141,-0.2773621
36,0.6385474,0.42416787,"('hostile', 'amicable')",0.6385474,0.4241679,-0.2143795
37,0.83434194,0.7793119,"('fake', 'genuine')",0.8343419,0.7793119,-0.05503
38,0.24172199,0.22476012,"('untruthful', 'truthful')",0.241722,0.2247601,-0.0169619
39,0.009627465,0.03148529,"('exploitative', 'cooperative')",0.0096275,0.0314853,0.0218578
40,-1.6022236,-1.7111429,"('stingy', 'generous')",-1.6022236,-1.7111429,-0.1089193
