,tracksuit_male,tracksuit_female,tuple,average_male,average_female,female-male
0,0.43555513,0.32865724,"('unsociable', 'sociable')",0.4355551,0.3286572,-0.1068979
1,0.9033464,0.80068827,"('unfriendly', 'friendly')",0.9033464,0.8006883,-0.1026581
2,0.032321066,0.11606665,"('unlikable', 'likable')",0.0323211,0.1160666,0.0837455
3,0.4294992,0.4839545,"('repellent', 'pleasant')",0.4294992,0.4839545,0.0544553
4,-4.0704856,-4.1477556,"('disliked', 'liked')",-4.0704856,-4.1477556,-0.07727
5,-0.82092535,-0.7826695,"('distant', 'outgoing')",-0.8209254,-0.7826695,0.0382559
6,-0.5162486,-0.51875985,"('distant', 'open')",-0.5162486,-0.5187598,-0.0025112
7,0.927649,1.0196153,"('insensitive', 'sensitive')",0.927649,1.0196153,0.0919663
8,0.343571,0.3285822,"('unaffectionate', 'affectionate')",0.343571,0.3285822,-0.0149888
9,1.0718431,1.1086785,"('unaffectionate', 'caring')",1.0718431,1.1086785,0.0368354
10,0.3826844,0.42804018,"('unsympathetic', 'sympathetic')",0.3826844,0.4280402,0.0453558
11,1.051156,1.1500744,"('unhelpful', 'helpful')",1.051156,1.1500744,0.0989184
12,-0.85191387,-0.748356,"('unsupportive', 'supportive')",-0.8519139,-0.748356,0.1035579
13,0.06108819,0.013032138,"('impolite', 'polite')",0.0610882,0.0130321,-0.0480561
14,0.5439517,0.5261937,"('antisocial', 'social')",0.5439517,0.5261937,-0.017758
15,0.3094302,0.29234943,"('boring', 'funny')",0.3094302,0.2923494,-0.0170808
16,-0.6060926,-0.6002736,"('unpopular', 'popular')",-0.6060926,-0.6002736,0.005819
17,-0.2945853,-0.21196482,"('nasty', 'nice')",-0.2945853,-0.2119648,0.0826205
18,-0.4567876,-0.41925937,"('disagreeable', 'welcoming')",-0.4567876,-0.4192594,0.0375282
19,-1.5861251,-1.5638009,"('inhospitable', 'hospitable')",-1.5861251,-1.5638009,0.0223242
20,0.0062524676,-0.0039606895,"('rough', 'thoughtful')",0.0062525,-0.0039607,-0.0102132
21,0.448912,0.46710974,"('immoral', 'moral')",0.448912,0.4671097,0.0181977
22,0.022533499,0.07479046,"('untrustworthy', 'trustworthy')",0.0225335,0.0747905,0.052257
