,redirect_male,redirect_female,tuple,average_male,average_female,female-male
0,-1.1199939,-1.2346181,"('unsociable', 'sociable')",-1.1199939,-1.2346181,-0.1146242
1,-0.8763975,-1.1456966,"('unfriendly', 'friendly')",-0.8763975,-1.1456966,-0.2692991
2,-0.1900851,-0.2525297,"('unlikable', 'likable')",-0.1900851,-0.2525297,-0.0624446
3,-0.30707806,-0.1537753,"('repellent', 'pleasant')",-0.3070781,-0.1537753,0.1533028
4,-2.325891,-2.4171078,"('disliked', 'liked')",-2.325891,-2.4171078,-0.0912168
5,-0.3409307,-0.5226695,"('distant', 'outgoing')",-0.3409307,-0.5226695,-0.1817388
6,-0.7169112,-0.9151829,"('distant', 'open')",-0.7169112,-0.9151829,-0.1982717
7,-0.09967005,-0.007269427,"('insensitive', 'sensitive')",-0.0996701,-0.0072694,0.0924007
8,-2.0444477,-2.159896,"('unaffectionate', 'affectionate')",-2.0444477,-2.1598959,-0.1154482
9,-1.760906,-1.839907,"('unaffectionate', 'caring')",-1.760906,-1.8399071,-0.0790011
10,-0.6009864,-0.5723916,"('unsympathetic', 'sympathetic')",-0.6009864,-0.5723916,0.0285948
11,1.2693106,1.2580974,"('unhelpful', 'helpful')",1.2693106,1.2580974,-0.0112132
12,-1.34254,-1.2987968,"('unsupportive', 'supportive')",-1.34254,-1.2987968,0.0437432
13,-0.98014724,-1.017333,"('impolite', 'polite')",-0.9801472,-1.017333,-0.0371858
14,-0.16099742,-0.19756882,"('antisocial', 'social')",-0.1609974,-0.1975688,-0.0365714
15,-0.101920165,-0.21540335,"('boring', 'funny')",-0.1019202,-0.2154033,-0.1134831
16,-1.1061535,-1.0949967,"('unpopular', 'popular')",-1.1061535,-1.0949967,0.0111568
17,-0.6440273,-0.6274606,"('nasty', 'nice')",-0.6440273,-0.6274606,0.0165667
18,-0.7366425,-0.7486488,"('disagreeable', 'welcoming')",-0.7366425,-0.7486488,-0.0120063
19,-1.3934222,-1.4268144,"('inhospitable', 'hospitable')",-1.3934222,-1.4268144,-0.0333922
20,0.9300593,0.96817905,"('rough', 'thoughtful')",0.9300593,0.968179,0.0381197
21,-0.069597036,0.015722182,"('immoral', 'moral')",-0.069597,0.0157222,0.0853192
22,0.11546105,-0.04560651,"('untrustworthy', 'trustworthy')",0.1154611,-0.0456065,-0.1610676
23,1.2575159,1.2649815,"('insincere', 'sincere')",1.2575159,1.2649815,0.0074656
24,-0.46757877,-0.5849701,"('dishonest', 'honest')",-0.4675788,-0.5849701,-0.1173913
25,0.08210154,-0.017367143,"('egoistic', 'altruistic')",0.0821015,-0.0173671,-0.0994686
26,0.049761795,-0.24338305,"('hardhearted', 'benevolent')",0.0497618,-0.243383,-0.2931448
27,-0.23788095,-0.33755335,"('hardhearted', 'softhearted')",-0.2378809,-0.3375534,-0.0996725
28,-0.06539542,-0.08790607,"('disloyal', 'loyal')",-0.0653954,-0.0879061,-0.0225107
29,0.076867744,0.003922075,"('unfair', 'fair')",0.0768677,0.0039221,-0.0729456
30,-0.11010228,-0.14830491,"('intolerant', 'tolerant')",-0.1101023,-0.1483049,-0.0382026
31,-1.632764,-1.7309384,"('evil', 'good')",-1.632764,-1.7309384,-0.0981744
32,-0.41019616,-0.44060874,"('unkind', 'kind')",-0.4101962,-0.4406087,-0.0304125
33,0.24809726,0.107226476,"('wrong', 'right')",0.2480973,0.1072265,-0.1408708
34,1.555606,1.658452,"('mean', 'honorable')",1.555606,1.658452,0.102846
35,0.4830343,0.38802487,"('corrupt', 'incorrupt')",0.4830343,0.3880249,-0.0950094
36,-1.0946858,-1.2723283,"('hostile', 'amicable')",-1.0946858,-1.2723283,-0.1776425
37,-0.3364064,-0.23507664,"('fake', 'genuine')",-0.3364064,-0.2350766,0.1013298
38,-0.19711463,-0.28667095,"('untruthful', 'truthful')",-0.1971146,-0.286671,-0.0895564
39,0.6667294,0.7401615,"('exploitative', 'cooperative')",0.6667294,0.7401615,0.0734321
40,-1.4737911,-1.4963698,"('stingy', 'generous')",-1.4737911,-1.4963698,-0.0225787
41,-0.13670835,-0.21292964,"('unforgiving', 'forgiving')",-0.1367083,-0.2129296,-0.0762213
42,-0.29948822,-0.28637648,"('unreliable', 'reliable')",-0.2994882,-0.2863765,0.0131117
43,-0.5999577,-0.61752987,"('irresponsible', 'responsible')",-0.5999577,-0.6175299,-0.0175722
44,-0.31499255,-0.24721077,"('prejudiced', 'unprejudiced')",-0.3149925,-0.2472108,0.0677817
45,-1.2123821,-1.2382652,"('incompetent', 'competent')",-1.2123821,-1.2382652,-0.0258831
46,-0.31257346,-0.3186701,"('uncompetitive', 'competitive')",-0.3125735,-0.3186701,-0.0060966
47,1.1808934,1.1497009,"('stupid', 'smart')",1.1808934,1.1497009,-0.0311925
48,-1.0284581,-0.8654775,"('unintelligent', 'intelligent')",-1.0284581,-0.8654775,0.1629806
49,-0.49275035,-0.265042,"('unable', 'able')",-0.4927503,-0.265042,0.2277083
50,-0.33190683,-0.24384694,"('clumsy', 'skillful')",-0.3319068,-0.2438469,0.0880599
51,-0.54166335,-0.5614367,"('uneducated', 'educated')",-0.5416633,-0.5614367,-0.0197734
52,-1.0894452,-1.1869241,"('irrational', 'rational')",-1.0894452,-1.1869241,-0.0974789
53,-0.58047915,-0.7507639,"('uncreative', 'creative')",-0.5804791,-0.7507639,-0.1702848
54,-0.99251163,-1.0181057,"('incapable', 'capable')",-0.9925116,-1.0181057,-0.0255941
55,-0.71702397,-0.6855872,"('incompetent', 'clever')",-0.717024,-0.6855872,0.0314368
56,1.1015161,1.1608164,"('impractical', 'practical')",1.1015161,1.1608164,0.0593003
57,-0.7652749,-0.8378562,"('unimaginative', 'imaginative')",-0.7652749,-0.8378562,-0.0725813
58,0.24138159,0.07175386,"('undiscriminating', 'discriminating')",0.2413816,0.0717539,-0.1696277
59,-0.19365272,-0.20769672,"('foolish', 'wise')",-0.1936527,-0.2076967,-0.014044
60,0.5926203,0.6478193,"('inefficient', 'efficient')",0.5926203,0.6478193,0.055199
61,0.20446616,-0.0096899085,"('illogical', 'logical')",0.2044662,-0.0096899,-0.2141561
62,-0.08930008,0.0013735481,"('incompetent', 'brilliant')",-0.0893001,0.0013735,0.0906736
63,0.20778185,0.20578271,"('unperceptive', 'insightful')",0.2077819,0.2057827,-0.0019992
64,-1.8736758,-1.8372526,"('shy', 'confident')",-1.8736758,-1.8372526,0.0364232
65,-0.30426475,-0.2724822,"('insecure', 'secure')",-0.3042648,-0.2724822,0.0317826
66,-0.53474367,-0.6124515,"('inactive', 'active')",-0.5347437,-0.6124515,-0.0777078
