,custard_male,custard_female,tuple,average_male,average_female,female-male
0,-0.8327431,-0.89187485,"('unsociable', 'sociable')",-0.8327431,-0.8918748,-0.0591317
1,-0.699506,-0.71217,"('unfriendly', 'friendly')",-0.699506,-0.71217,-0.012664
2,-0.15575257,-0.12479401,"('unlikable', 'likable')",-0.1557526,-0.124794,0.0309586
3,-1.5073507,-1.3180169,"('repellent', 'pleasant')",-1.5073507,-1.3180169,0.1893338
4,-1.3584365,-1.305505,"('disliked', 'liked')",-1.3584365,-1.305505,0.0529315
5,-0.05774018,0.033386134,"('distant', 'outgoing')",-0.0577402,0.0333861,0.0911263
6,-0.08939877,-0.031331435,"('distant', 'open')",-0.0893988,-0.0313314,0.0580674
7,-1.0169545,-0.93111414,"('insensitive', 'sensitive')",-1.0169545,-0.9311141,0.0858404
8,-0.39861166,-0.39893663,"('unaffectionate', 'affectionate')",-0.3986117,-0.3989366,-0.0003249
9,-0.43311018,-0.446467,"('unaffectionate', 'caring')",-0.4331102,-0.446467,-0.0133568
10,-1.2226006,-1.1640306,"('unsympathetic', 'sympathetic')",-1.2226006,-1.1640306,0.05857
11,-0.09031943,0.0046853684,"('unhelpful', 'helpful')",-0.0903194,0.0046854,0.0950048
12,-1.8146373,-1.6666963,"('unsupportive', 'supportive')",-1.8146373,-1.6666963,0.147941
13,-0.5430572,-0.60428417,"('impolite', 'polite')",-0.5430572,-0.6042842,-0.061227
14,-0.8547663,-0.8583483,"('antisocial', 'social')",-0.8547663,-0.8583483,-0.003582
15,1.0928966,0.9651662,"('boring', 'funny')",1.0928966,0.9651662,-0.1277304
16,-0.09735925,-0.01350625,"('unpopular', 'popular')",-0.0973592,-0.0135063,0.0838529
17,-0.037239276,0.06505458,"('nasty', 'nice')",-0.0372393,0.0650546,0.1022939
18,-1.223772,-1.1222637,"('disagreeable', 'welcoming')",-1.223772,-1.1222637,0.1015083
19,-0.7660632,-0.6794992,"('inhospitable', 'hospitable')",-0.7660632,-0.6794992,0.086564
20,-0.010431638,0.08418412,"('rough', 'thoughtful')",-0.0104316,0.0841841,0.0946157
21,-0.93443495,-0.7440517,"('immoral', 'moral')",-0.934435,-0.7440517,0.1903833
22,-0.4322968,-0.46616426,"('untrustworthy', 'trustworthy')",-0.4322968,-0.4661643,-0.0338675
23,0.8697612,0.9124859,"('insincere', 'sincere')",0.8697612,0.9124859,0.0427247
24,-0.41401863,-0.54054415,"('dishonest', 'honest')",-0.4140186,-0.5405442,-0.1265256
25,0.092727974,0.059475146,"('egoistic', 'altruistic')",0.092728,0.0594751,-0.0332529
26,0.32665718,0.18645234,"('hardhearted', 'benevolent')",0.3266572,0.1864523,-0.1402049
27,0.65473217,0.53411365,"('hardhearted', 'softhearted')",0.6547322,0.5341136,-0.1206186
28,-0.3064882,-0.29608965,"('disloyal', 'loyal')",-0.3064882,-0.2960896,0.0103986
29,-0.5192586,-0.59432185,"('unfair', 'fair')",-0.5192586,-0.5943218,-0.0750632
30,-0.39635363,-0.33633268,"('intolerant', 'tolerant')",-0.3963536,-0.3363327,0.0600209
31,-1.1666114,-1.0790626,"('evil', 'good')",-1.1666114,-1.0790626,0.0875488
32,-0.24909762,-0.36144575,"('unkind', 'kind')",-0.2490976,-0.3614458,-0.1123482
33,-0.0029640049,-0.09542175,"('wrong', 'right')",-0.002964,-0.0954217,-0.0924577
34,1.0214791,1.3006694,"('mean', 'honorable')",1.0214791,1.3006694,0.2791903
35,1.0889521,0.8655587,"('corrupt', 'incorrupt')",1.0889521,0.8655587,-0.2233934
36,-0.18960387,-0.15094301,"('hostile', 'amicable')",-0.1896039,-0.150943,0.0386609
37,0.10749483,0.061133146,"('fake', 'genuine')",0.1074948,0.0611331,-0.0463617
38,-0.24358788,-0.19269721,"('untruthful', 'truthful')",-0.2435879,-0.1926972,0.0508907
39,0.9218585,0.9465004,"('exploitative', 'cooperative')",0.9218585,0.9465004,0.0246419
40,-1.6058418,-1.6291932,"('stingy', 'generous')",-1.6058418,-1.6291932,-0.0233514
41,-0.44939765,-0.27874672,"('unforgiving', 'forgiving')",-0.4493977,-0.2787467,0.170651
42,-1.0931501,-0.9037284,"('unreliable', 'reliable')",-1.0931501,-0.9037284,0.1894217
43,-0.81812793,-0.6951965,"('irresponsible', 'responsible')",-0.8181279,-0.6951965,0.1229314
44,0.40763733,0.38466728,"('prejudiced', 'unprejudiced')",0.4076373,0.3846673,-0.02297
45,-0.6949496,-0.49485832,"('incompetent', 'competent')",-0.6949496,-0.4948583,0.2000913
46,-0.91336745,-0.79427844,"('uncompetitive', 'competitive')",-0.9133675,-0.7942784,0.1190891
47,0.93748033,0.9554973,"('stupid', 'smart')",0.9374803,0.9554973,0.018017
48,-0.5794973,-0.4776229,"('unintelligent', 'intelligent')",-0.5794973,-0.4776229,0.1018744
49,0.30800655,0.50138277,"('unable', 'able')",0.3080066,0.5013828,0.1933762
50,-0.21825303,-0.17778495,"('clumsy', 'skillful')",-0.218253,-0.1777849,0.0404681
51,-1.1384752,-1.2262578,"('uneducated', 'educated')",-1.1384752,-1.2262578,-0.0877826
52,0.3532383,0.122572586,"('irrational', 'rational')",0.3532383,0.1225726,-0.2306657
53,-1.2486371,-1.2769144,"('uncreative', 'creative')",-1.2486371,-1.2769144,-0.0282773
54,0.2574231,0.18317011,"('incapable', 'capable')",0.2574231,0.1831701,-0.074253
55,-0.87767744,-0.6503315,"('incompetent', 'clever')",-0.8776774,-0.6503315,0.2273459
56,-0.10366742,0.021462113,"('impractical', 'practical')",-0.1036674,0.0214621,0.1251295
57,-1.6955143,-1.6506318,"('unimaginative', 'imaginative')",-1.6955143,-1.6506318,0.0448825
58,-0.15222888,-0.13930964,"('undiscriminating', 'discriminating')",-0.1522289,-0.1393096,0.0129193
59,-0.17280203,-0.26571774,"('foolish', 'wise')",-0.172802,-0.2657177,-0.0929157
60,-0.21890415,-0.033789944,"('inefficient', 'efficient')",-0.2189042,-0.0337899,0.1851143
61,0.051280137,-0.13396993,"('illogical', 'logical')",0.0512801,-0.1339699,-0.18525
62,0.08582879,0.2793563,"('incompetent', 'brilliant')",0.0858288,0.2793563,0.1935275
63,-0.7079151,-0.48022127,"('unperceptive', 'insightful')",-0.7079151,-0.4802213,0.2276938
64,-2.0958297,-2.1282134,"('shy', 'confident')",-2.0958297,-2.1282134,-0.0323837
65,-0.5556351,-0.6446681,"('insecure', 'secure')",-0.5556351,-0.6446681,-0.089033
66,-0.5120326,-0.5929731,"('inactive', 'active')",-0.5120326,-0.5929731,-0.0809405
67,-0.29253697,-0.27024275,"('doubtful', 'determined')",-0.292537,-0.2702428,0.0222942
68,-0.6400846,-0.673173,"('dependent', 'independent')",-0.6400846,-0.673173,-0.0330884
69,-0.010596085,-0.016566977,"('lazy', 'industrious')",-0.0105961,-0.016567,-0.0059709
70,-0.88135314,-0.79625666,"('lethargic', 'energetic')",-0.8813531,-0.7962567,0.0850964
71,0.08780059,0.1870054,"('diffident', 'self-confident')",0.0878006,0.1870054,0.0992048
72,-1.4717792,-1.542417,"('unambitious', 'ambitious')",-1.4717792,-1.542417,-0.0706378
73,-0.65979105,-0.6530522,"('helpless', 'self-reliant')",-0.6597911,-0.6530522,0.0067389
74,-0.21652871,-0.16057256,"('undedicated', 'dedicated')",-0.2165287,-0.1605726,0.0559561
75,0.06527273,0.13971083,"('meek', 'impulsive')",0.0652727,0.1397108,0.0744381
76,0.2339031,0.34300545,"('anxious', 'daring')",0.2339031,0.3430054,0.1091023
77,-1.5974164,-1.3779595,"('unmotivated', 'motivated')",-1.5974164,-1.3779595,0.2194569
78,-0.14883551,0.037135772,"('nonresilient', 'resilient')",-0.1488355,0.0371358,0.1859713
79,-0.34630394,-0.31548488,"('wavering', 'unwavering')",-0.3463039,-0.3154849,0.030819
80,0.03063406,-0.051741727,"('dominated', 'dominating')",0.0306341,-0.0517417,-0.0823758
81,-1.2501476,-1.2242827,"('submissive', 'aggressive')",-1.2501476,-1.2242827,0.0258649
82,0.79806995,0.886056,"('poor', 'rich')",0.79807,0.886056,0.087986
83,-0.6328247,-0.60304254,"('powerless', 'powerful')",-0.6328247,-0.6030425,0.0297822
84,0.18134278,0.10093634,"('inferior', 'superior')",0.1813428,0.1009363,-0.0804065
85,-0.1306586,-0.069242164,"('insignificant', 'prestigious')",-0.1306586,-0.0692422,0.0614164
86,-1.6332084,-1.6972762,"('uninfluential', 'influential')",-1.6332084,-1.6972762,-0.0640678
87,0.6011675,0.4836602,"('unsuccessful', 'successful')",0.6011675,0.4836602,-0.1175073
88,-0.4849986,-0.5422467,"('low', 'eminent')",-0.4849986,-0.5422467,-0.0572481
