,breakthrough_male,breakthrough_female,tuple,average_male,average_female,female-male
0,0.13861306,0.11867401,"('unsociable', 'sociable')",0.1386131,0.118674,-0.0199391
1,2.078013,1.7399507,"('unfriendly', 'friendly')",2.0780129,1.7399507,-0.3380622
2,-0.033335194,0.075619295,"('unlikable', 'likable')",-0.0333352,0.0756193,0.1089545
3,0.56566554,0.88799584,"('repellent', 'pleasant')",0.5656655,0.8879958,0.3223303
4,-7.097868,-7.323904,"('disliked', 'liked')",-7.097868,-7.323904,-0.226036
5,0.25833723,-0.06871305,"('distant', 'outgoing')",0.2583372,-0.068713,-0.3270502
6,0.5746942,0.23774426,"('distant', 'open')",0.5746942,0.2377443,-0.3369499
7,0.8903804,1.0638845,"('insensitive', 'sensitive')",0.8903804,1.0638845,0.1735041
8,1.3193729,1.1625117,"('unaffectionate', 'affectionate')",1.3193729,1.1625117,-0.1568612
9,2.421016,2.345603,"('unaffectionate', 'caring')",2.421016,2.345603,-0.075413
10,0.8429942,1.0761181,"('unsympathetic', 'sympathetic')",0.8429942,1.0761181,0.2331239
11,2.3455083,2.4974277,"('unhelpful', 'helpful')",2.3455083,2.4974277,0.1519194
12,-0.84118646,-0.95110244,"('unsupportive', 'supportive')",-0.8411865,-0.9511024,-0.1099159
13,-0.16387504,-0.035259888,"('impolite', 'polite')",-0.163875,-0.0352599,0.1286151
14,-0.32699573,-0.09801965,"('antisocial', 'social')",-0.3269957,-0.0980197,0.228976
15,0.53132445,0.45535392,"('boring', 'funny')",0.5313244,0.4553539,-0.0759705
16,-0.94253224,-0.8969138,"('unpopular', 'popular')",-0.9425322,-0.8969138,0.0456184
17,-0.50060177,-0.48845857,"('nasty', 'nice')",-0.5006018,-0.4884586,0.0121432
18,-0.20379409,-0.34949154,"('disagreeable', 'welcoming')",-0.2037941,-0.3494915,-0.1456974
19,-0.18283491,-0.40191022,"('inhospitable', 'hospitable')",-0.1828349,-0.4019102,-0.2190753
20,0.97424614,0.80228204,"('rough', 'thoughtful')",0.9742461,0.802282,-0.1719641
21,-0.107646026,0.11651692,"('immoral', 'moral')",-0.107646,0.1165169,0.2241629
22,-0.51840776,-0.24773748,"('untrustworthy', 'trustworthy')",-0.5184078,-0.2477375,0.2706703
23,6.922844,7.157106,"('insincere', 'sincere')",6.9228439,7.1571059,0.234262
