,ptc_male,ptc_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.3632779,0.12340348,"('unsociable', 'sociable')",0.03683267,-0.15886709,0.2000553,-0.0177318,-0.2177871
1,-0.6587276,-0.88199687,"('unfriendly', 'friendly')",1.6136007,1.360214,0.4774366,0.2391086,-0.238328
2,1.3451604,1.3278487,"('unlikable', 'likable')",0.9195817,0.9574655,1.1323711,1.142657,0.0102859
3,0.36805397,0.4421797,"('repellent', 'pleasant')",0.29163653,0.410215,0.3298452,0.4261974,0.0963522
4,0.34290367,0.26076174,"('disliked', 'liked')",-6.053607,-6.0830054,-2.8553517,-2.9111218,-0.0557701
5,-1.0132573,-1.0569676,"('distant', 'outgoing')",-0.52303934,-0.61067086,-0.7681483,-0.8338193,-0.065671
6,-1.4468735,-1.4829668,"('distant', 'open')",-0.1766054,-0.28900394,-0.8117394,-0.8859854,-0.074246
7,0.33701977,0.3319283,"('insensitive', 'sensitive')",0.8609399,0.89208937,0.5989798,0.6120088,0.013029
8,-1.43383,-1.45048,"('unaffectionate', 'affectionate')",0.3285685,0.22095847,-0.5526308,-0.6147608,-0.06213
9,-0.69671524,-0.7677843,"('unaffectionate', 'caring')",1.1088859,1.0467834,0.2060853,0.1394996,-0.0665857
10,-0.105893806,-0.11759931,"('unsympathetic', 'sympathetic')",-0.122459024,-0.10001619,-0.1141764,-0.1088078,0.0053686
11,1.0460714,0.9967813,"('unhelpful', 'helpful')",2.1907406,2.2165828,1.6184061,1.6066821,-0.011724
12,0.35454458,0.41932523,"('unsupportive', 'supportive')",-1.7488819,-1.7190024,-0.6971687,-0.6498386,0.0473301
13,0.5879387,0.5439453,"('impolite', 'polite')",0.03413713,0.09667287,0.3110379,0.3203091,0.0092712
14,1.3190408,1.2581526,"('antisocial', 'social')",0.05414739,-7.435307e-05,0.6865941,0.6290391,-0.057555
15,0.59379554,0.4473226,"('boring', 'funny')",0.8294587,0.7250093,0.7116271,0.586166,-0.1254611
16,-0.54612195,-0.5011607,"('unpopular', 'popular')",0.7105923,0.68882734,0.0822352,0.0938333,0.0115981
17,0.12997173,0.15063234,"('nasty', 'nice')",-0.40488112,-0.43653983,-0.1374547,-0.1429538,-0.0054991
18,-1.0722787,-1.0034778,"('disagreeable', 'welcoming')",-0.31786704,-0.41700482,-0.6950729,-0.7102413,-0.0151684
19,0.060056083,-0.0028262585,"('inhospitable', 'hospitable')",-0.06355203,-0.13339934,-0.001748,-0.0681128,-0.0663648
20,0.48452926,0.47423545,"('rough', 'thoughtful')",0.86290586,0.81909466,0.6737176,0.646665,-0.0270526
21,0.91849685,0.9085027,"('immoral', 'moral')",-0.20639223,-0.16091496,0.3560523,0.3737939,0.0177416
22,0.3432513,0.30840868,"('untrustworthy', 'trustworthy')",-0.7171591,-0.73620075,-0.1869539,-0.213896,-0.0269421
23,0.2974727,0.22422345,"('insincere', 'sincere')",6.1626215,6.072146,3.230047,3.1481848,-0.0818622
24,-0.0002738703,-0.06936706,"('dishonest', 'honest')",0.95473033,0.94347465,0.4772282,0.4370538,-0.0401744
25,-0.5813261,-0.6173078,"('egoistic', 'altruistic')",1.2333658,1.1426188,0.3260198,0.2626555,-0.0633643
26,0.514473,0.30512887,"('hardhearted', 'benevolent')",1.7413847,1.5912274,1.1279289,0.9481782,-0.1797507
27,-0.46711668,-0.46239546,"('hardhearted', 'softhearted')",1.1877044,1.1332049,0.3602939,0.3354048,-0.0248891
28,-0.27390605,-0.3892738,"('disloyal', 'loyal')",0.8085032,0.65543616,0.2672986,0.1330812,-0.1342174
29,-0.20483093,-0.20474763,"('unfair', 'fair')",-0.83834356,-1.0816951,-0.5215873,-0.6432214,-0.1216341
