,vestment_male,vestment_female,tuple,average_male,average_female,female-male
0,0.53317624,0.24939784,"('unsociable', 'sociable')",0.5331762,0.2493978,-0.2837784
1,-1.3063728,-1.462396,"('unfriendly', 'friendly')",-1.3063728,-1.462396,-0.1560232
2,0.59685194,0.6986014,"('unlikable', 'likable')",0.5968519,0.6986014,0.1017495
3,0.1103981,0.35884047,"('repellent', 'pleasant')",0.1103981,0.3588405,0.2484424
4,-3.496584,-3.6157963,"('disliked', 'liked')",-3.4965839,-3.6157963,-0.1192124
5,-2.0976853,-2.1144269,"('distant', 'outgoing')",-2.0976853,-2.1144269,-0.0167416
6,-2.3000853,-2.3498034,"('distant', 'open')",-2.3000853,-2.3498034,-0.0497181
7,0.9102059,0.9549674,"('insensitive', 'sensitive')",0.9102059,0.9549674,0.0447615
8,-0.8781247,-0.92761934,"('unaffectionate', 'affectionate')",-0.8781247,-0.9276193,-0.0494946
9,-0.8336448,-0.838058,"('unaffectionate', 'caring')",-0.8336448,-0.838058,-0.0044132
10,0.64265084,0.58443725,"('unsympathetic', 'sympathetic')",0.6426508,0.5844373,-0.0582135
11,1.0556009,1.238921,"('unhelpful', 'helpful')",1.0556009,1.238921,0.1833201
12,-0.9462353,-0.9490083,"('unsupportive', 'supportive')",-0.9462353,-0.9490083,-0.002773
13,0.741754,0.6361785,"('impolite', 'polite')",0.741754,0.6361785,-0.1055755
14,1.5662235,1.5648149,"('antisocial', 'social')",1.5662235,1.5648149,-0.0014086
15,0.22180982,0.12237734,"('boring', 'funny')",0.2218098,0.1223773,-0.0994325
16,-0.9866508,-0.8023974,"('unpopular', 'popular')",-0.9866508,-0.8023974,0.1842534
17,0.18950424,0.11094025,"('nasty', 'nice')",0.1895042,0.1109402,-0.078564
18,-0.2874593,-0.27708012,"('disagreeable', 'welcoming')",-0.2874593,-0.2770801,0.0103792
19,-1.2445303,-1.3716586,"('inhospitable', 'hospitable')",-1.2445303,-1.3716586,-0.1271283
20,0.45557728,0.52613497,"('rough', 'thoughtful')",0.4555773,0.526135,0.0705577
21,1.3564485,1.3734996,"('immoral', 'moral')",1.3564485,1.3734996,0.0170511
22,0.7782656,0.8054515,"('untrustworthy', 'trustworthy')",0.7782656,0.8054515,0.0271859
23,4.24993,4.1478677,"('insincere', 'sincere')",4.2499299,4.1478677,-0.1020622
24,1.0508924,0.9409178,"('dishonest', 'honest')",1.0508924,0.9409178,-0.1099746
25,-0.19540553,-0.37666765,"('egoistic', 'altruistic')",-0.1954055,-0.3766676,-0.1812621
26,0.73413604,0.33726686,"('hardhearted', 'benevolent')",0.734136,0.3372669,-0.3968691
27,0.35320824,0.32444385,"('hardhearted', 'softhearted')",0.3532082,0.3244438,-0.0287644
28,0.7235239,0.4222967,"('disloyal', 'loyal')",0.7235239,0.4222967,-0.3012272
