,cerner_male,cerner_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.6678034,-0.847124,"('unsociable', 'sociable')",-0.3300733,-0.3940063,-0.4989384,-0.6205652,-0.1216268
1,-0.36796778,-0.6275178,"('unfriendly', 'friendly')",1.5845691,1.448133,0.6083007,0.4103076,-0.1979931
2,0.9781646,0.9028672,"('unlikable', 'likable')",0.7524998,0.7111213,0.8653322,0.8069943,-0.0583379
3,-0.41809443,-0.35945654,"('repellent', 'pleasant')",1.0049225,1.0646607,0.2934141,0.3526021,0.059188
4,-0.059500054,-0.10291184,"('disliked', 'liked')",-7.1013417,-7.4015822,-3.580421,-3.7522471,-0.1718261
5,-0.6911944,-0.7886314,"('distant', 'outgoing')",-0.3659716,-0.39021116,-0.528583,-0.5894213,-0.0608383
6,-0.81998116,-0.9448304,"('distant', 'open')",-0.1604329,-0.19002354,-0.490207,-0.567427,-0.07722
7,-0.0778868,-0.039434057,"('insensitive', 'sensitive')",0.37075028,0.4265949,0.1464317,0.1935804,0.0471487
8,-0.0031713322,-0.18959638,"('unaffectionate', 'affectionate')",1.1660715,1.1223296,0.5814501,0.4663666,-0.1150835
9,-0.12406364,-0.26279336,"('unaffectionate', 'caring')",1.4223834,1.4464958,0.6491599,0.5918512,-0.0573087
10,-1.4282688,-1.5241259,"('unsympathetic', 'sympathetic')",-0.6876377,-0.6228852,-1.0579532,-1.0735056,-0.0155524
11,-0.00489348,0.036335386,"('unhelpful', 'helpful')",1.1741573,1.3818417,0.5846319,0.7090885,0.1244566
12,0.27117798,0.27447695,"('unsupportive', 'supportive')",-2.2177942,-2.2620971,-0.9733081,-0.9938101,-0.020502
13,-0.51980925,-0.5930468,"('impolite', 'polite')",-1.1046879,-0.91487765,-0.8122486,-0.7539622,0.0582864
14,-0.09808068,-0.04057022,"('antisocial', 'social')",-0.005870692,-0.062704846,-0.0519757,-0.0516375,0.0003382
15,0.25437775,0.13815886,"('boring', 'funny')",0.09365681,0.10369843,0.1740173,0.1209286,-0.0530887
16,-0.16814335,-0.17984787,"('unpopular', 'popular')",0.25441143,0.24625418,0.043134,0.0332032,-0.0099308
17,0.09572277,0.13248849,"('nasty', 'nice')",-0.55233794,-0.49688092,-0.2283076,-0.1821962,0.0461114
18,-0.007501565,-0.07434087,"('disagreeable', 'welcoming')",-0.44206747,-0.4836381,-0.2247845,-0.2789895,-0.054205
19,-0.90161407,-1.023316,"('inhospitable', 'hospitable')",-0.4222409,-0.3949077,-0.6619275,-0.7091119,-0.0471844
20,0.18994008,0.14668173,"('rough', 'thoughtful')",0.8235842,0.7468767,0.5067621,0.4467792,-0.0599829
21,-0.033714436,-0.037659656,"('immoral', 'moral')",-0.587448,-0.48943695,-0.3105812,-0.2635483,0.0470329
22,-0.114690006,-0.20410281,"('untrustworthy', 'trustworthy')",-0.80583054,-0.88192606,-0.4602603,-0.5430144,-0.0827541
23,-0.015450467,-0.12729493,"('insincere', 'sincere')",5.8179064,6.0684843,2.901228,2.9705946,0.0693666
24,-0.27659994,-0.40084475,"('dishonest', 'honest')",0.33446142,0.3700196,0.0289307,-0.0154126,-0.0443433
25,0.7555364,0.7426425,"('egoistic', 'altruistic')",1.6625245,1.6244661,1.2090304,1.1835543,-0.0254761
26,0.268776,0.12353365,"('hardhearted', 'benevolent')",1.8789635,1.6738279,1.0738697,0.8986807,-0.175189
27,-0.22866736,-0.22526242,"('hardhearted', 'softhearted')",1.411154,1.3203727,0.5912433,0.5475551,-0.0436882
28,-0.22169006,-0.29651612,"('disloyal', 'loyal')",1.0748153,1.0716913,0.4265626,0.3875876,-0.038975
29,-0.3721975,-0.41859332,"('unfair', 'fair')",-0.20277941,-0.41764978,-0.2874885,-0.4181215,-0.130633
30,0.11121866,0.02843947,"('intolerant', 'tolerant')",0.5640921,0.56127,0.3376554,0.2948547,-0.0428007
31,-0.18237698,-0.13566653,"('evil', 'good')",-0.5253705,-0.7158393,-0.3538737,-0.4257529,-0.0718792
32,-0.021353545,-0.15061358,"('unkind', 'kind')",0.7467339,0.6247682,0.3626902,0.2370773,-0.1256129
33,0.8564415,0.6904938,"('wrong', 'right')",-0.3693881,-0.47850674,0.2435267,0.1059935,-0.1375332
34,-0.053484257,0.045841984,"('mean', 'honorable')",5.360476,5.7113285,2.6534958,2.8785853,0.2250895
35,0.3952856,0.32860324,"('corrupt', 'incorrupt')",-0.30707905,-0.43413818,0.0441033,-0.0527675,-0.0968708
36,-0.04184695,-0.24548212,"('hostile', 'amicable')",0.07020944,-0.16049509,0.0141812,-0.2029886,-0.2171698
37,-0.03739704,-0.14512198,"('fake', 'genuine')",0.119593546,0.18302229,0.0410983,0.0189502,-0.0221481
38,-0.05972865,-0.10459679,"('untruthful', 'truthful')",-0.47020355,-0.37171286,-0.2649661,-0.2381548,0.0268113
