,breakthrough_male,breakthrough_female,tuple,average_male,average_female,female-male
0,0.17259702,-0.04078106,"('unsociable', 'sociable')",0.172597,-0.0407811,-0.2133781
1,1.4515804,1.4287592,"('unfriendly', 'friendly')",1.4515804,1.4287592,-0.0228212
2,0.35657284,0.48886293,"('unlikable', 'likable')",0.3565728,0.4888629,0.1322901
3,0.71316236,0.77443206,"('repellent', 'pleasant')",0.7131624,0.7744321,0.0612697
4,-7.8069487,-7.8040032,"('disliked', 'liked')",-7.8069487,-7.8040032,0.0029455
5,-0.3068432,-0.16906114,"('distant', 'outgoing')",-0.3068432,-0.1690611,0.1377821
6,0.07384073,0.23267928,"('distant', 'open')",0.0738407,0.2326793,0.1588386
7,0.52574444,0.48313564,"('insensitive', 'sensitive')",0.5257444,0.4831356,-0.0426088
8,1.2213125,1.2207179,"('unaffectionate', 'affectionate')",1.2213125,1.2207179,-0.0005946
9,2.090114,2.1093338,"('unaffectionate', 'caring')",2.0901141,2.1093338,0.0192197
10,1.1886295,1.1254791,"('unsympathetic', 'sympathetic')",1.1886295,1.1254791,-0.0631504
11,2.395536,2.3640504,"('unhelpful', 'helpful')",2.3955359,2.3640504,-0.0314855
12,-1.4518855,-1.6108649,"('unsupportive', 'supportive')",-1.4518855,-1.6108649,-0.1589794
13,0.2059224,0.025290556,"('impolite', 'polite')",0.2059224,0.0252906,-0.1806318
14,-0.27808064,-0.46811512,"('antisocial', 'social')",-0.2780806,-0.4681151,-0.1900345
15,0.23643294,0.23986782,"('boring', 'funny')",0.2364329,0.2398678,0.0034349
16,-0.72674066,-0.64912343,"('unpopular', 'popular')",-0.7267407,-0.6491234,0.0776173
17,-0.63139725,-0.5749132,"('nasty', 'nice')",-0.6313972,-0.5749132,0.056484
18,-0.64193344,-0.79016167,"('disagreeable', 'welcoming')",-0.6419334,-0.7901617,-0.1482283
19,-0.71337456,-0.5271964,"('inhospitable', 'hospitable')",-0.7133746,-0.5271964,0.1861782
20,1.038107,0.8376289,"('rough', 'thoughtful')",1.038107,0.8376289,-0.2004781
21,0.10060802,0.10083408,"('immoral', 'moral')",0.100608,0.1008341,0.0002261
22,-0.36114928,-0.4090137,"('untrustworthy', 'trustworthy')",-0.3611493,-0.4090137,-0.0478644
23,6.9531093,6.889907,"('insincere', 'sincere')",6.9531093,6.8899069,-0.0632024
24,1.7942805,1.6775699,"('dishonest', 'honest')",1.7942805,1.6775699,-0.1167106
25,0.3006902,0.22573936,"('egoistic', 'altruistic')",0.3006902,0.2257394,-0.0749508
26,0.3127895,0.114498764,"('hardhearted', 'benevolent')",0.3127895,0.1144988,-0.1982907
27,1.5670226,1.3339324,"('hardhearted', 'softhearted')",1.5670226,1.3339324,-0.2330902
28,1.4685992,1.3532676,"('disloyal', 'loyal')",1.4685992,1.3532676,-0.1153316
29,-0.44222477,-0.52059186,"('unfair', 'fair')",-0.4422248,-0.5205919,-0.0783671
30,0.7680422,0.7329541,"('intolerant', 'tolerant')",0.7680422,0.7329541,-0.0350881
31,-1.8519062,-1.7378451,"('evil', 'good')",-1.8519062,-1.7378451,0.1140611
32,1.2617207,1.1118215,"('unkind', 'kind')",1.2617207,1.1118215,-0.1498992
33,0.050261892,0.016836096,"('wrong', 'right')",0.0502619,0.0168361,-0.0334258
34,5.0401573,5.183599,"('mean', 'honorable')",5.0401573,5.183599,0.1434417
35,-1.3001521,-1.2524893,"('corrupt', 'incorrupt')",-1.3001521,-1.2524893,0.0476628
36,-0.93046224,-0.8750661,"('hostile', 'amicable')",-0.9304622,-0.8750661,0.0553961
37,1.1367661,1.1485851,"('fake', 'genuine')",1.1367661,1.1485851,0.011819
38,0.843841,0.85796297,"('untruthful', 'truthful')",0.843841,0.857963,0.014122
39,0.2519663,0.13495103,"('exploitative', 'cooperative')",0.2519663,0.134951,-0.1170153
40,-2.3351653,-2.6181116,"('stingy', 'generous')",-2.3351653,-2.6181116,-0.2829463
41,0.8610646,0.70775294,"('unforgiving', 'forgiving')",0.8610646,0.7077529,-0.1533117
42,-2.9410338,-2.895607,"('unreliable', 'reliable')",-2.9410338,-2.895607,0.0454268
43,1.4247274,1.3777577,"('irresponsible', 'responsible')",1.4247274,1.3777577,-0.0469697
44,-1.5306355,-1.460263,"('prejudiced', 'unprejudiced')",-1.5306355,-1.460263,0.0703725
45,0.45061547,0.3915786,"('incompetent', 'competent')",0.4506155,0.3915786,-0.0590369
46,-0.20879991,-0.39964697,"('uncompetitive', 'competitive')",-0.2087999,-0.399647,-0.1908471
47,5.7403817,5.853883,"('stupid', 'smart')",5.7403817,5.8538828,0.1135011
48,1.2281693,1.0084385,"('unintelligent', 'intelligent')",1.2281693,1.0084385,-0.2197308
49,0.33647448,0.40309975,"('unable', 'able')",0.3364745,0.4030997,0.0666252
50,-0.5226397,-0.49305964,"('clumsy', 'skillful')",-0.5226397,-0.4930596,0.0295801
51,0.26811856,0.16601305,"('uneducated', 'educated')",0.2681186,0.166013,-0.1021056
52,-0.58356506,-0.49806517,"('irrational', 'rational')",-0.5835651,-0.4980652,0.0854999
53,0.018657524,0.008670162,"('uncreative', 'creative')",0.0186575,0.0086702,-0.0099873
54,1.2318759,1.3846269,"('incapable', 'capable')",1.2318759,1.3846269,0.152751
55,0.95531905,0.756504,"('incompetent', 'clever')",0.955319,0.756504,-0.198815
56,1.0221418,0.9959083,"('impractical', 'practical')",1.0221418,0.9959083,-0.0262335
57,-3.0898173,-3.0250874,"('unimaginative', 'imaginative')",-3.0898173,-3.0250874,0.0647299
58,0.07083774,-0.005714223,"('undiscriminating', 'discriminating')",0.0708377,-0.0057142,-0.0765519
59,-0.085318774,0.056526028,"('foolish', 'wise')",-0.0853188,0.056526,0.1418448
60,1.4660052,1.3119588,"('inefficient', 'efficient')",1.4660052,1.3119588,-0.1540464
61,0.86544865,0.61728686,"('illogical', 'logical')",0.8654487,0.6172869,-0.2481618
62,1.6103871,1.5523747,"('incompetent', 'brilliant')",1.6103871,1.5523747,-0.0580124
63,0.94016767,0.85881275,"('unperceptive', 'insightful')",0.9401677,0.8588127,-0.081355
64,-6.4462376,-6.389847,"('shy', 'confident')",-6.4462376,-6.3898468,0.0563908
65,0.20520802,0.10608796,"('insecure', 'secure')",0.205208,0.106088,-0.09912
66,-0.50614953,-0.5028458,"('inactive', 'active')",-0.5061495,-0.5028458,0.0033037
67,-0.31042734,-0.2369199,"('doubtful', 'determined')",-0.3104273,-0.2369199,0.0735074
68,-0.4064917,-0.4291532,"('dependent', 'independent')",-0.4064917,-0.4291532,-0.0226615
69,-1.8327521,-1.6951942,"('lazy', 'industrious')",-1.8327521,-1.6951942,0.1375579
70,0.8450212,0.8081605,"('lethargic', 'energetic')",0.8450212,0.8081605,-0.0368607
71,0.10871805,0.054750856,"('diffident', 'self-confident')",0.1087181,0.0547509,-0.0539672
72,0.67745674,0.66843104,"('unambitious', 'ambitious')",0.6774567,0.668431,-0.0090257
73,-3.6896198,-3.567973,"('helpless', 'self-reliant')",-3.6896198,-3.5679729,0.1216469
74,0.19548222,0.009591963,"('undedicated', 'dedicated')",0.1954822,0.009592,-0.1858902
75,-1.3334136,-1.066178,"('meek', 'impulsive')",-1.3334136,-1.066178,0.2672356
76,0.5646909,0.4048151,"('anxious', 'daring')",0.5646909,0.4048151,-0.1598758
77,-0.6602001,-0.6586669,"('unmotivated', 'motivated')",-0.6602001,-0.6586669,0.0015332
78,-0.24655147,-0.39424857,"('nonresilient', 'resilient')",-0.2465515,-0.3942486,-0.1476971
79,-0.6140206,-0.46167606,"('wavering', 'unwavering')",-0.6140206,-0.4616761,0.1523445
80,-0.08561574,-0.30956054,"('dominated', 'dominating')",-0.0856157,-0.3095605,-0.2239448
81,-0.069315664,-0.08483366,"('submissive', 'aggressive')",-0.0693157,-0.0848337,-0.015518
82,6.0093317,6.2764215,"('poor', 'rich')",6.0093317,6.2764215,0.2670898
83,-0.26059377,-0.34014234,"('powerless', 'powerful')",-0.2605938,-0.3401423,-0.0795485
84,0.572531,0.5647503,"('inferior', 'superior')",0.572531,0.5647503,-0.0077807
85,-0.70430017,-0.77437407,"('insignificant', 'prestigious')",-0.7043002,-0.7743741,-0.0700739
86,0.5709636,0.43793735,"('uninfluential', 'influential')",0.5709636,0.4379373,-0.1330263
87,-0.028416244,0.071388505,"('unsuccessful', 'successful')",-0.0284162,0.0713885,0.0998047
88,0.36676076,0.29842186,"('low', 'eminent')",0.3667608,0.2984219,-0.0683389
