,softdrink_male,softdrink_female,tuple,average_male,average_female,female-male
0,-0.36457536,-0.40296295,"('unsociable', 'sociable')",-0.3645754,-0.402963,-0.0383876
1,-0.4978859,-0.80866504,"('unfriendly', 'friendly')",-0.4978859,-0.808665,-0.3107791
2,0.5194696,0.48140213,"('unlikable', 'likable')",0.5194696,0.4814021,-0.0380675
3,-0.76272905,-0.6404627,"('repellent', 'pleasant')",-0.762729,-0.6404627,0.1222663
4,-1.6596692,-1.6922804,"('disliked', 'liked')",-1.6596692,-1.6922804,-0.0326112
5,-0.532595,-0.5871258,"('distant', 'outgoing')",-0.532595,-0.5871258,-0.0545308
6,-0.66704,-0.76174635,"('distant', 'open')",-0.66704,-0.7617463,-0.0947063
7,-0.11270461,-0.07393992,"('insensitive', 'sensitive')",-0.1127046,-0.0739399,0.0387647
8,-0.20766783,-0.45643264,"('unaffectionate', 'affectionate')",-0.2076678,-0.4564326,-0.2487648
9,-0.10133462,-0.33189905,"('unaffectionate', 'caring')",-0.1013346,-0.331899,-0.2305644
10,-0.9083808,-0.92577976,"('unsympathetic', 'sympathetic')",-0.9083808,-0.9257798,-0.017399
11,0.2548485,0.27929443,"('unhelpful', 'helpful')",0.2548485,0.2792944,0.0244459
12,-0.81078225,-0.80503446,"('unsupportive', 'supportive')",-0.8107823,-0.8050345,0.0057478
13,-0.41120428,-0.3921954,"('impolite', 'polite')",-0.4112043,-0.3921954,0.0190089
14,0.42227617,0.4585715,"('antisocial', 'social')",0.4222762,0.4585715,0.0362953
15,0.707005,0.5812184,"('boring', 'funny')",0.707005,0.5812184,-0.1257866
16,-0.20125216,-0.26608253,"('unpopular', 'popular')",-0.2012522,-0.2660825,-0.0648303
17,-0.76924413,-0.65045196,"('nasty', 'nice')",-0.7692441,-0.650452,0.1187921
18,-0.53796756,-0.47466457,"('disagreeable', 'welcoming')",-0.5379676,-0.4746646,0.063303
19,-1.0357654,-1.0437264,"('inhospitable', 'hospitable')",-1.0357654,-1.0437264,-0.007961
20,-0.06795805,0.011407705,"('rough', 'thoughtful')",-0.067958,0.0114077,0.0793657
21,-0.49924368,-0.38867295,"('immoral', 'moral')",-0.4992437,-0.3886729,0.1105708
22,-0.7079763,-0.60375154,"('untrustworthy', 'trustworthy')",-0.7079763,-0.6037515,0.1042248
23,1.2098691,1.2053928,"('insincere', 'sincere')",1.2098691,1.2053928,-0.0044763
24,0.1149029,0.027686968,"('dishonest', 'honest')",0.1149029,0.027687,-0.0872159
25,-0.32751745,-0.4437619,"('egoistic', 'altruistic')",-0.3275174,-0.4437619,-0.1162445
26,0.030848406,-0.14697674,"('hardhearted', 'benevolent')",0.0308484,-0.1469767,-0.1778251
27,0.07023254,-0.06469807,"('hardhearted', 'softhearted')",0.0702325,-0.0646981,-0.1349306
28,-0.009650735,-0.16341178,"('disloyal', 'loyal')",-0.0096507,-0.1634118,-0.1537611
29,-0.0031528575,-0.110062204,"('unfair', 'fair')",-0.0031529,-0.1100622,-0.1069093
30,0.6015576,0.6630307,"('intolerant', 'tolerant')",0.6015576,0.6630307,0.0614731
31,-1.1453066,-1.094751,"('evil', 'good')",-1.1453066,-1.094751,0.0505556
32,0.23513699,0.08850892,"('unkind', 'kind')",0.235137,0.0885089,-0.1466281
33,0.6972863,0.53648233,"('wrong', 'right')",0.6972863,0.5364823,-0.160804
34,0.6214331,0.8357343,"('mean', 'honorable')",0.6214331,0.8357343,0.2143012
35,-0.038716096,-0.21421236,"('corrupt', 'incorrupt')",-0.0387161,-0.2142124,-0.1754963
36,-1.110788,-1.264237,"('hostile', 'amicable')",-1.110788,-1.264237,-0.153449
37,0.52562565,0.50151503,"('fake', 'genuine')",0.5256256,0.501515,-0.0241106
38,-0.41902283,-0.48172858,"('untruthful', 'truthful')",-0.4190228,-0.4817286,-0.0627058
39,0.6088324,0.70103246,"('exploitative', 'cooperative')",0.6088324,0.7010325,0.0922001
40,-0.764321,-0.8869201,"('stingy', 'generous')",-0.764321,-0.8869201,-0.1225991
41,-0.17838195,-0.09898218,"('unforgiving', 'forgiving')",-0.1783819,-0.0989822,0.0793997
42,-0.5635391,-0.42663914,"('unreliable', 'reliable')",-0.5635391,-0.4266391,0.1369
43,-0.38567066,-0.32754412,"('irresponsible', 'responsible')",-0.3856707,-0.3275441,0.0581266
44,0.28875464,0.43193948,"('prejudiced', 'unprejudiced')",0.2887546,0.4319395,0.1431849
45,-0.028563447,0.07332056,"('incompetent', 'competent')",-0.0285634,0.0733206,0.101884
46,-0.6713208,-0.576901,"('uncompetitive', 'competitive')",-0.6713208,-0.576901,0.0944198
