,redirect_male,redirect_female,tuple,average_male,average_female,female-male
0,-0.95932114,-1.0302833,"('unsociable', 'sociable')",-0.9593211,-1.0302833,-0.0709622
1,-0.49725682,-0.7842358,"('unfriendly', 'friendly')",-0.4972568,-0.7842358,-0.286979
2,-0.2707532,-0.28412628,"('unlikable', 'likable')",-0.2707532,-0.2841263,-0.0133731
3,-0.45121068,-0.2176591,"('repellent', 'pleasant')",-0.4512107,-0.2176591,0.2335516
4,-2.3900683,-2.599904,"('disliked', 'liked')",-2.3900683,-2.5999041,-0.2098358
5,-0.07467101,-0.31558886,"('distant', 'outgoing')",-0.074671,-0.3155889,-0.2409179
6,-0.47491682,-0.7584144,"('distant', 'open')",-0.4749168,-0.7584144,-0.2834976
7,-0.08039145,0.08950367,"('insensitive', 'sensitive')",-0.0803915,0.0895037,0.1698952
8,-1.9880292,-2.0589728,"('unaffectionate', 'affectionate')",-1.9880292,-2.0589728,-0.0709436
9,-1.7647688,-1.7701683,"('unaffectionate', 'caring')",-1.7647688,-1.7701683,-0.0053995
10,-0.7386753,-0.69324225,"('unsympathetic', 'sympathetic')",-0.7386753,-0.6932423,0.045433
11,1.0994847,1.2518494,"('unhelpful', 'helpful')",1.0994847,1.2518494,0.1523647
12,-1.4744823,-1.3025854,"('unsupportive', 'supportive')",-1.4744823,-1.3025854,0.1718969
13,-0.8611191,-0.8734562,"('impolite', 'polite')",-0.8611191,-0.8734562,-0.0123371
14,0.053305987,0.044276703,"('antisocial', 'social')",0.053306,0.0442767,-0.0090293
15,0.2622369,0.05898545,"('boring', 'funny')",0.2622369,0.0589854,-0.2032515
16,-1.4025862,-1.2567462,"('unpopular', 'popular')",-1.4025862,-1.2567462,0.14584
17,-0.48075116,-0.47665644,"('nasty', 'nice')",-0.4807512,-0.4766564,0.0040948
18,-0.819399,-0.65813315,"('disagreeable', 'welcoming')",-0.819399,-0.6581331,0.1612659
19,-1.2863283,-1.3417472,"('inhospitable', 'hospitable')",-1.2863283,-1.3417472,-0.0554189
20,0.69004786,0.8002806,"('rough', 'thoughtful')",0.6900479,0.8002806,0.1102327
21,-0.34811866,-0.135919,"('immoral', 'moral')",-0.3481187,-0.135919,0.2121997
22,0.3279621,0.17812341,"('untrustworthy', 'trustworthy')",0.3279621,0.1781234,-0.1498387
23,1.3657202,1.5363865,"('insincere', 'sincere')",1.3657202,1.5363865,0.1706663
24,-0.34045702,-0.44016293,"('dishonest', 'honest')",-0.340457,-0.4401629,-0.0997059
25,0.363963,0.28077358,"('egoistic', 'altruistic')",0.363963,0.2807736,-0.0831894
26,0.6578888,0.25983724,"('hardhearted', 'benevolent')",0.6578888,0.2598372,-0.3980516
27,-0.20999908,-0.2345081,"('hardhearted', 'softhearted')",-0.2099991,-0.2345081,-0.024509
28,-0.13401817,-0.13824016,"('disloyal', 'loyal')",-0.1340182,-0.1382402,-0.004222
29,0.02685634,-0.09028444,"('unfair', 'fair')",0.0268563,-0.0902844,-0.1171407
30,-0.12421164,-0.081550516,"('intolerant', 'tolerant')",-0.1242116,-0.0815505,0.0426611
31,-1.4296312,-1.5751793,"('evil', 'good')",-1.4296312,-1.5751793,-0.1455481
32,-0.42176303,-0.44776762,"('unkind', 'kind')",-0.421763,-0.4477676,-0.0260046
33,0.34061098,0.16770265,"('wrong', 'right')",0.340611,0.1677026,-0.1729084
34,1.5097507,1.8128577,"('mean', 'honorable')",1.5097507,1.8128577,0.303107
35,0.3906095,0.21597488,"('corrupt', 'incorrupt')",0.3906095,0.2159749,-0.1746346
36,-0.8630865,-1.1026136,"('hostile', 'amicable')",-0.8630865,-1.1026136,-0.2395271
37,-0.42997915,-0.31867057,"('fake', 'genuine')",-0.4299791,-0.3186706,0.1113085
38,-0.252811,-0.31398162,"('untruthful', 'truthful')",-0.252811,-0.3139816,-0.0611706
39,0.40460217,0.61577487,"('exploitative', 'cooperative')",0.4046022,0.6157749,0.2111727
40,-1.3064284,-1.3217833,"('stingy', 'generous')",-1.3064284,-1.3217833,-0.0153549
41,-0.07090446,-0.19157499,"('unforgiving', 'forgiving')",-0.0709045,-0.191575,-0.1206705
42,-0.5496589,-0.51596856,"('unreliable', 'reliable')",-0.5496589,-0.5159686,0.0336903
