,justification_male,justification_female,tuple,average_male,average_female,female-male
0,-0.27019355,-0.2607418,"('unsociable', 'sociable')",-0.2701935,-0.2607418,0.0094517
1,0.8444414,0.7881613,"('unfriendly', 'friendly')",0.8444414,0.7881613,-0.0562801
2,-0.17466404,-0.0909674,"('unlikable', 'likable')",-0.174664,-0.0909674,0.0836966
3,0.81991893,0.8257181,"('repellent', 'pleasant')",0.8199189,0.8257181,0.0057992
4,-7.4901824,-7.533402,"('disliked', 'liked')",-7.4901824,-7.533402,-0.0432196
5,-0.65283316,-0.66313607,"('distant', 'outgoing')",-0.6528332,-0.6631361,-0.0103029
6,-0.21038938,-0.2698093,"('distant', 'open')",-0.2103894,-0.2698093,-0.0594199
7,0.7636734,0.8135973,"('insensitive', 'sensitive')",0.7636734,0.8135973,0.0499239
8,0.74828136,0.68353677,"('unaffectionate', 'affectionate')",0.7482814,0.6835368,-0.0647446
9,1.0571951,1.0773939,"('unaffectionate', 'caring')",1.0571951,1.0773939,0.0201988
10,1.17147,1.2233564,"('unsympathetic', 'sympathetic')",1.17147,1.2233564,0.0518864
11,1.5735191,1.5949358,"('unhelpful', 'helpful')",1.5735191,1.5949358,0.0214167
12,-1.8699555,-1.8686246,"('unsupportive', 'supportive')",-1.8699555,-1.8686246,0.0013309
13,-0.1142471,-0.09898634,"('impolite', 'polite')",-0.1142471,-0.0989863,0.0152608
14,0.13803741,0.11870652,"('antisocial', 'social')",0.1380374,0.1187065,-0.0193309
15,-0.15601847,-0.20487386,"('boring', 'funny')",-0.1560185,-0.2048739,-0.0488554
16,-0.6345056,-0.5985081,"('unpopular', 'popular')",-0.6345056,-0.5985081,0.0359975
17,-0.458735,-0.36563173,"('nasty', 'nice')",-0.458735,-0.3656317,0.0931033
18,-0.20313054,-0.29324448,"('disagreeable', 'welcoming')",-0.2031305,-0.2932445,-0.090114
19,-0.96537495,-0.9949507,"('inhospitable', 'hospitable')",-0.9653749,-0.9949507,-0.0295758
20,1.0655271,1.0067734,"('rough', 'thoughtful')",1.0655271,1.0067734,-0.0587537
21,-0.22571245,-0.16846526,"('immoral', 'moral')",-0.2257124,-0.1684653,0.0572471
22,-0.28436947,-0.32332122,"('untrustworthy', 'trustworthy')",-0.2843695,-0.3233212,-0.0389517
23,6.5114307,6.4617934,"('insincere', 'sincere')",6.5114307,6.4617934,-0.0496373
24,1.5988098,1.4490077,"('dishonest', 'honest')",1.5988098,1.4490077,-0.1498021
25,0.75411046,0.69458383,"('egoistic', 'altruistic')",0.7541105,0.6945838,-0.0595267
26,0.41634244,0.40848878,"('hardhearted', 'benevolent')",0.4163424,0.4084888,-0.0078536
27,1.3930097,1.2845025,"('hardhearted', 'softhearted')",1.3930097,1.2845025,-0.1085072
28,1.1622,1.1087108,"('disloyal', 'loyal')",1.1622,1.1087108,-0.0534892
