,spectacles_male,spectacles_female,tuple,average_male,average_female,female-male
0,0.8519174,0.59156966,"('unsociable', 'sociable')",0.8519174,0.5915697,-0.2603477
1,-0.12723616,-0.3935698,"('unfriendly', 'friendly')",-0.1272362,-0.3935698,-0.2663336
2,0.26758555,0.37077686,"('unlikable', 'likable')",0.2675855,0.3707769,0.1031914
3,-0.0471588,0.15554595,"('repellent', 'pleasant')",-0.0471588,0.1555459,0.2027047
4,-3.4840941,-3.651385,"('disliked', 'liked')",-3.4840941,-3.6513851,-0.167291
5,-1.1615347,-1.0555693,"('distant', 'outgoing')",-1.1615347,-1.0555693,0.1059654
6,-1.5305998,-1.4889376,"('distant', 'open')",-1.5305998,-1.4889376,0.0416622
7,0.43021673,0.45240405,"('insensitive', 'sensitive')",0.4302167,0.4524041,0.0221874
8,-0.4988453,-0.5246613,"('unaffectionate', 'affectionate')",-0.4988453,-0.5246613,-0.025816
9,-0.079471976,-0.07936017,"('unaffectionate', 'caring')",-0.079472,-0.0793602,0.0001118
10,0.5917569,0.43417358,"('unsympathetic', 'sympathetic')",0.5917569,0.4341736,-0.1575833
11,1.1155636,1.2071246,"('unhelpful', 'helpful')",1.1155636,1.2071246,0.091561
12,-0.5604113,-0.61741424,"('unsupportive', 'supportive')",-0.5604113,-0.6174142,-0.0570029
13,0.7673388,0.6720706,"('impolite', 'polite')",0.7673388,0.6720706,-0.0952682
14,1.5235101,1.4168094,"('antisocial', 'social')",1.5235101,1.4168094,-0.1067007
15,0.1070555,-0.054670162,"('boring', 'funny')",0.1070555,-0.0546702,-0.1617257
16,-0.60823464,-0.57550377,"('unpopular', 'popular')",-0.6082346,-0.5755038,0.0327308
17,-0.56661195,-0.41524115,"('nasty', 'nice')",-0.5666119,-0.4152412,0.1513707
18,-1.5460159,-1.4711937,"('disagreeable', 'welcoming')",-1.5460159,-1.4711937,0.0748222
19,-1.4157608,-1.3612285,"('inhospitable', 'hospitable')",-1.4157608,-1.3612285,0.0545323
20,0.71842355,0.7677406,"('rough', 'thoughtful')",0.7184235,0.7677406,0.0493171
21,0.37071297,0.5121104,"('immoral', 'moral')",0.370713,0.5121104,0.1413974
22,-0.04220492,-0.1999634,"('untrustworthy', 'trustworthy')",-0.0422049,-0.1999634,-0.1577585
23,3.2984216,3.4865038,"('insincere', 'sincere')",3.2984216,3.4865038,0.1880822
24,0.51671,0.5572001,"('dishonest', 'honest')",0.51671,0.5572001,0.0404901
25,-0.55165434,-0.48880404,"('egoistic', 'altruistic')",-0.5516543,-0.488804,0.0628503
26,0.99851745,0.49812394,"('hardhearted', 'benevolent')",0.9985175,0.4981239,-0.5003936
