,contribution_male,contribution_female,tuple,average_male,average_female,female-male
0,0.96480554,0.6781714,"('unsociable', 'sociable')",0.9648055,0.6781714,-0.2866341
1,0.38492733,0.32141295,"('unfriendly', 'friendly')",0.3849273,0.321413,-0.0635143
2,0.17397803,0.14197193,"('unlikable', 'likable')",0.173978,0.1419719,-0.0320061
3,1.020142,1.0256976,"('repellent', 'pleasant')",1.020142,1.0256976,0.0055556
4,-6.650611,-7.019465,"('disliked', 'liked')",-6.6506109,-7.019465,-0.3688541
5,-1.7819115,-1.6640248,"('distant', 'outgoing')",-1.7819115,-1.6640248,0.1178867
6,-1.64447,-1.466485,"('distant', 'open')",-1.64447,-1.466485,0.177985
7,1.9063283,1.8087691,"('insensitive', 'sensitive')",1.9063283,1.8087691,-0.0975592
8,0.3326407,0.4364647,"('unaffectionate', 'affectionate')",0.3326407,0.4364647,0.103824
9,1.3601947,1.4744374,"('unaffectionate', 'caring')",1.3601947,1.4744374,0.1142427
10,2.0163815,2.0587602,"('unsympathetic', 'sympathetic')",2.0163815,2.0587602,0.0423787
11,2.9730787,2.8624883,"('unhelpful', 'helpful')",2.9730787,2.8624883,-0.1105904
12,-0.83685803,-0.8891572,"('unsupportive', 'supportive')",-0.836858,-0.8891572,-0.0522992
13,0.9713391,0.80533063,"('impolite', 'polite')",0.9713391,0.8053306,-0.1660085
14,1.3550179,1.170485,"('antisocial', 'social')",1.3550179,1.170485,-0.1845329
15,0.74095356,0.54506016,"('boring', 'funny')",0.7409536,0.5450602,-0.1958934
16,-0.8081625,-0.9046912,"('unpopular', 'popular')",-0.8081625,-0.9046912,-0.0965287
17,0.026157618,0.094928384,"('nasty', 'nice')",0.0261576,0.0949284,0.0687708
18,-0.624491,-0.6123004,"('disagreeable', 'welcoming')",-0.624491,-0.6123004,0.0121906
19,-1.1047982,-1.1105194,"('inhospitable', 'hospitable')",-1.1047982,-1.1105194,-0.0057212
20,0.92457944,0.9506055,"('rough', 'thoughtful')",0.9245794,0.9506055,0.0260261
21,0.6660378,0.5970653,"('immoral', 'moral')",0.6660378,0.5970653,-0.0689725
22,-0.118949026,-0.1985514,"('untrustworthy', 'trustworthy')",-0.118949,-0.1985514,-0.0796024
23,6.8004813,6.8601117,"('insincere', 'sincere')",6.8004813,6.8601117,0.0596304
24,1.7146735,1.8143984,"('dishonest', 'honest')",1.7146735,1.8143984,0.0997249
25,0.5465541,0.5577153,"('egoistic', 'altruistic')",0.5465541,0.5577153,0.0111612
26,1.2180444,1.012504,"('hardhearted', 'benevolent')",1.2180444,1.012504,-0.2055404
27,1.39558,1.4066768,"('hardhearted', 'softhearted')",1.3955801,1.4066768,0.0110967
28,1.3072679,1.2235658,"('disloyal', 'loyal')",1.3072679,1.2235658,-0.0837021
29,-1.1680672,-1.248896,"('unfair', 'fair')",-1.1680672,-1.248896,-0.0808288
30,1.7323012,1.6688347,"('intolerant', 'tolerant')",1.7323012,1.6688347,-0.0634665
31,-2.668388,-2.5968559,"('evil', 'good')",-2.6683879,-2.5968559,0.071532
32,1.8157094,1.6013719,"('unkind', 'kind')",1.8157094,1.6013719,-0.2143375
33,-0.6327263,-0.6131888,"('wrong', 'right')",-0.6327263,-0.6131888,0.0195375
34,4.1581655,4.474525,"('mean', 'honorable')",4.1581655,4.474525,0.3163595
35,-1.9630713,-2.0187485,"('corrupt', 'incorrupt')",-1.9630713,-2.0187485,-0.0556772
36,-1.9673563,-1.9776498,"('hostile', 'amicable')",-1.9673563,-1.9776498,-0.0102935
37,1.0742912,1.1359569,"('fake', 'genuine')",1.0742912,1.1359569,0.0616657
38,0.2843513,0.23930015,"('untruthful', 'truthful')",0.2843513,0.2393001,-0.0450512
39,0.48732767,0.5129223,"('exploitative', 'cooperative')",0.4873277,0.5129223,0.0255946
40,-1.6425434,-1.6829402,"('stingy', 'generous')",-1.6425434,-1.6829402,-0.0403968
41,0.6753991,0.46966684,"('unforgiving', 'forgiving')",0.6753991,0.4696668,-0.2057323
42,-1.936634,-1.9865572,"('unreliable', 'reliable')",-1.9366339,-1.9865572,-0.0499233
43,1.6337231,1.6843114,"('irresponsible', 'responsible')",1.6337231,1.6843114,0.0505883
44,-1.5998479,-1.6221554,"('prejudiced', 'unprejudiced')",-1.5998479,-1.6221554,-0.0223075
45,1.0945517,0.789216,"('incompetent', 'competent')",1.0945517,0.789216,-0.3053357
46,-0.07176771,-0.14145914,"('uncompetitive', 'competitive')",-0.0717677,-0.1414591,-0.0696914
47,4.14114,4.427697,"('stupid', 'smart')",4.14114,4.4276972,0.2865572
48,0.9391216,0.84265214,"('unintelligent', 'intelligent')",0.9391216,0.8426521,-0.0964695
49,0.19839296,0.23768309,"('unable', 'able')",0.198393,0.2376831,0.0392901
50,-0.7911393,-0.8221485,"('clumsy', 'skillful')",-0.7911393,-0.8221485,-0.0310092
51,1.2692565,1.0305512,"('uneducated', 'educated')",1.2692565,1.0305512,-0.2387053
52,-1.022934,-1.1570921,"('irrational', 'rational')",-1.022934,-1.1570921,-0.1341581
53,-0.19394052,-0.3375422,"('uncreative', 'creative')",-0.1939405,-0.3375422,-0.1436017
54,0.75505775,0.8120687,"('incapable', 'capable')",0.7550578,0.8120687,0.0570109
55,1.8304863,1.7440464,"('incompetent', 'clever')",1.8304863,1.7440464,-0.0864399
56,1.7556112,1.5840267,"('impractical', 'practical')",1.7556112,1.5840267,-0.1715845
57,-1.4394764,-1.6819732,"('unimaginative', 'imaginative')",-1.4394764,-1.6819732,-0.2424968
58,0.22682774,0.1833398,"('undiscriminating', 'discriminating')",0.2268277,0.1833398,-0.0434879
59,-1.1309333,-1.154828,"('foolish', 'wise')",-1.1309333,-1.154828,-0.0238947
60,1.8324251,1.8818023,"('inefficient', 'efficient')",1.8324251,1.8818023,0.0493772
61,0.36155793,0.06554086,"('illogical', 'logical')",0.3615579,0.0655409,-0.296017
62,1.8944572,1.7575412,"('incompetent', 'brilliant')",1.8944572,1.7575412,-0.136916
63,0.8750044,0.72227955,"('unperceptive', 'insightful')",0.8750044,0.7222795,-0.1527249
64,-5.2660866,-5.345529,"('shy', 'confident')",-5.2660866,-5.3455291,-0.0794425
65,0.81482744,0.88689333,"('insecure', 'secure')",0.8148274,0.8868933,0.0720659
66,-0.622926,-0.6347752,"('inactive', 'active')",-0.622926,-0.6347752,-0.0118492
67,-0.01138146,-0.07980805,"('doubtful', 'determined')",-0.0113815,-0.079808,-0.0684265
68,-0.9940757,-0.9199501,"('dependent', 'independent')",-0.9940757,-0.9199501,0.0741256
69,-2.3958151,-2.324684,"('lazy', 'industrious')",-2.3958151,-2.3246839,0.0711312
70,2.2554586,2.1196058,"('lethargic', 'energetic')",2.2554586,2.1196058,-0.1358528
71,-0.37914285,-0.38594195,"('diffident', 'self-confident')",-0.3791429,-0.385942,-0.0067991
72,1.1822833,1.3634553,"('unambitious', 'ambitious')",1.1822833,1.3634553,0.181172
73,-3.0467744,-2.9384277,"('helpless', 'self-reliant')",-3.0467744,-2.9384277,0.1083467
74,0.9645705,0.77120763,"('undedicated', 'dedicated')",0.9645705,0.7712076,-0.1933629
75,-1.3986992,-1.3048954,"('meek', 'impulsive')",-1.3986992,-1.3048954,0.0938038
76,0.9924428,0.9755766,"('anxious', 'daring')",0.9924428,0.9755766,-0.0168662
77,-0.6291338,-0.56804234,"('unmotivated', 'motivated')",-0.6291338,-0.5680423,0.0610915
78,-0.8198058,-0.8827796,"('nonresilient', 'resilient')",-0.8198058,-0.8827796,-0.0629738
79,-0.8647138,-0.9091675,"('wavering', 'unwavering')",-0.8647138,-0.9091675,-0.0444537
80,1.3487486,1.0986317,"('dominated', 'dominating')",1.3487486,1.0986317,-0.2501169
81,1.2760168,1.2312796,"('submissive', 'aggressive')",1.2760168,1.2312796,-0.0447372
82,5.8464746,5.86417,"('poor', 'rich')",5.8464746,5.8641701,0.0176955
83,-0.33097678,-0.35222256,"('powerless', 'powerful')",-0.3309768,-0.3522226,-0.0212458
84,-0.28693193,-0.25180337,"('inferior', 'superior')",-0.2869319,-0.2518034,0.0351285
85,-2.1553829,-2.3064423,"('insignificant', 'prestigious')",-2.1553829,-2.3064423,-0.1510594
86,1.5126014,1.296445,"('uninfluential', 'influential')",1.5126014,1.296445,-0.2161564
87,0.5534634,0.37000933,"('unsuccessful', 'successful')",0.5534634,0.3700093,-0.1834541
88,1.0710468,0.75276834,"('low', 'eminent')",1.0710468,0.7527683,-0.3182785
