,inversion_male,inversion_female,tuple,average_male,average_female,female-male
0,-0.039719157,0.0414506,"('unsociable', 'sociable')",-0.0397192,0.0414506,0.0811698
1,0.89343476,0.74858457,"('unfriendly', 'friendly')",0.8934348,0.7485846,-0.1448502
2,-0.15814061,-0.09094374,"('unlikable', 'likable')",-0.1581406,-0.0909437,0.0671969
3,0.7651897,0.8799649,"('repellent', 'pleasant')",0.7651897,0.8799649,0.1147752
4,-7.5869694,-7.645384,"('disliked', 'liked')",-7.5869694,-7.6453838,-0.0584144
5,-0.9327742,-0.99608606,"('distant', 'outgoing')",-0.9327742,-0.9960861,-0.0633119
6,-0.35765964,-0.49376625,"('distant', 'open')",-0.3576596,-0.4937662,-0.1361066
7,0.83681554,0.9358936,"('insensitive', 'sensitive')",0.8368155,0.9358936,0.0990781
8,0.96617246,0.77405334,"('unaffectionate', 'affectionate')",0.9661725,0.7740533,-0.1921192
9,1.1109105,1.0189657,"('unaffectionate', 'caring')",1.1109105,1.0189657,-0.0919448
10,1.2540785,1.3784211,"('unsympathetic', 'sympathetic')",1.2540785,1.3784211,0.1243426
11,1.2743948,1.2989687,"('unhelpful', 'helpful')",1.2743948,1.2989687,0.0245739
12,-2.001289,-2.0051327,"('unsupportive', 'supportive')",-2.0012889,-2.0051327,-0.0038438
13,-0.13453422,-0.030809611,"('impolite', 'polite')",-0.1345342,-0.0308096,0.1037246
14,0.2644802,0.37456018,"('antisocial', 'social')",0.2644802,0.3745602,0.11008
15,0.06289308,-0.08712293,"('boring', 'funny')",0.0628931,-0.0871229,-0.150016
16,-0.7752866,-0.78307,"('unpopular', 'popular')",-0.7752866,-0.78307,-0.0077834
17,-0.4911619,-0.41312778,"('nasty', 'nice')",-0.4911619,-0.4131278,0.0780341
18,-0.2541234,-0.29880744,"('disagreeable', 'welcoming')",-0.2541234,-0.2988074,-0.044684
19,-0.97505385,-1.0467781,"('inhospitable', 'hospitable')",-0.9750538,-1.0467781,-0.0717243
20,1.0682021,0.9622861,"('rough', 'thoughtful')",1.0682021,0.9622861,-0.105916
21,-0.3273739,-0.13671786,"('immoral', 'moral')",-0.3273739,-0.1367179,0.190656
22,-0.50691104,-0.39757743,"('untrustworthy', 'trustworthy')",-0.506911,-0.3975774,0.1093336
23,6.274292,6.2737207,"('insincere', 'sincere')",6.274292,6.2737207,-0.0005713
24,1.5746483,1.4282857,"('dishonest', 'honest')",1.5746483,1.4282857,-0.1463626
25,0.73126364,0.61166984,"('egoistic', 'altruistic')",0.7312636,0.6116698,-0.1195938
26,0.7414636,0.63546014,"('hardhearted', 'benevolent')",0.7414636,0.6354601,-0.1060035
27,1.8419063,1.6173402,"('hardhearted', 'softhearted')",1.8419063,1.6173402,-0.2245661
28,0.95472896,0.899664,"('disloyal', 'loyal')",0.954729,0.899664,-0.055065
29,-0.80883557,-0.96198404,"('unfair', 'fair')",-0.8088356,-0.961984,-0.1531484
30,1.2023075,1.2604591,"('intolerant', 'tolerant')",1.2023075,1.2604591,0.0581516
31,-1.7160418,-1.7782769,"('evil', 'good')",-1.7160418,-1.7782769,-0.0622351
32,0.9359151,0.8759341,"('unkind', 'kind')",0.9359151,0.8759341,-0.059981
33,-0.9831201,-1.0249949,"('wrong', 'right')",-0.9831201,-1.0249949,-0.0418748
34,4.605952,4.653473,"('mean', 'honorable')",4.6059518,4.6534729,0.0475211
35,-0.89621043,-1.2019733,"('corrupt', 'incorrupt')",-0.8962104,-1.2019733,-0.3057629
36,-0.99896836,-1.1670763,"('hostile', 'amicable')",-0.9989684,-1.1670763,-0.1681079
37,0.7960571,0.78440976,"('fake', 'genuine')",0.7960571,0.7844098,-0.0116473
38,-0.74018645,-0.6805029,"('untruthful', 'truthful')",-0.7401865,-0.6805029,0.0596836
39,0.41511264,0.453251,"('exploitative', 'cooperative')",0.4151126,0.453251,0.0381384
40,-1.1184409,-1.2459205,"('stingy', 'generous')",-1.1184409,-1.2459205,-0.1274796
41,-0.09026311,-0.095449716,"('unforgiving', 'forgiving')",-0.0902631,-0.0954497,-0.0051866
42,-2.1738963,-2.077509,"('unreliable', 'reliable')",-2.1738963,-2.0775089,0.0963874
43,1.0031269,1.0513622,"('irresponsible', 'responsible')",1.0031269,1.0513622,0.0482353
44,-0.72837675,-0.6285377,"('prejudiced', 'unprejudiced')",-0.7283767,-0.6285377,0.099839
45,-0.07423097,-0.07176952,"('incompetent', 'competent')",-0.074231,-0.0717695,0.0024615
46,-0.32727593,-0.21863669,"('uncompetitive', 'competitive')",-0.3272759,-0.2186367,0.1086392
47,5.035395,5.173789,"('stupid', 'smart')",5.0353951,5.173789,0.1383939
48,0.44440174,0.38979027,"('unintelligent', 'intelligent')",0.4444017,0.3897903,-0.0546114
49,0.07760155,0.055767164,"('unable', 'able')",0.0776016,0.0557672,-0.0218344
50,-0.7166516,-0.74839693,"('clumsy', 'skillful')",-0.7166516,-0.7483969,-0.0317453
51,0.52824223,0.4838558,"('uneducated', 'educated')",0.5282422,0.4838558,-0.0443864
52,-0.8419698,-1.0111189,"('irrational', 'rational')",-0.8419698,-1.0111189,-0.1691491
53,-0.20105818,-0.37336624,"('uncreative', 'creative')",-0.2010582,-0.3733662,-0.172308
54,0.68630105,0.6751384,"('incapable', 'capable')",0.6863011,0.6751384,-0.0111627
55,0.96790725,1.0409555,"('incompetent', 'clever')",0.9679072,1.0409555,0.0730483
56,0.43779576,0.51340026,"('impractical', 'practical')",0.4377958,0.5134003,0.0756045
57,-2.7447848,-2.5871434,"('unimaginative', 'imaginative')",-2.7447848,-2.5871434,0.1576414
58,0.15285197,0.10304448,"('undiscriminating', 'discriminating')",0.152852,0.1030445,-0.0498075
59,-0.5898566,-0.6149013,"('foolish', 'wise')",-0.5898566,-0.6149013,-0.0250447
60,0.7145255,0.91731393,"('inefficient', 'efficient')",0.7145255,0.9173139,0.2027884
61,0.32191232,0.13306284,"('illogical', 'logical')",0.3219123,0.1330628,-0.1888495
62,0.339811,0.445535,"('incompetent', 'brilliant')",0.339811,0.445535,0.105724
63,-0.16162628,-0.13045487,"('unperceptive', 'insightful')",-0.1616263,-0.1304549,0.0311714
64,-6.3373146,-6.1120415,"('shy', 'confident')",-6.3373146,-6.1120415,0.2252731
65,0.43759555,0.6401559,"('insecure', 'secure')",0.4375955,0.6401559,0.2025604
66,-0.24642748,-0.31026277,"('inactive', 'active')",-0.2464275,-0.3102628,-0.0638353
67,-0.48303255,-0.43063018,"('doubtful', 'determined')",-0.4830326,-0.4306302,0.0524024
68,-0.54026735,-0.61465824,"('dependent', 'independent')",-0.5402673,-0.6146582,-0.0743909
69,-2.4270766,-2.4684727,"('lazy', 'industrious')",-2.4270766,-2.4684727,-0.0413961
70,1.4430238,1.5414246,"('lethargic', 'energetic')",1.4430238,1.5414246,0.0984008
71,0.41862714,0.4727411,"('diffident', 'self-confident')",0.4186271,0.4727411,0.054114
72,0.8418328,0.9813107,"('unambitious', 'ambitious')",0.8418328,0.9813107,0.1394779
73,-3.0736063,-3.019008,"('helpless', 'self-reliant')",-3.0736063,-3.0190079,0.0545984
74,-0.022872303,-0.09354583,"('undedicated', 'dedicated')",-0.0228723,-0.0935458,-0.0706735
75,-0.9351467,-0.82443947,"('meek', 'impulsive')",-0.9351467,-0.8244395,0.1107072
